source_project,source_head,source_path,source_sha256,source_symbols,imported_destination,destination_sha256,import_mode,adaptation_note,historical_target_result_report_checkpoint_or_h3_payload_imported
SPH-DDO-PoC,d76d29ae51e8104641b710371f0fcb248d5ea268,/Users/xiejinbo/Documents/SPH-DDO-PoC/08_scripts/ddo01d_atlas_builder.py,ce523095e21cca07f247ef91efde878c05ea7745a1899c04a6d73fd0e2ffc44a,field_values_general|evaluator_a_general|evaluator_b_general,01_provenance/vendor/ddo_analytical_reference/mso02b_target_reference.py,cd0d8794efa1900f307710e27438939bbff282aa0aa617629eab1f64427bc017,PREEXISTING_PROVENANCE_BOUND_MATHEMATICAL_ADAPTATION,analytical field and independent derivative definitions only,False
SPH-DDO-PoC,d76d29ae51e8104641b710371f0fcb248d5ea268,/Users/xiejinbo/Documents/SPH-DDO-PoC/08_scripts/ddo01a_preflight.py,8ea2720fae9277ac6356d166d0443b6f666c6e23534aed37267d06273da7a3c2,continuum_components|defects|linf_difference|permute_neighborhood,01_provenance/vendor/ddo_analytical_reference/mso02b_target_reference.py,cd0d8794efa1900f307710e27438939bbff282aa0aa617629eab1f64427bc017,PREEXISTING_PROVENANCE_BOUND_MATHEMATICAL_ADAPTATION,continuum reference defect sign and repeatability qualification helpers only,False
SPH-DDO-PoC,d76d29ae51e8104641b710371f0fcb248d5ea268,/Users/xiejinbo/Documents/SPH-DDO-PoC/08_scripts/ddo01ar_requalification.py,b4191e69b63e7118a305af888e107ed78a29501596f0659d4ba18e3f304c01cb,C_FP|FROZEN_SCALES|fsum_scatter|independent_geometry_neighborhood|target_analytic_and_sph,01_provenance/vendor/ddo_analytical_reference/mso02b_target_reference.py,cd0d8794efa1900f307710e27438939bbff282aa0aa617629eab1f64427bc017,PREEXISTING_PROVENANCE_BOUND_MATHEMATICAL_ADAPTATION,numerical uncertainty and independent geometry qualification helpers only,False
SPH-DDO-PoC_BYTE_IDENTICAL_VENDORED_OPERATOR,d76d29ae51e8104641b710371f0fcb248d5ea268,/Users/xiejinbo/Documents/SPH-DDO-PoC/01_imported_baseline/structure_preserving/__init__.py,18afa8e375e06bd03ce68f17528c7a27722e1dbdab17536d1b060994446ad93a,complete file,01_provenance/vendor/pio_stage01c_static/structure_preserving/__init__.py,18afa8e375e06bd03ce68f17528c7a27722e1dbdab17536d1b060994446ad93a,PREEXISTING_BYTE_IDENTICAL_HASH_BOUND_VENDOR,lambda-one frozen base operator package marker; no edit,False
SPH-DDO-PoC_BYTE_IDENTICAL_VENDORED_OPERATOR,d76d29ae51e8104641b710371f0fcb248d5ea268,/Users/xiejinbo/Documents/SPH-DDO-PoC/01_imported_baseline/structure_preserving/neighborhood.py,44d61e0abbc9901472dae90f83127f5231fc3f6e8ac92a971228dfdcb230aaa8,complete file,01_provenance/vendor/pio_stage01c_static/structure_preserving/neighborhood.py,44d61e0abbc9901472dae90f83127f5231fc3f6e8ac92a971228dfdcb230aaa8,PREEXISTING_BYTE_IDENTICAL_HASH_BOUND_VENDOR,lambda-one frozen periodic neighborhood implementation; no edit,False
SPH-DDO-PoC_BYTE_IDENTICAL_VENDORED_OPERATOR,d76d29ae51e8104641b710371f0fcb248d5ea268,/Users/xiejinbo/Documents/SPH-DDO-PoC/01_imported_baseline/structure_preserving/kernels.py,bad08e0f49b308c568cd438c9981abd2c906e16c6570ebc0ca7d19d9847b333b,complete file,01_provenance/vendor/pio_stage01c_static/structure_preserving/kernels.py,bad08e0f49b308c568cd438c9981abd2c906e16c6570ebc0ca7d19d9847b333b,PREEXISTING_BYTE_IDENTICAL_HASH_BOUND_VENDOR,lambda-one frozen kernel implementation; no edit,False
SPH-DDO-PoC_BYTE_IDENTICAL_VENDORED_OPERATOR,d76d29ae51e8104641b710371f0fcb248d5ea268,/Users/xiejinbo/Documents/SPH-DDO-PoC/01_imported_baseline/structure_preserving/conservative_pressure.py,b6366666ba89cc1f367a95390a411905eee8b7f55fba28a024f5732860004064,complete file,01_provenance/vendor/pio_stage01c_static/structure_preserving/conservative_pressure.py,b6366666ba89cc1f367a95390a411905eee8b7f55fba28a024f5732860004064,PREEXISTING_BYTE_IDENTICAL_HASH_BOUND_VENDOR,lambda-one frozen conservative pressure implementation; no edit,False
SPH-DDO-PoC_BYTE_IDENTICAL_VENDORED_OPERATOR,d76d29ae51e8104641b710371f0fcb248d5ea268,/Users/xiejinbo/Documents/SPH-DDO-PoC/01_imported_baseline/structure_preserving/conservative_viscosity.py,bdfbcb457f6973130f0131ec3c0a3fecc7197dd117c8256163cf3a1445307852,complete file,01_provenance/vendor/pio_stage01c_static/structure_preserving/conservative_viscosity.py,bdfbcb457f6973130f0131ec3c0a3fecc7197dd117c8256163cf3a1445307852,PREEXISTING_BYTE_IDENTICAL_HASH_BOUND_VENDOR,lambda-one frozen conservative viscosity implementation; no edit,False
SPH-MSO-PoC,9048eff137001e5f644575bd02c3856b4f4ac532,06_experiments/mso02b/build_mso02b_targets.py,940a671927b20f219a4d2553ab61f36bc568e1c8e29bd9f043edd44103f1a08f,evaluate_case,06_experiments/hmso01r_b/build_hmso01r_b_targets.py,d94e098bab64b90bbd463fae77b985f1e09e14c43fabc7952cfb95b2086df76c,SAFE_HASH_BOUND_FUNCTION_REUSE_WITHOUT_MAIN,H-MSO-01R-B imports only evaluate_case code after pre-target boundary validation; old main is never called and no old output constant is dereferenced,False
SPH-MSO-PoC,9048eff137001e5f644575bd02c3856b4f4ac532,06_experiments/mso02b/run_mso02b_formal.py,55b0b63eb2c99364c8a2e96c75191a50707e93357f7039bd9edfdcb7c7c831b7,pure unchanged non-DNN helper functions only,06_experiments/hmso01r_b/run_hmso01r_b_formal.py,9135d94de4990d079c955ab655b093887bd5cacec98770f6342f1b628487794d,AUTHORIZED_HASH_BOUND_SOURCE_ONLY_HELPER_WITHOUT_MAIN,Only pure unchanged non-DNN semantics may be reused; old main and every historical output target report checkpoint or outcome path remain disabled and prohibited,False
