source_project,source_head,source_path,source_sha256,source_symbols,imported_destination,destination_sha256,import_mode,adaptation_note,historical_target_or_h3_payload_imported
SPH-DDO-PoC,d76d29ae51e8104641b710371f0fcb248d5ea268,/Users/xiejinbo/Documents/SPH-DDO-PoC/08_scripts/ddo01d_atlas_builder.py,ce523095e21cca07f247ef91efde878c05ea7745a1899c04a6d73fd0e2ffc44a,field_values_general|evaluator_a_general|evaluator_b_general,01_provenance/vendor/ddo_analytical_reference/mso02b_target_reference.py,cd0d8794efa1900f307710e27438939bbff282aa0aa617629eab1f64427bc017,PROVENANCE_BOUND_MATHEMATICAL_ADAPTATION_NOT_BYTE_COPY,analytical field/reference adaptation for frozen MSO registry,False
SPH-DDO-PoC,d76d29ae51e8104641b710371f0fcb248d5ea268,/Users/xiejinbo/Documents/SPH-DDO-PoC/08_scripts/ddo01a_preflight.py,8ea2720fae9277ac6356d166d0443b6f666c6e23534aed37267d06273da7a3c2,continuum_components|defects|linf_difference|permute_neighborhood,01_provenance/vendor/ddo_analytical_reference/mso02b_target_reference.py,cd0d8794efa1900f307710e27438939bbff282aa0aa617629eab1f64427bc017,PROVENANCE_BOUND_MATHEMATICAL_ADAPTATION_NOT_BYTE_COPY,"continuum, defect sign, and repeat/permutation qualification adaptation",False
SPH-DDO-PoC,d76d29ae51e8104641b710371f0fcb248d5ea268,/Users/xiejinbo/Documents/SPH-DDO-PoC/08_scripts/ddo01ar_requalification.py,b4191e69b63e7118a305af888e107ed78a29501596f0659d4ba18e3f304c01cb,C_FP|FROZEN_SCALES|fsum_scatter|independent_geometry_neighborhood|target_analytic_and_sph,01_provenance/vendor/ddo_analytical_reference/mso02b_target_reference.py,cd0d8794efa1900f307710e27438939bbff282aa0aa617629eab1f64427bc017,PROVENANCE_BOUND_MATHEMATICAL_ADAPTATION_NOT_BYTE_COPY,CA-01 uncertainty and independent-geometry adaptation,False
SPH-DDO-PoC,d76d29ae51e8104641b710371f0fcb248d5ea268,/Users/xiejinbo/Documents/SPH-DDO-PoC/08_scripts/h3_identifiability_semantics.py,857f30efce8559ddf3d562051209d0069ba73c24f06183a685b7304155001234,selected_particle_ids|target_trace_variance|conditional_variance_ratios,05_registries/mso02b_analysis_semantics_registry.json|06_experiments/mso02b/run_mso02b_formal.py,b271864a62800ea502d1f21621b3d937088f6809c0d31301e6effac96d203ce5|32c8c532c0e1adc2da68d394d5e0175f8bd9d48b677db33310dcf756511f4b0b,PROVENANCE_BOUND_SEMANTICS_SERIALIZATION_AND_EXECUTABLE_ADAPTATION,formal sampling and H3 estimator semantics imported into registry/executable,False
SPH-DDO-PoC,d76d29ae51e8104641b710371f0fcb248d5ea268,/Users/xiejinbo/Documents/SPH-DDO-PoC/08_scripts/h3_identifiability_semantics.py,857f30efce8559ddf3d562051209d0069ba73c24f06183a685b7304155001234,selected_particle_ids,05_registries/mso02b_formal_particle_sample_registry.json,98ff5716e3adbbaac4cac4899e76eb4d61d4e194396fe4e37041a94abe0ca229,PROVENANCE_BOUND_DOMAIN_SEPARATED_PARTICLE_SAMPLE_SERIALIZATION,same first-128 full-SHA ordering with MSO02B domain separation,False
SPH-DDO-PoC,d76d29ae51e8104641b710371f0fcb248d5ea268,/Users/xiejinbo/Documents/SPH-DDO-PoC/08_scripts/ddo01e_non_neural_analysis.py,88bec6c76c6cf700842bab455cd1f164d4f9dd08123f42b9d81f8afb928ae39e,ORACLES|ridge_predict|matched_random_baseline|angle_floor|PolynomialFeatures subset,05_registries/mso02b_analysis_semantics_registry.json|06_experiments/mso02b/run_mso02b_formal.py,b271864a62800ea502d1f21621b3d937088f6809c0d31301e6effac96d203ce5|32c8c532c0e1adc2da68d394d5e0175f8bd9d48b677db33310dcf756511f4b0b,PROVENANCE_BOUND_SEMANTICS_SERIALIZATION_AND_EXECUTABLE_ADAPTATION,non-neural diagnostic semantics imported into registry/executable,False
SPH-DDO-PoC_BYTE_IDENTICAL_VENDORED_OPERATOR,d76d29ae51e8104641b710371f0fcb248d5ea268,/Users/xiejinbo/Documents/SPH-DDO-PoC/01_imported_baseline/structure_preserving/__init__.py,18afa8e375e06bd03ce68f17528c7a27722e1dbdab17536d1b060994446ad93a,complete file,01_provenance/vendor/pio_stage01c_static/structure_preserving/__init__.py,18afa8e375e06bd03ce68f17528c7a27722e1dbdab17536d1b060994446ad93a,PREEXISTING_BYTE_IDENTICAL_HASH_BOUND_VENDOR,no MSO-02B copy or edit,False
SPH-DDO-PoC_BYTE_IDENTICAL_VENDORED_OPERATOR,d76d29ae51e8104641b710371f0fcb248d5ea268,/Users/xiejinbo/Documents/SPH-DDO-PoC/01_imported_baseline/structure_preserving/neighborhood.py,44d61e0abbc9901472dae90f83127f5231fc3f6e8ac92a971228dfdcb230aaa8,complete file,01_provenance/vendor/pio_stage01c_static/structure_preserving/neighborhood.py,44d61e0abbc9901472dae90f83127f5231fc3f6e8ac92a971228dfdcb230aaa8,PREEXISTING_BYTE_IDENTICAL_HASH_BOUND_VENDOR,no MSO-02B copy or edit,False
SPH-DDO-PoC_BYTE_IDENTICAL_VENDORED_OPERATOR,d76d29ae51e8104641b710371f0fcb248d5ea268,/Users/xiejinbo/Documents/SPH-DDO-PoC/01_imported_baseline/structure_preserving/kernels.py,bad08e0f49b308c568cd438c9981abd2c906e16c6570ebc0ca7d19d9847b333b,complete file,01_provenance/vendor/pio_stage01c_static/structure_preserving/kernels.py,bad08e0f49b308c568cd438c9981abd2c906e16c6570ebc0ca7d19d9847b333b,PREEXISTING_BYTE_IDENTICAL_HASH_BOUND_VENDOR,no MSO-02B copy or edit,False
SPH-DDO-PoC_BYTE_IDENTICAL_VENDORED_OPERATOR,d76d29ae51e8104641b710371f0fcb248d5ea268,/Users/xiejinbo/Documents/SPH-DDO-PoC/01_imported_baseline/structure_preserving/conservative_pressure.py,b6366666ba89cc1f367a95390a411905eee8b7f55fba28a024f5732860004064,complete file,01_provenance/vendor/pio_stage01c_static/structure_preserving/conservative_pressure.py,b6366666ba89cc1f367a95390a411905eee8b7f55fba28a024f5732860004064,PREEXISTING_BYTE_IDENTICAL_HASH_BOUND_VENDOR,no MSO-02B copy or edit,False
