metric_family,component,direction,scale,point_estimate,bootstrap_standard_error,simultaneous_bound,critical_value,valid_replicates,degenerate_replicates,status,multiplicity_scope
ABSOLUTE_SS_conditional_variance,density_rate,upper,identity,0.1979805059681546,0.021912573208756767,0.23936375911212243,1.8885620027240861,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_SS_conditional_variance,pressure_gradient_acceleration,upper,identity,0.33004874531366607,0.03565208034262118,0.39737990956680674,1.8885620027240861,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_SS_conditional_variance,viscosity_laplacian_acceleration,upper,identity,0.4603784149469809,0.04216547293854936,0.540010524965616,1.8885620027240861,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_SS_oracle_nrmse,density_rate,upper,identity,0.5403789915781142,0.06640191938414186,0.7155831780813601,2.6385409959262143,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_SS_oracle_nrmse,pressure_gradient_acceleration,upper,identity,0.5078842499200736,0.07372327857885065,0.70240614280446,2.6385409959262143,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_SS_oracle_nrmse,viscosity_laplacian_acceleration,upper,identity,0.4671398530431645,0.04567845749653837,0.5876643357784541,2.6385409959262143,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_SS_improvement,density_rate,lower,identity,0.3641363168384414,0.03128900335292095,0.2974941078859538,2.129892352300389,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_SS_improvement,pressure_gradient_acceleration,lower,identity,0.3712554301858785,0.0361333190864439,0.29429535020043196,2.129892352300389,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_SS_improvement,viscosity_laplacian_acceleration,lower,identity,0.4749806357537012,0.025716609007561446,0.4202070269013968,2.129892352300389,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_SS_oracle_nrmse_family_F1,density_rate,upper,identity,0.8305947483097608,0.24014584192591595,1.3671485681736613,2.234283198746474,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_SS_oracle_nrmse_family_F1,pressure_gradient_acceleration,upper,identity,0.7718723809576661,0.22958646921389994,1.2848335717818073,2.234283198746474,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_SS_oracle_nrmse_family_F1,viscosity_laplacian_acceleration,upper,identity,0.6933343029739295,0.16086134220402282,1.0527440971881847,2.234283198746474,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_SS_oracle_nrmse_family_F2,density_rate,upper,identity,0.354211384472167,0.053826139808205976,0.48949810041473607,2.513401786281247,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_SS_oracle_nrmse_family_F2,pressure_gradient_acceleration,upper,identity,0.3138795870160704,0.05515893690788493,0.45251615756972297,2.513401786281247,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_SS_oracle_nrmse_family_F2,viscosity_laplacian_acceleration,upper,identity,0.31000130028518585,0.03804379941191227,0.4056206536840116,2.513401786281247,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_SS_oracle_nrmse_family_F3,density_rate,upper,identity,0.40025942431722017,0.09015084633926487,0.6203637403438792,2.4415113663862895,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_SS_oracle_nrmse_family_F3,pressure_gradient_acceleration,upper,identity,0.3620269192457965,0.06178123222886811,0.512866499961929,2.4415113663862895,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_SS_oracle_nrmse_family_F3,viscosity_laplacian_acceleration,upper,identity,0.256017096836535,0.04008230259160375,0.35387849420487016,2.4415113663862895,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_SS_oracle_nrmse_family_F4,density_rate,upper,identity,0.5764504092133088,0.041732573940362706,0.6721669902309994,2.293570033673765,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_SS_oracle_nrmse_family_F4,pressure_gradient_acceleration,upper,identity,0.5837581124607617,0.16583533027576905,0.9641130565056573,2.293570033673765,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_SS_oracle_nrmse_family_F4,viscosity_laplacian_acceleration,upper,identity,0.6092067120770079,0.07094991777725225,0.7719353173825312,2.293570033673765,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_conditional_variance,density_rate,upper,identity,0.03056365431814069,0.002889264552273113,0.03654788278458852,2.0711943673485274,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_conditional_variance,pressure_gradient_acceleration,upper,identity,0.34510363491800494,0.0477295072902454,0.44396072157388167,2.0711943673485274,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_conditional_variance,viscosity_laplacian_acceleration,upper,identity,0.4727550234388798,0.04890429794833079,0.5740453298885967,2.0711943673485274,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_oracle_nrmse,density_rate,upper,identity,0.1625951106024852,0.04664179686899736,0.28337058566577844,2.589425862012025,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_oracle_nrmse,pressure_gradient_acceleration,upper,identity,0.25235988894350103,0.03774688824582373,0.35010265757771475,2.589425862012025,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_oracle_nrmse,viscosity_laplacian_acceleration,upper,identity,0.18754480586081715,0.020411772792257924,0.24039957821860322,2.589425862012025,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_improvement,density_rate,lower,identity,0.8086744164686647,0.046029322489722344,0.7174822427196266,1.9811756683883406,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_improvement,pressure_gradient_acceleration,lower,identity,0.6875864730259087,0.02450320434229393,0.6390413207854084,1.9811756683883406,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_improvement,viscosity_laplacian_acceleration,lower,identity,0.7892180380258769,0.01773273267995799,0.7540863795063093,1.9811756683883406,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_oracle_nrmse_family_F1,density_rate,upper,identity,0.3539858469394079,0.18494482489972225,0.74237028570199,2.1000016571059263,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
