arm,scope,scope_id,coverage,status,evaluable,not_evaluable_mechanism,component_independent,can_substitute_for_identifiability
SS,OVERALL,ALL,0.9321428723399081,EVALUABLE,True,,True,False
SS,FAMILY,F1,0.976098473243464,EVALUABLE,True,,True,False
SS,FAMILY,F2,0.9918393355606131,EVALUABLE,True,,True,False
SS,FAMILY,F3,0.9921875,EVALUABLE,True,,True,False
SS,FAMILY,F4,0.7684461805555555,EVALUABLE,True,,True,False
SS,FOLD,FOLD_0,0.9791044347426471,EVALUABLE,True,,True,False
SS,FOLD,FOLD_1,0.9462890625,EVALUABLE,True,,True,False
SS,FOLD,FOLD_2,0.9742787479575163,EVALUABLE,True,,True,False
SS,FOLD,FOLD_3,0.9123849735206582,EVALUABLE,True,,True,False
SS,FOLD,FOLD_4,0.8283260569852942,EVALUABLE,True,,True,False
SS,FOLD,FOLD_5,0.9524739583333334,EVALUABLE,True,,True,False
MS,OVERALL,ALL,0.9417280893477183,EVALUABLE,True,,True,False
MS,FAMILY,F1,0.9601303998161764,EVALUABLE,True,,True,False
MS,FAMILY,F2,0.969842364028945,EVALUABLE,True,,True,False
MS,FAMILY,F3,0.987438725490196,EVALUABLE,True,,True,False
MS,FAMILY,F4,0.8495008680555557,EVALUABLE,True,,True,False
MS,FOLD,FOLD_0,0.9638959099264706,EVALUABLE,True,,True,False
MS,FOLD,FOLD_1,0.9462890625,EVALUABLE,True,,True,False
MS,FOLD,FOLD_2,0.9603324142156863,EVALUABLE,True,,True,False
MS,FOLD,FOLD_3,0.9463263332676821,EVALUABLE,True,,True,False
MS,FOLD,FOLD_4,0.8359662224264706,EVALUABLE,True,,True,False
MS,FOLD,FOLD_5,0.99755859375,EVALUABLE,True,,True,False
