arm,component,scope,scope_id,conditional_variance,status,evaluable,not_evaluable_mechanism
MS,density_rate,OVERALL,ALL,0.03056365431814069,EVALUABLE,True,
MS,density_rate,FAMILY,F1,0.00589376341607645,EVALUABLE,True,
MS,density_rate,FAMILY,F2,0.010101982546713718,EVALUABLE,True,
MS,density_rate,FAMILY,F3,0.007479155577937952,EVALUABLE,True,
MS,density_rate,FAMILY,F4,0.09877971573183464,EVALUABLE,True,
MS,density_rate,FOLD,FOLD_0,0.0035011177297809347,EVALUABLE,True,
MS,density_rate,FOLD,FOLD_1,0.1477246246454778,EVALUABLE,True,
MS,density_rate,FOLD,FOLD_2,0.0089143921826007,EVALUABLE,True,
MS,density_rate,FOLD,FOLD_3,0.018025641798117855,EVALUABLE,True,
MS,density_rate,FOLD,FOLD_4,0.004758078274039569,EVALUABLE,True,
MS,density_rate,FOLD,FOLD_5,0.0004580712788272824,EVALUABLE,True,
MS,pressure_gradient_acceleration,OVERALL,ALL,0.34510363491800494,EVALUABLE,True,
MS,pressure_gradient_acceleration,FAMILY,F1,0.1183865672395224,EVALUABLE,True,
MS,pressure_gradient_acceleration,FAMILY,F2,0.06154140530946304,EVALUABLE,True,
MS,pressure_gradient_acceleration,FAMILY,F3,0.21279455529798905,EVALUABLE,True,
MS,pressure_gradient_acceleration,FAMILY,F4,0.9876920118250453,EVALUABLE,True,
MS,pressure_gradient_acceleration,FOLD,FOLD_0,0.4013426078110415,EVALUABLE,True,
MS,pressure_gradient_acceleration,FOLD,FOLD_1,0.5468631948608775,EVALUABLE,True,
MS,pressure_gradient_acceleration,FOLD,FOLD_2,0.2974388784232702,EVALUABLE,True,
MS,pressure_gradient_acceleration,FOLD,FOLD_3,0.06203123969479605,EVALUABLE,True,
MS,pressure_gradient_acceleration,FOLD,FOLD_4,0.13597687771421801,EVALUABLE,True,
MS,pressure_gradient_acceleration,FOLD,FOLD_5,0.6269690110038264,EVALUABLE,True,
MS,viscosity_laplacian_acceleration,OVERALL,ALL,0.4727550234388798,EVALUABLE,True,
MS,viscosity_laplacian_acceleration,FAMILY,F1,0.3976938630970422,EVALUABLE,True,
MS,viscosity_laplacian_acceleration,FAMILY,F2,0.4354151388926266,EVALUABLE,True,
MS,viscosity_laplacian_acceleration,FAMILY,F3,0.2556494525209812,EVALUABLE,True,
MS,viscosity_laplacian_acceleration,FAMILY,F4,0.8022616392448692,EVALUABLE,True,
MS,viscosity_laplacian_acceleration,FOLD,FOLD_0,0.20997277366408443,EVALUABLE,True,
MS,viscosity_laplacian_acceleration,FOLD,FOLD_1,0.3655319307147463,EVALUABLE,True,
MS,viscosity_laplacian_acceleration,FOLD,FOLD_2,0.5913791592068812,EVALUABLE,True,
MS,viscosity_laplacian_acceleration,FOLD,FOLD_3,1.2323516102048568,EVALUABLE,True,
MS,viscosity_laplacian_acceleration,FOLD,FOLD_4,0.24024654457881175,EVALUABLE,True,
MS,viscosity_laplacian_acceleration,FOLD,FOLD_5,0.19704812226389845,EVALUABLE,True,
