arm,component,scope,scope_id,conditional_variance,status,evaluable,not_evaluable_mechanism
SS,density_rate,OVERALL,ALL,0.1979805059681546,EVALUABLE,True,
SS,density_rate,FAMILY,F1,0.13313075186086373,EVALUABLE,True,
SS,density_rate,FAMILY,F2,0.10525590263835627,EVALUABLE,True,
SS,density_rate,FAMILY,F3,0.205166951593998,EVALUABLE,True,
SS,density_rate,FAMILY,F4,0.34836841777940036,EVALUABLE,True,
SS,density_rate,FOLD,FOLD_0,0.0682085924129024,EVALUABLE,True,
SS,density_rate,FOLD,FOLD_1,0.23895649823856455,EVALUABLE,True,
SS,density_rate,FOLD,FOLD_2,0.22064365827887075,EVALUABLE,True,
SS,density_rate,FOLD,FOLD_3,0.25963761798332563,EVALUABLE,True,
SS,density_rate,FOLD,FOLD_4,0.19515471026802417,EVALUABLE,True,
SS,density_rate,FOLD,FOLD_5,0.20528195862724008,EVALUABLE,True,
SS,pressure_gradient_acceleration,OVERALL,ALL,0.33004874531366607,EVALUABLE,True,
SS,pressure_gradient_acceleration,FAMILY,F1,0.12197120363601421,EVALUABLE,True,
SS,pressure_gradient_acceleration,FAMILY,F2,0.06157451553666973,EVALUABLE,True,
SS,pressure_gradient_acceleration,FAMILY,F3,0.21279872898940688,EVALUABLE,True,
SS,pressure_gradient_acceleration,FAMILY,F4,0.9238505330925735,EVALUABLE,True,
SS,pressure_gradient_acceleration,FOLD,FOLD_0,0.5016641131403395,EVALUABLE,True,
SS,pressure_gradient_acceleration,FOLD,FOLD_1,0.550559529015216,EVALUABLE,True,
SS,pressure_gradient_acceleration,FOLD,FOLD_2,0.3642631739470302,EVALUABLE,True,
SS,pressure_gradient_acceleration,FOLD,FOLD_3,0.062157168349867196,EVALUABLE,True,
SS,pressure_gradient_acceleration,FOLD,FOLD_4,0.13680343993624677,EVALUABLE,True,
SS,pressure_gradient_acceleration,FOLD,FOLD_5,0.36484504749329666,EVALUABLE,True,
SS,viscosity_laplacian_acceleration,OVERALL,ALL,0.4603784149469809,EVALUABLE,True,
SS,viscosity_laplacian_acceleration,FAMILY,F1,0.47825473528051443,EVALUABLE,True,
SS,viscosity_laplacian_acceleration,FAMILY,F2,0.38243910778520246,EVALUABLE,True,
SS,viscosity_laplacian_acceleration,FAMILY,F3,0.32074896757562543,EVALUABLE,True,
SS,viscosity_laplacian_acceleration,FAMILY,F4,0.6600708491465813,EVALUABLE,True,
SS,viscosity_laplacian_acceleration,FOLD,FOLD_0,0.28952482064206203,EVALUABLE,True,
SS,viscosity_laplacian_acceleration,FOLD,FOLD_1,0.41592183720460485,EVALUABLE,True,
SS,viscosity_laplacian_acceleration,FOLD,FOLD_2,0.5735960773976265,EVALUABLE,True,
SS,viscosity_laplacian_acceleration,FOLD,FOLD_3,0.7722920385580614,EVALUABLE,True,
SS,viscosity_laplacian_acceleration,FOLD,FOLD_4,0.41279150471374626,EVALUABLE,True,
SS,viscosity_laplacian_acceleration,FOLD,FOLD_5,0.2981442111657846,EVALUABLE,True,
