arm,component,scope,scope_id,oracle_nrmse,mean_baseline_nrmse,improvement_over_mean_baseline,oracle_status,oracle_evaluable,oracle_not_evaluable_mechanism,mean_baseline_status,mean_baseline_evaluable,mean_baseline_not_evaluable_mechanism,improvement_status,improvement_evaluable,improvement_not_evaluable_mechanism,selected_oracles_by_outer_fold
SS,density_rate,OVERALL,ALL,0.5403789915781142,0.8498346514952893,0.3641363168384414,EVALUABLE,True,,EVALUABLE,True,,EVALUABLE,True,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
SS,density_rate,FAMILY,F1,0.8305947483097608,1.3038606956628027,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
SS,density_rate,FAMILY,F2,0.354211384472167,0.6821725580707111,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
SS,density_rate,FAMILY,F3,0.40025942431722017,0.8247934723061844,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
SS,density_rate,FAMILY,F4,0.5764504092133088,0.5885118799414591,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
SS,density_rate,FOLD,FOLD_0,0.33953382513874636,0.47905376716277825,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
SS,density_rate,FOLD,FOLD_1,0.4718033513957548,0.86283445396436,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
SS,density_rate,FOLD,FOLD_2,0.30144878454482993,0.7858102252291126,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
SS,density_rate,FOLD,FOLD_3,1.4288885188686118,2.1864000293124324,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
SS,density_rate,FOLD,FOLD_4,0.4926930448460556,0.5346931119870896,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
SS,density_rate,FOLD,FOLD_5,0.2079064246746864,0.2502163213159631,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
SS,pressure_gradient_acceleration,OVERALL,ALL,0.5078842499200736,0.8077751670606422,0.3712554301858785,EVALUABLE,True,,EVALUABLE,True,,EVALUABLE,True,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
SS,pressure_gradient_acceleration,FAMILY,F1,0.7718723809576661,1.2001574270435635,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
SS,pressure_gradient_acceleration,FAMILY,F2,0.3138795870160704,0.5070781180020737,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}"
