formal_case_index,case_id,family,fold,field_lineage_id,particle_count,case_replacement_authorized,position_hash_matches,particle_state_hash_matches,lambda_1_operator_hash_matches,lambda_1_registered_operator_is_canonical_target_path,ddo_algebraic_pressure_viscosity_bitwise_identity,ddo_algebraic_density_rate_linf_diagnostic,primary_topology_audit_passed,independent_topology_audit_passed,primary_edge_count,independent_edge_count,independent_topology_identity,graph_repeatability_bitwise,operator_repeatability_bitwise,analytical_derivative_reference_gate_passed,analytical_derivative_reference_max_relative,analytical_derivative_reference_failures,finite_values,target_component_identity,component_closure_residual,component_closure_bound,component_closure_passed,target_sign_convention_all_primary_passed,float32_precision_degradation_diagnostic_linf,float32_precision_diagnostic_topology_mode,target_definition,case_target_reference_qualified,density_rate__scale,density_rate__U_round,density_rate__Delta_ref,density_rate__Delta_repeat,density_rate__Delta_permutation,density_rate__Delta_compensated,density_rate__Delta_accumulation,density_rate__Delta_geometry,density_rate__Delta_identity,density_rate__U_num,density_rate__sign_residual,density_rate__sign_gate_passed,density_rate__target_rms,pressure_gradient_acceleration__scale,pressure_gradient_acceleration__U_round,pressure_gradient_acceleration__Delta_ref,pressure_gradient_acceleration__Delta_repeat,pressure_gradient_acceleration__Delta_permutation,pressure_gradient_acceleration__Delta_compensated,pressure_gradient_acceleration__Delta_accumulation,pressure_gradient_acceleration__Delta_geometry,pressure_gradient_acceleration__Delta_identity,pressure_gradient_acceleration__U_num,pressure_gradient_acceleration__sign_residual,pressure_gradient_acceleration__sign_gate_passed,pressure_gradient_acceleration__target_rms,viscosity_laplacian_acceleration__scale,viscosity_laplacian_acceleration__U_round,viscosity_laplacian_acceleration__Delta_ref,viscosity_laplacian_acceleration__Delta_repeat,viscosity_laplacian_acceleration__Delta_permutation,viscosity_laplacian_acceleration__Delta_compensated,viscosity_laplacian_acceleration__Delta_accumulation,viscosity_laplacian_acceleration__Delta_geometry,viscosity_laplacian_acceleration__Delta_identity,viscosity_laplacian_acceleration__U_num,viscosity_laplacian_acceleration__sign_residual,viscosity_laplacian_acceleration__sign_gate_passed,viscosity_laplacian_acceleration__target_rms,total_acceleration_derived__scale,total_acceleration_derived__U_round,total_acceleration_derived__Delta_ref,total_acceleration_derived__Delta_repeat,total_acceleration_derived__Delta_permutation,total_acceleration_derived__Delta_compensated,total_acceleration_derived__Delta_accumulation,total_acceleration_derived__Delta_geometry,total_acceleration_derived__Delta_identity,total_acceleration_derived__U_num,total_acceleration_derived__sign_residual,total_acceleration_derived__sign_gate_passed,total_acceleration_derived__target_rms,stage,pre_target_commit,formal_operator_lambda,formal_lambda_1_only,full_case_target_shape_dtype_finite_identity,target_particle_state_join_identity,formal_particle_ids_contiguous_zero_based,formal_particle_sample_registry_payload_read_by_target_builder,formal_particle_sample_registry_sha256,reserve_case_used
0,HMSO01R_A|PRIMARY|F1|17189a9c215416ff2620cbd08f0d84d7ada1a2cc660112d1da29b944116d0cd4,F1,FOLD_0,HMSO01R_A|FIELD_LINEAGE|4389c621e60229f631c944081b4adc544d96927c12f624ff90ee3e85668f651e,576,False,True,True,True,True,True,1.6653345369377348e-16,True,True,16704,16704,True,True,True,True,3.1653656809497727e-16,,True,True,0.0,3.2094162648829558e-15,True,True,5.655768270107497e-07,PRIMARY_TOPOLOGY_CAST_FLOAT32_DIAGNOSTIC_ONLY,CONTINUUM_REFERENCE_MINUS_LAMBDA_1_BASE_SPH,True,0.35074084214245743,9.968654300748126e-15,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,3.3306690738754696e-16,0.0,1.0523765813060704e-14,0.0,True,0.021853282482645293,0.01,2.842170943040401e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-16,0.0,True,0.0,0.04407539411954566,1.2526980446962643e-15,1.3877787807814457e-17,0.0,4.683753385137379e-17,3.2959746043559335e-17,4.683753385137379e-17,1.491862189340054e-16,0.0,1.462599585289458e-15,0.0,True,0.0017378570196961247,0.04407539411954566,1.2526980446962643e-15,1.3877787807814457e-17,0.0,4.683753385137379e-17,3.2959746043559335e-17,4.683753385137379e-17,1.491862189340054e-16,0.0,1.462599585289458e-15,0.0,True,0.0017378570196961247,H-MSO-01R-B,1c99103edaf76aa05915458fd498e07b1241e272,1.0,True,True,True,True,False,a4b7da1a9f6e4efab7ccbc9ec3bb5e4235a82aef30ce64017895df05ab1c2b01,False
1,HMSO01R_A|PRIMARY|F1|a4dcbb5c100eb79e76af22af5e66115d80a192e32c5351ce17a23c9ea395fc58,F1,FOLD_3,HMSO01R_A|FIELD_LINEAGE|39a5eaeb1afddf9af00bec82f67fdf5414fc1d1e11076c2f86704fda2809ab87,576,False,True,True,True,True,True,7.31938110381386e-17,True,True,28224,28224,True,True,True,True,2.513435083615995e-16,,True,True,0.0,1.2534387222608394e-15,True,True,2.2351741832404848e-08,PRIMARY_TOPOLOGY_CAST_FLOAT32_DIAGNOSTIC_ONLY,CONTINUUM_REFERENCE_MINUS_LAMBDA_1_BASE_SPH,True,0.1,2.842170943040401e-15,0.0,0.0,8.326672684688674e-17,6.938893903907228e-17,8.326672684688674e-17,1.249000902703301e-16,0.0,3.0503377601576178e-15,0.0,True,7.716040032785025e-17,0.01,2.842170943040401e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-16,0.0,True,0.0,0.01387689907228776,3.9440519322760567e-16,3.469446951953614e-18,0.0,2.7755575615628914e-17,2.3418766925686896e-17,2.7755575615628914e-17,5.898059818321144e-17,0.0,4.846108139783996e-16,0.0,True,0.00042668373034429456,0.01387689907228776,3.9440519322760567e-16,3.469446951953614e-18,0.0,2.7755575615628914e-17,2.3418766925686896e-17,2.7755575615628914e-17,5.898059818321144e-17,0.0,4.846108139783996e-16,0.0,True,0.00042668373034429456,H-MSO-01R-B,1c99103edaf76aa05915458fd498e07b1241e272,1.0,True,True,True,True,False,a4b7da1a9f6e4efab7ccbc9ec3bb5e4235a82aef30ce64017895df05ab1c2b01,False
2,HMSO01R_A|PRIMARY|F1|c2e87b38878c4fcdafb44a05b365bc326ef291a8d36233033ae3633cd4114a99,F1,FOLD_5,HMSO01R_A|FIELD_LINEAGE|86f4c153dee170c8ee8f47b2eb988fa25bcda8c9a7b6fd68a3d7256dc3af0a1f,576,False,True,True,True,True,True,0.0,True,True,28224,28224,True,True,True,True,1.4152170767639814e-16,,True,True,0.0,2.1351749511663084e-13,True,True,3.842136420573183e-06,PRIMARY_TOPOLOGY_CAST_FLOAT32_DIAGNOSTIC_ONLY,CONTINUUM_REFERENCE_MINUS_LAMBDA_1_BASE_SPH,True,0.1,2.842170943040401e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-15,0.0,True,0.0,3.1379582478294545,8.918613752454844e-14,4.440892098500626e-16,0.0,6.994405055138486e-15,4.6629367034256575e-15,6.994405055138486e-15,9.992007221626409e-15,0.0,1.066166390111634e-13,0.0,True,0.06796830762195025,0.01,2.842170943040401e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-16,0.0,True,0.0,3.1379582478294545,8.918613752454844e-14,4.440892098500626e-16,0.0,6.994405055138486e-15,4.6629367034256575e-15,6.994405055138486e-15,9.992007221626409e-15,0.0,1.066166390111634e-13,0.0,True,0.06796830762195025,H-MSO-01R-B,1c99103edaf76aa05915458fd498e07b1241e272,1.0,True,True,True,True,False,a4b7da1a9f6e4efab7ccbc9ec3bb5e4235a82aef30ce64017895df05ab1c2b01,False
3,HMSO01R_A|PRIMARY|F1|5c9e81f778749b662a5e524e43479f5e490b215def0762270203c9817e709b9b,F1,FOLD_1,HMSO01R_A|FIELD_LINEAGE|9aaa52aa8afb4f9adfe0d0e7ddb5e3e8101852fdd6ef0a635cf3875b473d16a7,576,False,True,True,True,True,True,6.173684339357693e-16,True,True,28224,28224,True,True,True,True,3.739759782743068e-16,,True,True,0.0,7.819752358643436e-15,True,True,1.8655055243274599e-07,PRIMARY_TOPOLOGY_CAST_FLOAT32_DIAGNOSTIC_ONLY,CONTINUUM_REFERENCE_MINUS_LAMBDA_1_BASE_SPH,True,0.1,2.842170943040401e-15,0.0,0.0,6.661338147750939e-16,5.551115123125783e-16,6.661338147750939e-16,6.661338147750939e-16,0.0,4.174438572590589e-15,0.0,True,7.353931836514132e-16,0.01,2.842170943040401e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-16,0.0,True,0.0,0.11132630393951615,3.164083862529769e-15,4.163336342344337e-17,0.0,1.8735013540549517e-16,1.3357370765021415e-16,1.8735013540549517e-16,3.7470027081099033e-16,0.0,3.767767632169698e-15,0.0,True,0.003413469842754361,0.11132630393951615,3.164083862529769e-15,4.163336342344337e-17,0.0,1.8735013540549517e-16,1.3357370765021415e-16,1.8735013540549517e-16,3.7470027081099033e-16,0.0,3.767767632169698e-15,0.0,True,0.003413469842754361,H-MSO-01R-B,1c99103edaf76aa05915458fd498e07b1241e272,1.0,True,True,True,True,False,a4b7da1a9f6e4efab7ccbc9ec3bb5e4235a82aef30ce64017895df05ab1c2b01,False
4,HMSO01R_A|PRIMARY|F1|11515df6f9da405fc42923eeb47db2b4ebe97ceea73b879e18c9259527ebbd13,F1,FOLD_4,HMSO01R_A|FIELD_LINEAGE|e4c235f067a50e9e5304ee0e7ad701299187cd559ceebd74674d932464340e77,576,False,True,True,True,True,True,3.3306690738754696e-16,True,True,28224,28224,True,True,True,True,3.1653656809497727e-16,,True,True,0.0,5.857059679305583e-15,True,True,1.1010691369217618e-06,PRIMARY_TOPOLOGY_CAST_FLOAT32_DIAGNOSTIC_ONLY,CONTINUUM_REFERENCE_MINUS_LAMBDA_1_BASE_SPH,True,0.7014816842849149,1.993730860149625e-14,2.220446049250313e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,0.0,2.0825487021196377e-14,0.0,True,0.06811953926259588,0.01,2.842170943040401e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-16,0.0,True,0.0,0.08815078823909132,2.5053960893925285e-15,2.7755575615628914e-17,0.0,6.245004513516506e-17,6.591949208711867e-17,6.591949208711867e-17,1.8735013540549517e-16,0.0,2.7864212925007713e-15,0.0,True,0.004987505658272653,0.08815078823909132,2.5053960893925285e-15,2.7755575615628914e-17,0.0,6.245004513516506e-17,6.591949208711867e-17,6.591949208711867e-17,1.8735013540549517e-16,0.0,2.7864212925007713e-15,0.0,True,0.004987505658272653,H-MSO-01R-B,1c99103edaf76aa05915458fd498e07b1241e272,1.0,True,True,True,True,False,a4b7da1a9f6e4efab7ccbc9ec3bb5e4235a82aef30ce64017895df05ab1c2b01,False
5,HMSO01R_A|PRIMARY|F1|29e92b6c39e1d3a436fb2bd671c7071524922a02fbf8851e384bc0c0d658f8fa,F1,FOLD_0,HMSO01R_A|FIELD_LINEAGE|f117df283c3988b3a51ad2a7138592681c02ac94fc8905b0ebf163745ca00f62,576,False,True,True,True,True,True,2.179246366695864e-17,True,True,28224,28224,True,True,True,True,2.262886615381181e-16,,True,True,0.0,5.357025144510766e-15,True,True,7.309149418349703e-08,PRIMARY_TOPOLOGY_CAST_FLOAT32_DIAGNOSTIC_ONLY,CONTINUUM_REFERENCE_MINUS_LAMBDA_1_BASE_SPH,True,0.1,2.842170943040401e-15,0.0,0.0,6.055269133331542e-17,1.4433441421213278e-17,6.055269133331542e-17,1.8453120975703285e-16,0.0,3.087254844130749e-15,0.0,True,6.096192485684228e-17,0.01,2.842170943040401e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-16,0.0,True,0.0,0.0784995954868479,2.231092693331445e-15,1.3877787807814457e-17,0.0,8.673617379884035e-17,4.85722573273506e-17,8.673617379884035e-17,2.0469737016526324e-16,0.0,2.536404025103363e-15,0.0,True,0.0032422467918079637,0.0784995954868479,2.231092693331445e-15,1.3877787807814457e-17,0.0,8.673617379884035e-17,4.85722573273506e-17,8.673617379884035e-17,2.0469737016526324e-16,0.0,2.536404025103363e-15,0.0,True,0.0032422467918079637,H-MSO-01R-B,1c99103edaf76aa05915458fd498e07b1241e272,1.0,True,True,True,True,False,a4b7da1a9f6e4efab7ccbc9ec3bb5e4235a82aef30ce64017895df05ab1c2b01,False
6,HMSO01R_A|PRIMARY|F1|9883cd7992a90f5d6864ab975f80dd9cf59338673fe1489da80f17066b15096b,F1,FOLD_3,HMSO01R_A|FIELD_LINEAGE|7c009b8ab0dfadca9095462a890aab36eac46b48a3c131f7a908a8d37a21f707,576,False,True,True,True,True,True,3.885780586188048e-16,True,True,46656,46656,True,True,True,True,3.191841322443933e-16,,True,True,0.0,2.060260754682876e-15,True,True,7.12815388048682e-07,PRIMARY_TOPOLOGY_CAST_FLOAT32_DIAGNOSTIC_ONLY,CONTINUUM_REFERENCE_MINUS_LAMBDA_1_BASE_SPH,True,0.4428728484992099,1.2587203414659879e-14,1.1102230246251565e-16,0.0,2.7755575615628914e-16,2.220446049250313e-16,2.7755575615628914e-16,2.7755575615628914e-16,0.0,1.3253337229434973e-14,0.0,True,0.02745449392503634,0.01,2.842170943040401e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-16,0.0,True,0.0,0.027826521746390064,7.908773155347167e-16,6.938893903907228e-18,0.0,3.122502256758253e-17,2.7755575615628914e-17,3.122502256758253e-17,5.898059818321144e-17,0.0,8.880218301894179e-16,0.0,True,0.001262691248883011,0.027826521746390064,7.908773155347167e-16,6.938893903907228e-18,0.0,3.122502256758253e-17,2.7755575615628914e-17,3.122502256758253e-17,5.898059818321144e-17,0.0,8.880218301894179e-16,0.0,True,0.001262691248883011,H-MSO-01R-B,1c99103edaf76aa05915458fd498e07b1241e272,1.0,True,True,True,True,False,a4b7da1a9f6e4efab7ccbc9ec3bb5e4235a82aef30ce64017895df05ab1c2b01,False
7,HMSO01R_A|PRIMARY|F1|9487e088f788d2ec8ba6ae806ea91685d6ebbefde165d132cb5f71e58101c354,F1,FOLD_4,HMSO01R_A|FIELD_LINEAGE|a1c0a919ad122615714cbb9f6b50981061d4f68fe06b618c4cd2688f52f12391,576,False,True,True,True,True,True,0.0,True,True,46656,46656,True,True,True,True,1.9808757539222985e-16,,True,True,0.0,2.691456401596142e-13,True,True,4.3802935169034996e-06,PRIMARY_TOPOLOGY_CAST_FLOAT32_DIAGNOSTIC_ONLY,CONTINUUM_REFERENCE_MINUS_LAMBDA_1_BASE_SPH,True,0.1,2.842170943040401e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-15,0.0,True,0.0,4.4837664247313755,1.274363064775166e-13,8.881784197001252e-16,0.0,2.6645352591003757e-15,2.6645352591003757e-15,2.6645352591003757e-15,3.4416913763379853e-15,0.0,1.3443071153265508e-13,0.0,True,1.1317416432201701,0.01,2.842170943040401e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-16,0.0,True,0.0,4.4837664247313755,1.274363064775166e-13,8.881784197001252e-16,0.0,2.6645352591003757e-15,2.6645352591003757e-15,2.6645352591003757e-15,3.4416913763379853e-15,0.0,1.3443071153265508e-13,0.0,True,1.1317416432201701,H-MSO-01R-B,1c99103edaf76aa05915458fd498e07b1241e272,1.0,True,True,True,True,False,a4b7da1a9f6e4efab7ccbc9ec3bb5e4235a82aef30ce64017895df05ab1c2b01,False
8,HMSO01R_A|PRIMARY|F1|20535a5b894e69d9162faebb7d09c6da71c5ccb03d06b6550f8c2888772f9134,F1,FOLD_1,HMSO01R_A|FIELD_LINEAGE|fefaa03392c6d5e862f0b98f72e148123eb5332d997aade537062f72a6e1a99c,576,False,True,True,True,True,True,0.0,True,True,46656,46656,True,True,True,True,9.422029829316199e-17,,True,True,0.0,2.2253605924981173e-12,True,True,3.3702597011853186e-05,PRIMARY_TOPOLOGY_CAST_FLOAT32_DIAGNOSTIC_ONLY,CONTINUUM_REFERENCE_MINUS_LAMBDA_1_BASE_SPH,True,0.1,2.842170943040401e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-15,0.0,True,0.0,37.7064575591387,1.0716819803957008e-12,3.552713678800501e-15,0.0,1.5987211554602254e-14,1.4210854715202004e-14,1.5987211554602254e-14,2.1316282072803006e-14,0.0,1.1125381877019066e-12,0.0,True,9.041284255496047,0.01,2.842170943040401e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-16,0.0,True,0.0,37.7064575591387,1.0716819803957008e-12,3.552713678800501e-15,0.0,1.5987211554602254e-14,1.4210854715202004e-14,1.5987211554602254e-14,2.1316282072803006e-14,0.0,1.1125381877019066e-12,0.0,True,9.041284255496047,H-MSO-01R-B,1c99103edaf76aa05915458fd498e07b1241e272,1.0,True,True,True,True,False,a4b7da1a9f6e4efab7ccbc9ec3bb5e4235a82aef30ce64017895df05ab1c2b01,False
9,HMSO01R_A|PRIMARY|F1|dc3d8aab18d0c255168c9471f21eea7e056899fbb44faeb54799a5443ea70f0c,F1,FOLD_2,HMSO01R_A|FIELD_LINEAGE|d3329a31885ae9100b3a5071d3f6de7c5b314524ba319156e3df439e55667dd5,576,False,True,True,True,True,True,0.0,True,True,28224,28224,True,True,True,True,1.4136328784992143e-16,,True,True,0.0,7.758572051498114e-13,True,True,2.205897854778982e-05,PRIMARY_TOPOLOGY_CAST_FLOAT32_DIAGNOSTIC_ONLY,CONTINUUM_REFERENCE_MINUS_LAMBDA_1_BASE_SPH,True,0.1,2.842170943040401e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-15,0.0,True,0.0,12.565899296896113,3.5714433854809934e-13,1.7763568394002505e-15,0.0,1.021405182655144e-14,7.105427357601002e-15,1.021405182655144e-14,1.865174681370263e-14,0.0,3.8778649402775366e-13,0.0,True,1.3620285515905508,0.01,2.842170943040401e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-16,0.0,True,0.0,12.565899296896113,3.5714433854809934e-13,1.7763568394002505e-15,0.0,1.021405182655144e-14,7.105427357601002e-15,1.021405182655144e-14,1.865174681370263e-14,0.0,3.8778649402775366e-13,0.0,True,1.3620285515905508,H-MSO-01R-B,1c99103edaf76aa05915458fd498e07b1241e272,1.0,True,True,True,True,False,a4b7da1a9f6e4efab7ccbc9ec3bb5e4235a82aef30ce64017895df05ab1c2b01,False
