case_id,lambda,edge_count,mean_neighbor_count_including_parent_self_edge,graph_wall_seconds,operator_evaluation_wall_seconds,combined_wall_seconds,peak_rss_bytes_before,peak_rss_bytes_after,peak_rss_bytes_process,evaluation_mode,relative_combined_cost_vs_lambda_1,relative_operator_cost_vs_lambda_1,combined_sequential_ss_ms_cost_seconds
TBQ_REGULAR_S20260812,0.75,16704,29.0,0.026280333004251588,0.0031222499965224415,0.02940258300077403,229638144,229883904,248152064,SEQUENTIAL_CPU_FLOAT64,1.231263944722778,0.6346842831263695,0.1070910000053118
TBQ_REGULAR_S20260812,1.0,28224,49.0,0.018960624998726416,0.0049193750019185245,0.02388000000064494,248152064,248217600,261914624,SEQUENTIAL_CPU_FLOAT64,1.0,1.0,0.1070910000053118
TBQ_REGULAR_S20260812,1.25,46656,81.0,0.016726834001019597,0.007903167002950795,0.024630001003970392,261914624,265699328,284098560,SEQUENTIAL_CPU_FLOAT64,1.0314070771903348,1.6065388387485424,0.1070910000053118
TBQ_REGULAR_S20260812,1.5,65088,113.0,0.018112333003955428,0.011066082995967008,0.029178415999922436,284098560,284622848,288555008,SEQUENTIAL_CPU_FLOAT64,1.2218767168816749,2.249489618427403,0.1070910000053118
TBQ_JITTER05_S20260829,0.75,15550,26.99652777777778,0.027762166995671578,0.0028818330029025674,0.030643999998574145,288555008,288931840,298074112,SEQUENTIAL_CPU_FLOAT64,1.3066759053660888,0.5930460194707957,0.10709520800446626
TBQ_JITTER05_S20260829,1.0,27058,46.97569444444444,0.018592499996884726,0.004859375003434252,0.023451875000318978,298074112,298074112,298074112,SEQUENTIAL_CPU_FLOAT64,1.0,1.0,0.10709520800446626
TBQ_JITTER05_S20260829,1.25,43238,75.06597222222223,0.016087832998891827,0.007533125004556496,0.023620958003448322,298074112,298074112,307511296,SEQUENTIAL_CPU_FLOAT64,1.00720978613126,1.5502250802279371,0.10709520800446626
TBQ_JITTER05_S20260829,1.5,64006,111.12152777777777,0.017757833003997803,0.01162054199812701,0.029378375002124812,307511296,307511296,318504960,SEQUENTIAL_CPU_FLOAT64,1.2527090052170764,2.391365554194615,0.10709520800446626
TBQ_JITTER10_S20260847,0.75,15574,27.038194444444443,0.02847075000318,0.0029303340052138083,0.03140108400839381,318504960,318521344,321044480,SEQUENTIAL_CPU_FLOAT64,1.3860374268235367,0.6465575626879206,0.1067597520086565
TBQ_JITTER10_S20260847,1.0,27356,47.49305555555556,0.018123083995305933,0.0045322090008994564,0.02265529299620539,321044480,321044480,323403776,SEQUENTIAL_CPU_FLOAT64,1.0,1.0,0.1067597520086565
TBQ_JITTER10_S20260847,1.25,43820,76.07638888888889,0.01654558299924247,0.007837167002435308,0.024382750001677778,323403776,323403776,323403776,SEQUENTIAL_CPU_FLOAT64,1.0762495989684056,1.7292157093549643,0.1067597520086565
TBQ_JITTER10_S20260847,1.5,64664,112.26388888888889,0.01774825000029523,0.0105723750020843,0.02832062500237953,323403776,323731456,333185024,SEQUENTIAL_CPU_FLOAT64,1.2500665962308695,2.332720093002357,0.1067597520086565
