case_id,lambda,component,direct_scale_rms,baseline_rms,baseline_difference_rms,log_scale_divided_difference_rms,repeat_rms_lambda,repeat_rms_base,edge_reorder_rms_lambda,edge_reorder_rms_base,dtype_scaled_floor,numerical_repeat_uncertainty_U,scale_response_resolvability_ratio_R,ratio_gate,ratio_gate_passed,S_0.75_1.25_rms,S_1.00_1.50_rms,C_0.75_1.00_1.25_rms,C_1.00_1.25_1.50_rms,all_response_values_finite
TBQ_REGULAR_S20260812,0.75,density_rate,0.32766852314462025,0.29848562898813497,0.029237662125161386,0.10163185309387669,0.0,0.0,4.2169007112948635e-17,5.417212414718637e-17,5.684341886080802e-14,5.684341886080802e-14,514354391609.6144,100.0,True,0.12916170850638714,0.18800351769397713,0.24726720171179978,0.2565939568228551,True
TBQ_REGULAR_S20260812,1.25,density_rate,0.26176628344989594,0.29848562898813497,0.03674786128242107,0.16468260483439287,0.0,0.0,5.303057831165493e-17,5.417212414718637e-17,5.684341886080802e-14,5.684341886080802e-14,646475212414.743,100.0,True,0.12916170850638714,0.18800351769397713,0.24726720171179978,0.2565939568228551,True
TBQ_REGULAR_S20260812,1.5,density_rate,0.22229410970303942,0.29848562898813497,0.07622886662650362,0.18800351769397713,0.0,0.0,5.856297736590162e-17,5.417212414718637e-17,5.684341886080802e-14,5.684341886080802e-14,1341032403648.4255,100.0,True,0.12916170850638714,0.18800351769397713,0.24726720171179978,0.2565939568228551,True
TBQ_REGULAR_S20260812,0.75,pressure_gradient_acceleration,0.15972279797562935,0.14086321513439168,0.02028762104622791,0.0705209778048591,0.0,0.0,4.382454321296269e-17,4.385823750402997e-17,5.684341886080802e-14,5.684341886080802e-14,356903603843.85095,100.0,True,0.08490037652345143,0.11311798286065385,0.1330059736203204,0.11549478501938293,True
TBQ_REGULAR_S20260812,1.25,pressure_gradient_acceleration,0.11915601655686346,0.14086321513439168,0.023124443440256635,0.10363034604434956,0.0,0.0,4.207198066218413e-17,4.385823750402997e-17,5.684341886080802e-14,5.684341886080802e-14,406809511174.5699,100.0,True,0.08490037652345143,0.11311798286065385,0.1330059736203204,0.11549478501938293,True
TBQ_REGULAR_S20260812,1.5,pressure_gradient_acceleration,0.09765970662082431,0.14086321513439168,0.045865395149572497,0.11311798286065385,0.0,0.0,3.94553809624578e-17,4.385823750402997e-17,5.684341886080802e-14,5.684341886080802e-14,806872564471.9346,100.0,True,0.08490037652345143,0.11311798286065385,0.1330059736203204,0.11549478501938293,True
TBQ_REGULAR_S20260812,0.75,viscosity_laplacian_acceleration,0.04457926708390088,0.042758525768897084,0.0018279678393031836,0.006354124967622284,0.0,0.0,1.0103558213949124e-17,1.0081072222375852e-17,5.684341886080802e-14,5.684341886080802e-14,32157950312.230736,100.0,True,0.008640046426846328,0.01359548598022551,0.020532437401099633,0.022049855527444075,True
TBQ_REGULAR_S20260812,1.25,viscosity_laplacian_acceleration,0.04017671543503945,0.042758525768897084,0.0025862289727803627,0.011589978547660014,0.0,0.0,9.964408484553349e-18,1.0081072222375852e-17,5.684341886080802e-14,5.684341886080802e-14,45497421242.61102,100.0,True,0.008640046426846328,0.01359548598022551,0.020532437401099633,0.022049855527444075,True
TBQ_REGULAR_S20260812,1.5,viscosity_laplacian_acceleration,0.03725276215750451,0.042758525768897084,0.0055124951927551695,0.01359548598022551,0.0,0.0,9.249758364324532e-18,1.0081072222375852e-17,5.684341886080802e-14,5.684341886080802e-14,96976840999.89778,100.0,True,0.008640046426846328,0.01359548598022551,0.020532437401099633,0.022049855527444075,True
TBQ_JITTER05_S20260829,0.75,density_rate,0.32745246653601334,0.29849009104079244,0.029335840553624048,0.10197312715251348,0.0,0.0,5.756005179027352e-17,5.697729706338844e-17,5.684341886080802e-14,5.684341886080802e-14,516081564788.6779,100.0,True,0.1289400878281291,0.18772412770545652,0.253822035576537,0.25999593775677055,True
