candidate_role,case_id,family,field_lineage_id,lambda,particle_count,edge_count,finite_state,finite_operator_outputs,deterministic_graph_construction,reciprocal_graph_semantics,duplicate_alias_self_edge_convention,periodic_minimum_image_correct,support_complete,zero_neighbor_count,minimum_nonself_neighbor_count,p01_nonself_neighbor_count,minimum_support_requirement_passed,weighted_covariance_rank_failure_count,support_completeness_fraction,operator_repeatability_bitwise,component_closure_bitwise,lambda_1_vendor_base_path_identity,graph_nesting_passed,scale_response_finite,case_scale_passed
PRIMARY,MSO02A|PRIMARY|F1|27df42dc9ee18fc950aa85d11eecccad7b529187e1e3d608172ecaf2ea53cbac,F1,MSO02A|FIELD_LINEAGE|7bd8e8d58618815ddc1384963528f8494fff86732356587760f7306aa2f9ef94,0.75,576,12096,True,True,True,True,True,True,True,0,20,20.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,MSO02A|PRIMARY|F1|27df42dc9ee18fc950aa85d11eecccad7b529187e1e3d608172ecaf2ea53cbac,F1,MSO02A|FIELD_LINEAGE|7bd8e8d58618815ddc1384963528f8494fff86732356587760f7306aa2f9ef94,1.0,576,16704,True,True,True,True,True,True,True,0,28,28.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,MSO02A|PRIMARY|F1|27df42dc9ee18fc950aa85d11eecccad7b529187e1e3d608172ecaf2ea53cbac,F1,MSO02A|FIELD_LINEAGE|7bd8e8d58618815ddc1384963528f8494fff86732356587760f7306aa2f9ef94,1.25,576,25920,True,True,True,True,True,True,True,0,44,44.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,MSO02A|PRIMARY|F1|27df42dc9ee18fc950aa85d11eecccad7b529187e1e3d608172ecaf2ea53cbac,F1,MSO02A|FIELD_LINEAGE|7bd8e8d58618815ddc1384963528f8494fff86732356587760f7306aa2f9ef94,1.5,576,39744,True,True,True,True,True,True,True,0,68,68.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,MSO02A|PRIMARY|F1|bffd67ac747351002b1b2d1407eda3d61047b309884e7df47390715abfc4d16e,F1,MSO02A|FIELD_LINEAGE|bdc9a59a5cce58400b6381a130e68bda8cdc12bf4a36749b79fdb2a9901acc00,0.75,576,25920,True,True,True,True,True,True,True,0,44,44.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,MSO02A|PRIMARY|F1|bffd67ac747351002b1b2d1407eda3d61047b309884e7df47390715abfc4d16e,F1,MSO02A|FIELD_LINEAGE|bdc9a59a5cce58400b6381a130e68bda8cdc12bf4a36749b79fdb2a9901acc00,1.0,576,46656,True,True,True,True,True,True,True,0,80,80.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,MSO02A|PRIMARY|F1|bffd67ac747351002b1b2d1407eda3d61047b309884e7df47390715abfc4d16e,F1,MSO02A|FIELD_LINEAGE|bdc9a59a5cce58400b6381a130e68bda8cdc12bf4a36749b79fdb2a9901acc00,1.25,576,69696,True,True,True,True,True,True,True,0,120,120.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,MSO02A|PRIMARY|F1|bffd67ac747351002b1b2d1407eda3d61047b309884e7df47390715abfc4d16e,F1,MSO02A|FIELD_LINEAGE|bdc9a59a5cce58400b6381a130e68bda8cdc12bf4a36749b79fdb2a9901acc00,1.5,576,101952,True,True,True,True,True,True,True,0,176,176.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,MSO02A|PRIMARY|F1|23a9c049ae7b972c984fa3e12bb117442e165ebbdaa960770297d5a377bcbfcf,F1,MSO02A|FIELD_LINEAGE|14cc9dad0dc786e64707dc7dc5e9e3d3f834f095f82a4887d31c184a9c924309,0.75,576,25920,True,True,True,True,True,True,True,0,44,44.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,MSO02A|PRIMARY|F1|23a9c049ae7b972c984fa3e12bb117442e165ebbdaa960770297d5a377bcbfcf,F1,MSO02A|FIELD_LINEAGE|14cc9dad0dc786e64707dc7dc5e9e3d3f834f095f82a4887d31c184a9c924309,1.0,576,46656,True,True,True,True,True,True,True,0,80,80.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,MSO02A|PRIMARY|F1|23a9c049ae7b972c984fa3e12bb117442e165ebbdaa960770297d5a377bcbfcf,F1,MSO02A|FIELD_LINEAGE|14cc9dad0dc786e64707dc7dc5e9e3d3f834f095f82a4887d31c184a9c924309,1.25,576,69696,True,True,True,True,True,True,True,0,120,120.0,True,0,1.0,True,True,True,True,True,True
PRIMARY,MSO02A|PRIMARY|F1|23a9c049ae7b972c984fa3e12bb117442e165ebbdaa960770297d5a377bcbfcf,F1,MSO02A|FIELD_LINEAGE|14cc9dad0dc786e64707dc7dc5e9e3d3f834f095f82a4887d31c184a9c924309,1.5,576,101952,True,True,True,True,True,True,True,0,176,176.0,True,0,1.0,True,True,True,True,True,True
