arm,feature_index,feature_name,feature_dimension,finite_count,nonfinite_count,exact_constant,exact_duplicate_of,pairwise_exact_linear_dependency_of,linear_dependency_scalar_diagnostic,minimum,maximum,absolute_maximum,train_fold_iqr_degeneracy_count,column_sha256
SS,0,obs__mass,39,221184,0,True,,,,0.001736111111111111,0.001736111111111111,0.001736111111111111,6,70f39a431f2b21974ae14db14942c86c372fda3ea99bc6122f2d149eef7fdbc3
SS,1,obs__rho,39,221184,0,False,,,,0.980009055566489,1.0199909444335111,1.0199909444335111,6,d60b19f453be73da092a692eda68feb07413ded8dcb927b59fb6b59a6e183ba7
SS,2,obs__support_h,39,221184,0,False,,,,0.125,0.20833333333333334,0.20833333333333334,0,fef57d416a5d225dd5fab29fb22f84efca133ecca8830a7ab793cd591d0af407
SS,3,obs__dx,39,221184,0,True,,obs__mass,24.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,6,5f5daf685eeca2510a8920b7626d1ad8c86495400446e2df9d81baf1b0860d47
SS,4,obs__rho0,39,221184,0,True,,obs__mass,576.0,1.0,1.0,1.0,6,429c3291f38f47b58e5d699024d16b0cf2952b118e6267b502711a47f999f0f5
SS,5,obs__c0,39,221184,0,True,,obs__mass,5760.0,10.0,10.0,10.0,6,fff46041acb097471f8381b571ca43ae5198efae627b1d68bf3135b94d4279b5
SS,6,obs__kinematic_viscosity,39,221184,0,True,,obs__mass,5.760000000000001,0.01,0.01,0.01,6,0f35aa61e71dacf3bc4b40476d9a5e950cfba30a4d453d138a97dedfbd2c77cf
SS,7,obs__h_over_dx,39,221184,0,False,,,,3.0,5.000000000000001,5.000000000000001,0,362abcb12e29ed065cc985447ae1d8a5ad6e7e28e8cd4ec0761cd30420835929
SS,8,obs__base_nonself_neighbor_count,39,221184,0,False,,,,24.0,81.0,81.0,0,64dbd853b5f1564e53b9051f70c76af47f8a5bf27401a4f1875a577a584cedd0
SS,9,obs__base_neighbor_count_over_nominal,39,221184,0,False,,,,0.8488263631567752,1.0313240312354814,1.0313240312354814,0,af0c27f9bc8e552ad04deec501ddde2a49e9d1aab034d4ae4a05bcae3a17acf4
SS,10,obs__base_cov_xx_over_h2,39,221184,0,False,,,,0.05635953811063506,0.08642315255300076,0.08642315255300076,0,573a49fb4fad185434f0037267bd72a96b1e065af4e92605b58f9c5299fb376d
SS,11,obs__base_cov_xy_over_h2,39,221184,0,False,,,,-0.006591415339620909,0.007606002666908663,0.007606002666908663,0,c9e5b785a171a20974c82d43d8c8e41c748907ae8dd43d0bb7f6fd845f25dea8
SS,12,obs__base_cov_yy_over_h2,39,221184,0,False,,,,0.05706052015054013,0.08526268702021864,0.08526268702021864,0,b842c5a2493c430b16ffbe3e1478ca1c4edaecc37b31408fb328484d19037649
SS,13,obs__base_cov_eig_min_over_h2,39,221184,0,False,,,,0.05610833535135956,0.08274470941524066,0.08274470941524066,0,8dbe437507bff6606f2a9337bce276a59a3d0ab9f2d15de018544bbd44a61d01
SS,14,obs__base_cov_eig_max_over_h2,39,221184,0,False,,,,0.057644300123938785,0.08941881291813174,0.08941881291813174,0,8c5bbcd175aa8e396aca628f726a7f89d4caa4b3867fced4070a5623b63bfb57
SS,15,obs__base_cov_eig_ratio,39,221184,0,False,,,,0.8192949651909418,1.0,1.0,0,583d75a50313f6d0188b317f1f1e40f8bc96b7322f1eee1854e9b1235e621b6b
SS,16,obs__base_anisotropy_condition,39,221184,0,False,,,,1.0,1.220561632240647,1.220561632240647,0,7e698e26b0c4511b09879a0fb8ecb2eaf1f3d0e026b80c00c3cf0f4c794e58b7
SS,17,obs__base_neighbor_distance_cv,39,221184,0,False,,,,0.29389160451352336,0.34461783638090926,0.34461783638090926,0,49893404bf00e3b3340a6c049f42bfb0d46ecb8a0ba4dc105f467c92481789af
SS,18,obs__base_kernel_s0_minus_1,39,221184,0,False,,,,-0.09227535034150125,0.10540926015389385,0.10540926015389385,0,e4da569bc261c289e7ad93a412ade00c667c54db2f4c2abf1f1f2a8e8148fd6c
SS,19,obs__base_kernel_s0,39,221184,0,False,,,,0.9077246496584988,1.1054092601538938,1.1054092601538938,0,20db2862670ed3a78b023b4d37a641e9e4e8738e7c4e96d6298bd3464bb0f3d5
SS,20,obs__base_first_moment_error_xx,39,221184,0,False,,,,-0.11207307221883711,0.07585558436657536,0.11207307221883711,0,fc910cd0cfc6f765ef884f8ee3ff2facc46acdadb5871b9c621928ac3f84c6c3
SS,21,obs__base_first_moment_error_xy,39,221184,0,False,,,,-0.07005936744128378,0.085380999296116,0.085380999296116,0,80f43ab3e982fd45e0bdebadb8fd0df28138c9593ae739a0b70edda2721610c2
SS,22,obs__base_first_moment_error_yx,39,221184,0,False,,,,-0.07005936744128384,0.08538099929611599,0.08538099929611599,0,4fbf2c392679b5320b8fb5c111a8a3cf8e4fd46609f79b51e0ef2e7989ca3976
SS,23,obs__base_first_moment_error_yy,39,221184,0,False,,,,-0.08616240041409884,0.09116489660625726,0.09116489660625726,0,b50d26a9fb2ea9c7faaaa895093219cb6252ebdbc80bca09a46810ca73ee0202
SS,24,obs__base_first_moment_error_fro,39,221184,0,False,,,,2.0872857681803928e-05,0.1445148361660781,0.1445148361660781,0,07b0a4d038609dbb51bdf999db1453fef3c246cc09778204df402c2d6ac3b1e8
SS,25,obs__base_grad_constant_x_times_h,39,221184,0,False,,,,-0.43340559668191453,0.41834478452197194,0.43340559668191453,0,35a5f6e6cdf620ddfa83846576784bc294c796b34ccf049603a4195162c6b393
SS,26,obs__base_grad_constant_y_times_h,39,221184,0,False,,,,-0.38441398518226516,0.40450405537664574,0.40450405537664574,0,13540e34290790ee420735953510acb9291f18d5aacca3dcdde35997836acf4b
SS,27,obs__base_grad_constant_norm_times_h,39,221184,0,False,,,,3.7330270918808947e-17,0.4748806558858037,0.4748806558858037,0,a7b122e61ec5f8ed482a7af154ee0ea74f56fd66df5ef6fb6eee3935fc93b13e
SS,28,obs__local_dv_mean_x,39,221184,0,False,,,,-0.20334371039455426,0.20334371039455443,0.20334371039455443,3,820da50e5829cea4072885d1dc1734bc58569cd8ef43d2dea83a64c14d2cdc8f
SS,29,obs__local_dv_mean_y,39,221184,0,False,,,,-0.1554248143299981,0.15542481432999825,0.15542481432999825,2,8fc05ad277e1a0f8d609e7af3d710af3c7faf55626fd217de271be19fc7894b5
SS,30,obs__local_dv_rms,39,221184,0,False,,,,0.0,0.24980589657387073,0.24980589657387073,0,6f1def37064da51832ea7cc7366ade9b21ceb7ff0034d394b4172a1cb4cb79bc
SS,31,obs__local_dv_second_xx,39,221184,0,False,,,,0.0,0.0624029859630754,0.0624029859630754,0,f7d10b5810a253de7a883e5ae71382c4c03ef453c92eb16b6a71dbb198d8b9ed
SS,32,obs__local_dv_second_xy,39,221184,0,False,,,,-0.015924602465715774,0.015924602465715774,0.015924602465715774,6,9d81974ad755c4b38aa2f941ff840d94528778c338d3d950d6139da5b4779d6f
SS,33,obs__local_dv_second_yy,39,221184,0,False,,,,0.0,0.041573746857380176,0.041573746857380176,0,40fefa5e9c39ace3c8daa8e4a270ec3d284a8929985bb9262e863d4538e0382d
SS,34,obs__L_1p00__density_rate,39,221184,0,False,,,,-3.1631207800131045,3.1631207800131027,3.1631207800131045,0,f1d18c87b2b84f1df36c13a5db116f288ab7924d21a38d367ef98937fc153ac9
SS,35,obs__L_1p00__pressure_acceleration_x,39,221184,0,False,,,,-28.640395127952168,28.282333337368286,28.640395127952168,6,fa0e3595a6ffd317844178029b32d98e20d4f2f73c4f82d8ff4c712aec8f31e7
SS,36,obs__L_1p00__pressure_acceleration_y,39,221184,0,False,,,,-22.971281724934368,22.961657526003012,22.971281724934368,6,ff7ca7a1cd625fc0aac0e221af6422fe9c62b06828001153aa7436c0507fa868
SS,37,obs__L_1p00__viscosity_acceleration_x,39,221184,0,False,,,,-0.6428523434944584,0.6428523434944584,0.6428523434944584,3,1fcf59aa5a4b64451a6414f68186db2b377b44ada6fda3ce09b80eb812df064a
SS,38,obs__L_1p00__viscosity_acceleration_y,39,221184,0,False,,,,-0.6222715982512642,0.6222715982512645,0.6222715982512645,2,7cac8f759b76ce1c3812b1fc7dae79ca0f535ea8b398cce130708b88801d09b3
