metric_family,scope,component,direction,scale,point_estimate,bootstrap_standard_error,simultaneous_bound,critical_value,valid_replicates,degenerate_replicates,status
ABSOLUTE_SS_dnn_median,THREE_PRIMARY_COMPONENTS,density_rate,upper,identity,nan,nan,nan,nan,0,10000,NOT_EVALUABLE
ABSOLUTE_SS_dnn_median,THREE_PRIMARY_COMPONENTS,pressure_gradient_acceleration,upper,identity,nan,nan,nan,nan,0,10000,NOT_EVALUABLE
ABSOLUTE_SS_dnn_median,THREE_PRIMARY_COMPONENTS,viscosity_laplacian_acceleration,upper,identity,nan,nan,nan,nan,0,10000,NOT_EVALUABLE
ABSOLUTE_SS_dnn_p90,THREE_PRIMARY_COMPONENTS,density_rate,upper,identity,nan,nan,nan,nan,0,10000,NOT_EVALUABLE
ABSOLUTE_SS_dnn_p90,THREE_PRIMARY_COMPONENTS,pressure_gradient_acceleration,upper,identity,nan,nan,nan,nan,0,10000,NOT_EVALUABLE
ABSOLUTE_SS_dnn_p90,THREE_PRIMARY_COMPONENTS,viscosity_laplacian_acceleration,upper,identity,nan,nan,nan,nan,0,10000,NOT_EVALUABLE
ABSOLUTE_SS_conditional_variance,THREE_PRIMARY_COMPONENTS,density_rate,upper,identity,0.1335533470297959,0.016842924254447136,0.16804152953617446,2.047636264663034,10000,0,EVALUABLE
ABSOLUTE_SS_conditional_variance,THREE_PRIMARY_COMPONENTS,pressure_gradient_acceleration,upper,identity,0.25958415712076527,0.021883510081200343,0.30439362596115016,2.047636264663034,10000,0,EVALUABLE
ABSOLUTE_SS_conditional_variance,THREE_PRIMARY_COMPONENTS,viscosity_laplacian_acceleration,upper,identity,0.43972436603630055,0.03654094614317983,0.5145469325041744,2.047636264663034,10000,0,EVALUABLE
ABSOLUTE_SS_oracle_nrmse,THREE_PRIMARY_COMPONENTS,density_rate,upper,identity,0.5443579845751914,0.08958435489269728,0.7775390788431951,2.6029220676680023,10000,0,EVALUABLE
ABSOLUTE_SS_oracle_nrmse,THREE_PRIMARY_COMPONENTS,pressure_gradient_acceleration,upper,identity,0.5144837221083783,0.06133321462507009,0.6741292999369911,2.6029220676680023,10000,0,EVALUABLE
ABSOLUTE_SS_oracle_nrmse,THREE_PRIMARY_COMPONENTS,viscosity_laplacian_acceleration,upper,identity,0.3998581651792514,0.04687020437662721,0.5218576544672837,2.6029220676680023,10000,0,EVALUABLE
ABSOLUTE_SS_improvement,THREE_PRIMARY_COMPONENTS,density_rate,lower,identity,0.3071233277222776,0.05230232683742767,0.1947109735345346,2.1492801751852544,10000,0,EVALUABLE
