arm,scope,scope_id,coverage,component_independent,can_substitute_for_identifiability
SS,OVERALL,ALL,0.9359440423304738,True,False
SS,FAMILY,F1,0.9556238511029411,True,False
SS,FAMILY,F2,0.9746323529411764,True,False
SS,FAMILY,F3,0.9698784722222222,True,False
SS,FAMILY,F4,0.8436414930555557,True,False
SS,FOLD,FOLD_0,0.946044921875,True,False
SS,FOLD,FOLD_1,0.8835544960171569,True,False
SS,FOLD,FOLD_2,0.95556640625,True,False
SS,FOLD,FOLD_3,0.9921013327205882,True,False
SS,FOLD,FOLD_4,0.8630878523284314,True,False
SS,FOLD,FOLD_5,0.9753092447916667,True,False
MS,OVERALL,ALL,0.9374045777165033,True,False
MS,FAMILY,F1,0.9498800040849673,True,False
MS,FAMILY,F2,0.954953022875817,True,False
MS,FAMILY,F3,0.9729319852941175,True,False
MS,FAMILY,F4,0.8718532986111112,True,False
MS,FOLD,FOLD_0,0.946044921875,True,False
MS,FOLD,FOLD_1,0.8782121246936275,True,False
MS,FOLD,FOLD_2,0.95556640625,True,False
MS,FOLD,FOLD_3,0.9938878676470587,True,False
MS,FOLD,FOLD_4,0.8872395833333333,True,False
MS,FOLD,FOLD_5,0.9634765625,True,False
