arm,scope,scope_id,component,conditional_variance_k5_sensitivity,conditional_variance_k10_primary,conditional_variance_k20_sensitivity
MS,OVERALL,ALL,density_rate,0.009837859357963235,0.012669872746366212,0.01924963374740973
MS,FAMILY,F1,density_rate,0.005442841924848826,0.005514475164982394,0.009374973290997632
MS,FAMILY,F2,density_rate,0.01012107531506966,0.013269973970982889,0.017996159343804326
MS,FAMILY,F3,density_rate,0.0050633780544937805,0.010542689452453234,0.02509551677455001
MS,FAMILY,F4,density_rate,0.01872414213744067,0.021352352397046342,0.024531885580286947
MS,FOLD,FOLD_0,density_rate,0.016359784155463623,0.017767698498968795,0.02136889280024632
MS,FOLD,FOLD_1,density_rate,0.018490203138291063,0.02755430818330073,0.05052861165355288
MS,FOLD,FOLD_2,density_rate,0.011521569970697688,0.013133766146267926,0.01417164323118382
MS,FOLD,FOLD_3,density_rate,0.0012053510237832433,0.0016100072142467858,0.002540624227823412
MS,FOLD,FOLD_4,density_rate,0.00706433913799355,0.010748892041746496,0.019372967923581823
MS,FOLD,FOLD_5,density_rate,0.004385908721550237,0.005204564393666543,0.007515062648070118
MS,OVERALL,ALL,pressure_gradient_acceleration,0.22458033037504635,0.2548361052339341,0.3043053266447747
MS,FAMILY,F1,pressure_gradient_acceleration,0.054093372911027386,0.07441996337135588,0.14809066885463915
MS,FAMILY,F2,pressure_gradient_acceleration,0.06393872560034373,0.08795902480344701,0.1057541428654473
MS,FAMILY,F3,pressure_gradient_acceleration,0.15636966675624572,0.19438185789917237,0.24486078934485164
MS,FAMILY,F4,pressure_gradient_acceleration,0.6239195562325687,0.6625835748617611,0.7185157055141609
MS,FOLD,FOLD_0,pressure_gradient_acceleration,0.16293380338553695,0.18953091505446112,0.24773963190789183
MS,FOLD,FOLD_1,pressure_gradient_acceleration,0.028399952024043267,0.035385125608412754,0.04977560557397202
MS,FOLD,FOLD_2,pressure_gradient_acceleration,0.24787426089897796,0.25932831762708386,0.30983161908863655
MS,FOLD,FOLD_3,pressure_gradient_acceleration,0.6245958862484234,0.6608227137267693,0.7126114260785241
MS,FOLD,FOLD_4,pressure_gradient_acceleration,0.05843415175567038,0.0740986901790438,0.157805951827272
MS,FOLD,FOLD_5,pressure_gradient_acceleration,0.22524392793762632,0.3098508692078339,0.34806772539235187
MS,OVERALL,ALL,viscosity_laplacian_acceleration,0.3171517616177674,0.4063581988642743,0.4790404914616128
MS,FAMILY,F1,viscosity_laplacian_acceleration,0.23522937817842035,0.40328368545314186,0.4982111220221957
MS,FAMILY,F2,viscosity_laplacian_acceleration,0.2584246648457288,0.3395852060874546,0.4685973901476828
MS,FAMILY,F3,viscosity_laplacian_acceleration,0.2012865339369663,0.382894978629381,0.512678765881038
MS,FAMILY,F4,viscosity_laplacian_acceleration,0.5736664695099544,0.49966892528711976,0.4366746877955347
MS,FOLD,FOLD_0,viscosity_laplacian_acceleration,0.22498764608744892,0.255665753429824,0.3133868839439655
MS,FOLD,FOLD_1,viscosity_laplacian_acceleration,0.47341770862854643,0.8141819914747128,1.0784514640091163
MS,FOLD,FOLD_2,viscosity_laplacian_acceleration,0.1663055367798221,0.19338392342567795,0.22941597348761295
MS,FOLD,FOLD_3,viscosity_laplacian_acceleration,0.1486513005600513,0.18212485505263934,0.21116301372356985
MS,FOLD,FOLD_4,viscosity_laplacian_acceleration,0.2142048509465972,0.2858944984200321,0.3581358731730165
MS,FOLD,FOLD_5,viscosity_laplacian_acceleration,0.6753435267041388,0.7068981713827596,0.6836897404323955
