arm,scope,scope_id,component,dnn_median_k10,dnn_p90_k10,dnn_median_k5_sensitivity,dnn_p90_k5_sensitivity,dnn_median_k20_sensitivity,dnn_p90_k20_sensitivity,sign_disagreement_k10,reciprocal_neighbor_fraction_k10,neighbor_family_composition_k10
MS,OVERALL,ALL,density_rate,nan,nan,nan,nan,0.019448556943465173,0.16039033240774578,0.056925851992272604,0.7440592796479789,FOLD_SPECIFIC_SEE_FOLD_ROWS
MS,FAMILY,F1,density_rate,0.007593212176486377,0.05757656280004945,nan,nan,0.009093287687019842,0.0408230695681614,0.07461821512459149,0.7440592796479789,FOLD_SPECIFIC_SEE_FOLD_ROWS
MS,FAMILY,F2,density_rate,nan,nan,nan,nan,0.00841716402949101,0.044804408535652825,0.06610396241830065,0.7440592796479789,FOLD_SPECIFIC_SEE_FOLD_ROWS
MS,FAMILY,F3,density_rate,nan,nan,nan,nan,0.0051568227281723325,0.02581275840574601,0.0399217686206427,0.7440592796479789,FOLD_SPECIFIC_SEE_FOLD_ROWS
MS,FAMILY,F4,density_rate,0.07205949080726747,1.9171166526589982,nan,nan,0.05512695332917752,0.5301210931214229,0.04705946180555556,0.7440592796479789,FOLD_SPECIFIC_SEE_FOLD_ROWS
MS,FOLD,FOLD_0,density_rate,0.04617820916654609,1.233735711227315,nan,nan,0.03465870565878776,0.3207649084595251,0.08453096277573528,0.7571723090277778,"{""F1"": 18354, ""F2"": 23389, ""F3"": 23866, ""F4"": 26551}"
MS,FOLD,FOLD_1,density_rate,nan,nan,nan,nan,0.02357198505825992,0.14231293341715806,0.053582643995098045,0.6740833333333334,"{""F1"": 23639, ""F2"": 28405, ""F3"": 29547, ""F4"": 14409}"
MS,FOLD,FOLD_2,density_rate,0.036158400360159354,1.2946812014118574,nan,nan,0.02732547975617061,0.2459730429691892,0.05244466145833333,0.7968345905172414,"{""F1"": 20127, ""F2"": 20048, ""F3"": 19746, ""F4"": 14319}"
MS,FOLD,FOLD_3,density_rate,0.0016805897599728296,0.013648798947787248,nan,nan,0.0020906814535482203,0.010132931537543575,0.02973971098856209,0.816696068548387,"{""F1"": 22412, ""F2"": 20943, ""F3"": 19240, ""F4"": 16765}"
MS,FOLD,FOLD_4,density_rate,nan,nan,nan,nan,0.02494502251679127,0.22201142430750778,0.054410615808823524,0.7266949152542372,"{""F1"": 22854, ""F2"": 17997, ""F3"": 26835, ""F4"": 7834}"
MS,FOLD,FOLD_5,density_rate,0.003480072535987463,0.02512945832365655,nan,nan,0.004099467217233261,0.02114675375555105,0.06684651692708334,0.6928744612068966,"{""F1"": 20144, ""F2"": 19134, ""F3"": 18645, ""F4"": 16317}"
MS,OVERALL,ALL,pressure_gradient_acceleration,nan,nan,nan,nan,0.3022162722620197,1.5153121136852128,0.053024170985668584,0.7440592796479789,FOLD_SPECIFIC_SEE_FOLD_ROWS
MS,FAMILY,F1,pressure_gradient_acceleration,nan,nan,nan,nan,0.08537759342835355,0.42792580435599065,0.02298122829861111,0.7440592796479789,FOLD_SPECIFIC_SEE_FOLD_ROWS
MS,FAMILY,F2,pressure_gradient_acceleration,nan,nan,nan,nan,0.10122048554961248,0.3125291965728334,0.04044781454248366,0.7440592796479789,FOLD_SPECIFIC_SEE_FOLD_ROWS
MS,FAMILY,F3,pressure_gradient_acceleration,nan,nan,nan,nan,0.13963679970556353,0.5257793109016039,0.036167641101579516,0.7440592796479789,FOLD_SPECIFIC_SEE_FOLD_ROWS
MS,FAMILY,F4,pressure_gradient_acceleration,nan,nan,nan,nan,0.8826302103645493,4.795014142910422,0.1125,0.7440592796479789,FOLD_SPECIFIC_SEE_FOLD_ROWS
MS,FOLD,FOLD_0,pressure_gradient_acceleration,nan,nan,nan,nan,0.26846948348964045,0.7030160553203504,0.05249033011642158,0.7571723090277778,"{""F1"": 18354, ""F2"": 23389, ""F3"": 23866, ""F4"": 26551}"
MS,FOLD,FOLD_1,pressure_gradient_acceleration,nan,nan,nan,nan,0.05893006863506689,0.22397783347623373,0.02532169117647059,0.6740833333333334,"{""F1"": 23639, ""F2"": 28405, ""F3"": 29547, ""F4"": 14409}"
MS,FOLD,FOLD_2,pressure_gradient_acceleration,nan,nan,nan,nan,0.34863210416450163,2.400890269071286,0.05912679036458334,0.7968345905172414,"{""F1"": 20127, ""F2"": 20048, ""F3"": 19746, ""F4"": 14319}"
MS,FOLD,FOLD_3,pressure_gradient_acceleration,nan,nan,nan,nan,0.838234825381014,3.1142186014708853,0.12747536254084968,0.816696068548387,"{""F1"": 22412, ""F2"": 20943, ""F3"": 19240, ""F4"": 16765}"
MS,FOLD,FOLD_4,pressure_gradient_acceleration,nan,nan,nan,nan,0.063481252596448,0.2298927179082889,0.031048560049019607,0.7266949152542372,"{""F1"": 22854, ""F2"": 17997, ""F3"": 26835, ""F4"": 7834}"
MS,FOLD,FOLD_5,pressure_gradient_acceleration,nan,nan,nan,nan,0.235549899305447,2.419877204864232,0.022682291666666667,0.6928744612068966,"{""F1"": 20144, ""F2"": 19134, ""F3"": 18645, ""F4"": 16317}"
MS,OVERALL,ALL,viscosity_laplacian_acceleration,nan,nan,nan,nan,0.4481547925196782,1.8862505508910001,0.23913917292177286,0.7440592796479789,FOLD_SPECIFIC_SEE_FOLD_ROWS
MS,FAMILY,F1,viscosity_laplacian_acceleration,0.3543668365916925,1.975163383246428,nan,nan,0.3818543416639792,1.4412759052418609,0.23579877068014707,0.7440592796479789,FOLD_SPECIFIC_SEE_FOLD_ROWS
MS,FAMILY,F2,viscosity_laplacian_acceleration,nan,nan,nan,nan,0.4521591882504938,1.88905747942486,0.2583011642156863,0.7440592796479789,FOLD_SPECIFIC_SEE_FOLD_ROWS
MS,FAMILY,F3,viscosity_laplacian_acceleration,nan,nan,nan,nan,0.40574895399873373,1.5668837202638588,0.23389230366625816,0.7440592796479789,FOLD_SPECIFIC_SEE_FOLD_ROWS
MS,FAMILY,F4,viscosity_laplacian_acceleration,0.6805971872504379,5.508105556695767,nan,nan,0.5528566861655063,2.647785098633421,0.22856445312500004,0.7440592796479789,FOLD_SPECIFIC_SEE_FOLD_ROWS
MS,FOLD,FOLD_0,viscosity_laplacian_acceleration,0.32846197467347293,2.6761385854479336,nan,nan,0.32508141097952725,1.616837041184268,0.09752388748468137,0.7571723090277778,"{""F1"": 18354, ""F2"": 23389, ""F3"": 23866, ""F4"": 26551}"
MS,FOLD,FOLD_1,viscosity_laplacian_acceleration,nan,nan,nan,nan,0.8736790299047223,3.2067349410046653,0.43365550321691176,0.6740833333333334,"{""F1"": 23639, ""F2"": 28405, ""F3"": 29547, ""F4"": 14409}"
MS,FOLD,FOLD_2,viscosity_laplacian_acceleration,0.24065985082567526,2.235988608726323,nan,nan,0.24856337665856332,1.1996065880268916,0.1103173828125,0.7968345905172414,"{""F1"": 20127, ""F2"": 20048, ""F3"": 19746, ""F4"": 14319}"
MS,FOLD,FOLD_3,viscosity_laplacian_acceleration,0.2303427770949444,1.2291641762035848,nan,nan,0.23432299639085266,0.8129491278714185,0.161918275122549,0.816696068548387,"{""F1"": 22412, ""F2"": 20943, ""F3"": 19240, ""F4"": 16765}"
MS,FOLD,FOLD_4,viscosity_laplacian_acceleration,nan,nan,nan,nan,0.4312787007008333,1.6824455616901879,0.31420726102941177,0.7266949152542372,"{""F1"": 22854, ""F2"": 17997, ""F3"": 26835, ""F4"": 7834}"
MS,FOLD,FOLD_5,viscosity_laplacian_acceleration,0.730737036299747,5.348742505525507,nan,nan,0.5760032404835704,2.798930045568569,0.3172127278645833,0.6928744612068966,"{""F1"": 20144, ""F2"": 19134, ""F3"": 18645, ""F4"": 16317}"
