arm,scope,scope_id,component,conditional_variance_k5_sensitivity,conditional_variance_k10_primary,conditional_variance_k20_sensitivity
SS,OVERALL,ALL,density_rate,0.10859545052288237,0.1335533470297959,0.18686738493403418
SS,FAMILY,F1,density_rate,0.1293263961344511,0.17093769669733508,0.18522674317580232
SS,FAMILY,F2,density_rate,0.07397747179095142,0.08531101861033864,0.09987790767698483
SS,FAMILY,F3,density_rate,0.10131501522850277,0.1287377764968741,0.27441584428281274
SS,FAMILY,F4,density_rate,0.12976291893762423,0.14922689631463568,0.18794904460053685
SS,FOLD,FOLD_0,density_rate,0.052234614960324076,0.053703113150990384,0.09057178808541601
SS,FOLD,FOLD_1,density_rate,0.26002474106106616,0.30931510601640244,0.3440776075449
SS,FOLD,FOLD_2,density_rate,0.05515871041993306,0.05844704958926792,0.11987215091854982
SS,FOLD,FOLD_3,density_rate,0.04192630261523097,0.041018930790307356,0.04217359761385737
SS,FOLD,FOLD_4,density_rate,0.189395075323038,0.27863767400254447,0.44721992897792473
SS,FOLD,FOLD_5,density_rate,0.05283325875770201,0.06019820862926278,0.07728923646355707
SS,OVERALL,ALL,pressure_gradient_acceleration,0.22496499820125795,0.25958415712076527,0.32381482583388926
SS,FAMILY,F1,pressure_gradient_acceleration,0.05404217983820664,0.08118055992087585,0.20597555113076635
SS,FAMILY,F2,pressure_gradient_acceleration,0.06463492511779056,0.08822327584260671,0.10590475910152396
SS,FAMILY,F3,pressure_gradient_acceleration,0.15636966675624572,0.19438185789917237,0.2448988536414017
SS,FAMILY,F4,pressure_gradient_acceleration,0.624813221092789,0.6745509348204063,0.7384801394618649
SS,FOLD,FOLD_0,pressure_gradient_acceleration,0.16293380338553695,0.18953091505446112,0.24773963190789183
SS,FOLD,FOLD_1,pressure_gradient_acceleration,0.0315084726626878,0.042580374835982655,0.06783961266519987
SS,FOLD,FOLD_2,pressure_gradient_acceleration,0.24787426089897796,0.25932831762708386,0.30983161908863655
SS,FOLD,FOLD_3,pressure_gradient_acceleration,0.5316541836652404,0.5626368333425895,0.6154020439500016
SS,FOLD,FOLD_4,pressure_gradient_acceleration,0.05845063737632161,0.08071260771602554,0.2302674366736316
SS,FOLD,FOLD_5,pressure_gradient_acceleration,0.3173686312187831,0.42271589414844907,0.47180861071797386
SS,OVERALL,ALL,viscosity_laplacian_acceleration,0.33537212959540624,0.43972436603630055,0.5510868395181818
SS,FAMILY,F1,viscosity_laplacian_acceleration,0.2793337354001147,0.46574669757729925,0.5652314101575646
SS,FAMILY,F2,viscosity_laplacian_acceleration,0.2705039662192265,0.3616442344952768,0.4600205651089115
SS,FAMILY,F3,viscosity_laplacian_acceleration,0.19457684881213186,0.3496112746194891,0.5379004223462273
SS,FAMILY,F4,viscosity_laplacian_acceleration,0.5970739679501521,0.5818952574531372,0.6411949604600241
SS,FOLD,FOLD_0,viscosity_laplacian_acceleration,0.21063444507443269,0.22073381510954987,0.25228983508752867
SS,FOLD,FOLD_1,viscosity_laplacian_acceleration,0.5706186801652547,0.8700301212263454,1.0544172459887569
SS,FOLD,FOLD_2,viscosity_laplacian_acceleration,0.18323494322248804,0.20136981495663514,0.32100557323627765
SS,FOLD,FOLD_3,viscosity_laplacian_acceleration,0.1990879968674933,0.28536308438649965,0.3514330426033175
SS,FOLD,FOLD_4,viscosity_laplacian_acceleration,0.3092210499308511,0.5290486238578022,0.8004794908388185
SS,FOLD,FOLD_5,viscosity_laplacian_acceleration,0.5394356623119179,0.5318007366809713,0.5268958493543923
