formal_case_index,case_id,particle_row_count,observable_case_id_derived_from_frozen_index_matches_target,observable_particle_id_sequence_matches_target,observable_particle_state_hash_derived_from_registry_matches_target,silent_reorder_count,join_passed
0,MSO02A|PRIMARY|F1|27df42dc9ee18fc950aa85d11eecccad7b529187e1e3d608172ecaf2ea53cbac,576,True,True,True,0,True
1,MSO02A|PRIMARY|F1|bffd67ac747351002b1b2d1407eda3d61047b309884e7df47390715abfc4d16e,576,True,True,True,0,True
2,MSO02A|PRIMARY|F1|23a9c049ae7b972c984fa3e12bb117442e165ebbdaa960770297d5a377bcbfcf,576,True,True,True,0,True
3,MSO02A|PRIMARY|F1|c9061a9536becea34ffe84c44510140f4afb0b5d4f5edfdede87bc713212e2ef,576,True,True,True,0,True
4,MSO02A|PRIMARY|F1|da434f0d773ef411eb143598d9858f232408e6af8e6bdf6b64a1ad5b8b0af0b7,576,True,True,True,0,True
5,MSO02A|PRIMARY|F1|9156d9eacfc1c36ceb4c898eef5e29d129c4785f401dcda0a8566a4f81d97b22,576,True,True,True,0,True
6,MSO02A|PRIMARY|F1|6b108ae97243ccbc228e218ae8797b1628a740df4fd25e4d48d8e69d084cd987,576,True,True,True,0,True
7,MSO02A|PRIMARY|F1|99e8d754a6284b9b3350e4a0c663f5d27303ec9be89210deb6e8adbdbfa37f97,576,True,True,True,0,True
8,MSO02A|PRIMARY|F1|3e26ac4d5afb6cfe791fdab75aac03cff749d0a47df8c59f4208c3852c0ca2b8,576,True,True,True,0,True
9,MSO02A|PRIMARY|F1|5f23a45e7307b995131d597d86b0af2641c88727e534434bb7a844b042eb9df3,576,True,True,True,0,True
10,MSO02A|PRIMARY|F1|1e4cda9748d79de21d477f97c3536fc687e42ac2a0aa8b290fb3d8f645cbf286,576,True,True,True,0,True
11,MSO02A|PRIMARY|F1|38c8e42822331bf603216acbb41e63d8386c965cb59b00297e2bac576a6b8a9a,576,True,True,True,0,True
12,MSO02A|PRIMARY|F1|7571f8370a88596f7feaf889095cbb9b4ae4c32662e8954455aa76613e215335,576,True,True,True,0,True
13,MSO02A|PRIMARY|F1|744b2148dff9490f7db5e43218ab243a24697f6344421b35cdecbbb613639351,576,True,True,True,0,True
14,MSO02A|PRIMARY|F1|f3654e05f701265f52b562b706d800d3bb39f7a6f80c5b1331f2477cefbc4066,576,True,True,True,0,True
15,MSO02A|PRIMARY|F1|9674c271c19eb652c8199d58707f06af09f3f6fa9d44157335c06d63ee0aace9,576,True,True,True,0,True
16,MSO02A|PRIMARY|F1|ad80655408a98337102ede0057415c138d1465db3f0dd9d97b6c80b960c3cee0,576,True,True,True,0,True
17,MSO02A|PRIMARY|F1|a551d72482150e751da51e9541387aaeb699524ceac49555e605355d95d71bdc,576,True,True,True,0,True
18,MSO02A|PRIMARY|F1|b1bfea32c8e111d02aac954d3474a489865aabd30058263040f297cbd64584cf,576,True,True,True,0,True
19,MSO02A|PRIMARY|F1|76ecca06580ca10c5188b36225517d3b191c410f1bf70deec06e523786877858,576,True,True,True,0,True
20,MSO02A|PRIMARY|F1|e114cbd99880956349221c3edde3b0638a71bf1ab5536e92be912c94d1b15b7c,576,True,True,True,0,True
21,MSO02A|PRIMARY|F1|b5789df710114ed89792e4764a5db64d59930b270b3966969b2b2c9d25b70b01,576,True,True,True,0,True
22,MSO02A|PRIMARY|F1|93ad586fca5e19d3cc4f6e6992ad5c775e00c959894e5374f30e421239908240,576,True,True,True,0,True
23,MSO02A|PRIMARY|F1|deda12855f21ca75286e8c868eb91b9afdccfcd8a9bc866557c51d9ca6d3579f,576,True,True,True,0,True
24,MSO02A|PRIMARY|F1|d65e5b81ee303a5d55ef8da4d8edfa77f1eb95af83445f880a142bf4ba3cb5fe,576,True,True,True,0,True
25,MSO02A|PRIMARY|F1|407754227e7bce46f4d7aeefdf971ee83ef10a63281419a7be8bc1337539d031,576,True,True,True,0,True
26,MSO02A|PRIMARY|F1|b357ddf6be50b16eb0f27db9fd52ae30f0f46b1d854a9638955d27a3ec0ba0b0,576,True,True,True,0,True
27,MSO02A|PRIMARY|F1|e1a94ece2d1d9388050360681f17a0cde2c2f1cb81e346e78f2cc52d8af40c66,576,True,True,True,0,True
28,MSO02A|PRIMARY|F1|411b9e7edae0847d60845cc24cce76aa795733abb109710aeef815fc0f4d44c8,576,True,True,True,0,True
29,MSO02A|PRIMARY|F1|66deba68071b31a5ade78bf1afe125a096afcc2c469be4ff9bf707a3a78ff6fd,576,True,True,True,0,True
30,MSO02A|PRIMARY|F1|11a034265bba9263bb29859f7c426fe06a74e1e326990cc1b564dc39125d44bf,576,True,True,True,0,True
31,MSO02A|PRIMARY|F1|2b0381008fd81e7f1a786b0120c5fbf22a337375a3cec5e45170f0c7e2630cc3,576,True,True,True,0,True
32,MSO02A|PRIMARY|F1|773e8266f977440c4ca550be4895cddbce5fd7af3e7d4ed98566585dfe673c02,576,True,True,True,0,True
33,MSO02A|PRIMARY|F1|c928d953605c9e1f8ba285d741e93e8dda6f42ce7edd0205e1dd6fc1fc4e3903,576,True,True,True,0,True
34,MSO02A|PRIMARY|F1|2a720ef46781db997148d8893e6d9c47c8c1ccf14c0669d09366a82273997193,576,True,True,True,0,True
35,MSO02A|PRIMARY|F1|a5506da8d9486b2a170e083b94dd429946c7a9ef59381e1085beb8cd034b2e25,576,True,True,True,0,True
36,MSO02A|PRIMARY|F1|85c4a1987dd38032eee7334c33c80e9f3a454ffa5fbff254b13d62f9a7cd1684,576,True,True,True,0,True
37,MSO02A|PRIMARY|F1|a601f16cf8f76acc9ed3d6e90ce12986d2fad1956231d1a841a05058c939e6fd,576,True,True,True,0,True
38,MSO02A|PRIMARY|F1|116ab0629d6843b4172bccfc2c014fa0fbc1fd9f2259df0aac7449a0cd3c01d6,576,True,True,True,0,True
39,MSO02A|PRIMARY|F1|49da342d3ce22711ccf49908937d037a433a9f1b5baec95dd415a6258a13cf3c,576,True,True,True,0,True
40,MSO02A|PRIMARY|F1|f1c5c6e14a8cfdde87854a686df48afd18bdbb8518056fb05431720a55555d60,576,True,True,True,0,True
41,MSO02A|PRIMARY|F1|9c5d5fcf4d515dc2bd5f231b055beea28c179be3927dc4d87181c5d9a428f371,576,True,True,True,0,True
42,MSO02A|PRIMARY|F1|ab0bccf64faa1e9e975ec5cee8556cda9d876a60087242c1b3b9e3de2781e654,576,True,True,True,0,True
43,MSO02A|PRIMARY|F1|4476747c77a5f8d6364320296f15998114f031d3a1230ccb416265c5ec4bdb46,576,True,True,True,0,True
44,MSO02A|PRIMARY|F1|8a789d3fd0eacaf7262fed631e0a5af9942762fea082f12d700d589d18077299,576,True,True,True,0,True
45,MSO02A|PRIMARY|F1|d2b8fb08e5d831c2e5b64c51f9837bfa7e7b5c5b201acc178fb83d074187d230,576,True,True,True,0,True
46,MSO02A|PRIMARY|F1|be6e07d9d19f8c1bc53b84d6273fddff57df1f2ee72a69a1b007069edc9a0779,576,True,True,True,0,True
47,MSO02A|PRIMARY|F1|586f48582757c7762eff1a57d84a92cd8c2b91ceacf58c75fee67ba32bb0d5b4,576,True,True,True,0,True
48,MSO02A|PRIMARY|F1|50816084e70642ac34750e3acf299840930c8b0f23aeb964661860802113171c,576,True,True,True,0,True
49,MSO02A|PRIMARY|F1|cd9b6a8635b5410d6f4d4b1d94b893c859cd9a173891af248151c45f3dbd3023,576,True,True,True,0,True
50,MSO02A|PRIMARY|F1|4c41f178686c429ae5d8436018c8c72abaf46a64c1b9ae65b6d661016c51c35f,576,True,True,True,0,True
51,MSO02A|PRIMARY|F1|3864d5782c34ffc5879eff5aa5705461b92182f910edabb914a9506c35a87def,576,True,True,True,0,True
52,MSO02A|PRIMARY|F1|665f272e145d18d7c31dc4472dcb5b1a9e6a3f7b001dcfbd904be9359dd4ee8e,576,True,True,True,0,True
53,MSO02A|PRIMARY|F1|533c8214fecafaa7b4f8e6c6c1b011f309eb9984f3cf8e82982e67d1ef69d23c,576,True,True,True,0,True
54,MSO02A|PRIMARY|F1|b233ad24657724df3c11e6fc52e7e51197b01c456d52b33a61c64467c0e85030,576,True,True,True,0,True
55,MSO02A|PRIMARY|F1|b47e118df485fd6acf51b2b2b51946bb05eda64a284f9a8a6dcf8b03d426f8b4,576,True,True,True,0,True
56,MSO02A|PRIMARY|F1|020cb6b401520a04156915d035b63bfaa6553d929849f84d4b9fc6db21f4acc1,576,True,True,True,0,True
57,MSO02A|PRIMARY|F1|c05788b157a6072a8acd1c30cea29bb0c432da90406a4bcc08f0470aa3ac8841,576,True,True,True,0,True
58,MSO02A|PRIMARY|F1|d33da1935c7c53fb2c7dc9c2954406679d36caa2d9a3d595989e49d85bb7ced7,576,True,True,True,0,True
59,MSO02A|PRIMARY|F1|88927ca157891017f734563b71d11103e0868faf82ccdb09119db0133c275186,576,True,True,True,0,True
60,MSO02A|PRIMARY|F1|76b32e9177ce6608cf1d6a0da8874ffd2ca442b10a3a0c549d778d5af3b143b0,576,True,True,True,0,True
61,MSO02A|PRIMARY|F1|0e61c9c6bf0ed5ade026d585b043b200f9a54a120e486733805e7140a5f5582b,576,True,True,True,0,True
62,MSO02A|PRIMARY|F1|5f12b646955a1c947d59112f1d4b32fba71b4b9a951cb1d6e3fc7c86cc43e735,576,True,True,True,0,True
63,MSO02A|PRIMARY|F1|fdda713a6f41ad9d53637e52588f71e3233e327e587e53db8864f9d4f31a6513,576,True,True,True,0,True
64,MSO02A|PRIMARY|F1|c746753e2e030484150c8f943a9e0a7be85001dd4fe98d4bb0749ee015d2b8b0,576,True,True,True,0,True
65,MSO02A|PRIMARY|F1|830647d225eb7457ee9fce265dfb29deb57812fc9cbfb5d6fabad0e7f5e8dbd1,576,True,True,True,0,True
66,MSO02A|PRIMARY|F1|8dc044e544ee558ba05e7006991539832d0f764898a05e3253d528527ae34f49,576,True,True,True,0,True
67,MSO02A|PRIMARY|F1|582cf4f4a2a11284c4224948f30ea17bdcc53ee39548da544d4f25d1a4cab2c6,576,True,True,True,0,True
68,MSO02A|PRIMARY|F1|09cfc962e6148f266ce0ba3d7b91a6264401fb52f92383573b9c5ae9886bd901,576,True,True,True,0,True
69,MSO02A|PRIMARY|F1|01634114f5702e1cf07825f045e2db40379127b513350e284734426fef66ac8f,576,True,True,True,0,True
