formal_case_index,case_id,family,fold,field_lineage_id,particle_count,case_replacement_authorized,position_hash_matches,particle_state_hash_matches,lambda_1_operator_hash_matches,lambda_1_registered_operator_is_canonical_target_path,ddo_algebraic_pressure_viscosity_bitwise_identity,ddo_algebraic_density_rate_linf_diagnostic,primary_topology_audit_passed,independent_topology_audit_passed,primary_edge_count,independent_edge_count,independent_topology_identity,graph_repeatability_bitwise,operator_repeatability_bitwise,analytical_derivative_reference_gate_passed,analytical_derivative_reference_max_relative,analytical_derivative_reference_failures,finite_values,target_component_identity,component_closure_residual,component_closure_bound,component_closure_passed,target_sign_convention_all_primary_passed,float32_precision_degradation_diagnostic_linf,float32_precision_diagnostic_topology_mode,target_definition,case_target_reference_qualified,density_rate__scale,density_rate__U_round,density_rate__Delta_ref,density_rate__Delta_repeat,density_rate__Delta_permutation,density_rate__Delta_compensated,density_rate__Delta_accumulation,density_rate__Delta_geometry,density_rate__Delta_identity,density_rate__U_num,density_rate__sign_residual,density_rate__sign_gate_passed,density_rate__target_rms,pressure_gradient_acceleration__scale,pressure_gradient_acceleration__U_round,pressure_gradient_acceleration__Delta_ref,pressure_gradient_acceleration__Delta_repeat,pressure_gradient_acceleration__Delta_permutation,pressure_gradient_acceleration__Delta_compensated,pressure_gradient_acceleration__Delta_accumulation,pressure_gradient_acceleration__Delta_geometry,pressure_gradient_acceleration__Delta_identity,pressure_gradient_acceleration__U_num,pressure_gradient_acceleration__sign_residual,pressure_gradient_acceleration__sign_gate_passed,pressure_gradient_acceleration__target_rms,viscosity_laplacian_acceleration__scale,viscosity_laplacian_acceleration__U_round,viscosity_laplacian_acceleration__Delta_ref,viscosity_laplacian_acceleration__Delta_repeat,viscosity_laplacian_acceleration__Delta_permutation,viscosity_laplacian_acceleration__Delta_compensated,viscosity_laplacian_acceleration__Delta_accumulation,viscosity_laplacian_acceleration__Delta_geometry,viscosity_laplacian_acceleration__Delta_identity,viscosity_laplacian_acceleration__U_num,viscosity_laplacian_acceleration__sign_residual,viscosity_laplacian_acceleration__sign_gate_passed,viscosity_laplacian_acceleration__target_rms,total_acceleration_derived__scale,total_acceleration_derived__U_round,total_acceleration_derived__Delta_ref,total_acceleration_derived__Delta_repeat,total_acceleration_derived__Delta_permutation,total_acceleration_derived__Delta_compensated,total_acceleration_derived__Delta_accumulation,total_acceleration_derived__Delta_geometry,total_acceleration_derived__Delta_identity,total_acceleration_derived__U_num,total_acceleration_derived__sign_residual,total_acceleration_derived__sign_gate_passed,total_acceleration_derived__target_rms
0,MSO02A|PRIMARY|F1|27df42dc9ee18fc950aa85d11eecccad7b529187e1e3d608172ecaf2ea53cbac,F1,FOLD_3,MSO02A|FIELD_LINEAGE|7bd8e8d58618815ddc1384963528f8494fff86732356587760f7306aa2f9ef94,576,False,True,True,True,True,True,0.0,True,True,16704,16704,True,True,True,True,1.935412889356243e-16,,True,True,0.0,2.8490256253466746e-13,True,True,4.315697391898965e-06,PRIMARY_TOPOLOGY_CAST_FLOAT32_DIAGNOSTIC_ONLY,CONTINUUM_REFERENCE_MINUS_LAMBDA_1_BASE_SPH,True,0.1,2.842170943040401e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-15,0.0,True,0.0,4.589090134640734,1.3042978635669254e-13,8.881784197001252e-16,0.0,2.9976021664879227e-15,2.3314683517128287e-15,2.9976021664879227e-15,7.993605777301127e-15,0.0,1.4230917272018171e-13,0.0,True,0.4901842340717928,0.01,2.842170943040401e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-16,0.0,True,0.0,4.589090134640734,1.3042978635669254e-13,8.881784197001252e-16,0.0,2.9976021664879227e-15,2.3314683517128287e-15,2.9976021664879227e-15,7.993605777301127e-15,0.0,1.4230917272018171e-13,0.0,True,0.4901842340717928
1,MSO02A|PRIMARY|F1|bffd67ac747351002b1b2d1407eda3d61047b309884e7df47390715abfc4d16e,F1,FOLD_3,MSO02A|FIELD_LINEAGE|bdc9a59a5cce58400b6381a130e68bda8cdc12bf4a36749b79fdb2a9901acc00,576,False,True,True,True,True,True,2.4600547293696096e-16,True,True,46656,46656,True,True,True,True,2.5019484632950337e-16,,True,True,0.0,2.10153378026456e-15,True,True,4.470348372032085e-08,PRIMARY_TOPOLOGY_CAST_FLOAT32_DIAGNOSTIC_ONLY,CONTINUUM_REFERENCE_MINUS_LAMBDA_1_BASE_SPH,True,0.1,2.842170943040401e-15,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.498001805406602e-16,0.0,3.3140157285060924e-15,0.0,True,9.727895197544229e-17,0.01,2.842170943040401e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-16,0.0,True,0.0,0.027881217772288996,7.92431870089814e-16,6.938893903907228e-18,0.0,3.122502256758253e-17,2.2551405187698492e-17,3.122502256758253e-17,7.806255641895632e-17,0.0,9.0865834298026e-16,0.0,True,0.0012626912488830067,0.027881217772288996,7.92431870089814e-16,6.938893903907228e-18,0.0,3.122502256758253e-17,2.2551405187698492e-17,3.122502256758253e-17,7.806255641895632e-17,0.0,9.0865834298026e-16,0.0,True,0.0012626912488830067
2,MSO02A|PRIMARY|F1|23a9c049ae7b972c984fa3e12bb117442e165ebbdaa960770297d5a377bcbfcf,F1,FOLD_1,MSO02A|FIELD_LINEAGE|14cc9dad0dc786e64707dc7dc5e9e3d3f834f095f82a4887d31c184a9c924309,576,False,True,True,True,True,True,6.661338147750939e-16,True,True,46656,46656,True,True,True,True,3.281311004744162e-16,,True,True,0.0,4.124786408021156e-14,True,True,4.881637143183681e-06,PRIMARY_TOPOLOGY_CAST_FLOAT32_DIAGNOSTIC_ONLY,CONTINUUM_REFERENCE_MINUS_LAMBDA_1_BASE_SPH,True,3.58997734031829,1.0203329282826104e-13,4.440892098500626e-16,0.0,2.220446049250313e-15,1.7763568394002505e-15,2.220446049250313e-15,1.7763568394002505e-15,0.0,1.0647418492676167e-13,0.0,True,0.9054133791405624,0.01,2.842170943040401e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-16,0.0,True,0.0,0.6766947863338658,1.923282259025046e-14,2.220446049250313e-16,0.0,4.718447854656915e-16,3.885780586188048e-16,4.718447854656915e-16,5.551115123125783e-16,0.0,2.048182349295376e-14,0.0,True,0.09123565094829472,0.6766947863338658,1.923282259025046e-14,2.220446049250313e-16,0.0,4.718447854656915e-16,3.885780586188048e-16,4.718447854656915e-16,5.551115123125783e-16,0.0,2.048182349295376e-14,0.0,True,0.09123565094829472
3,MSO02A|PRIMARY|F1|c9061a9536becea34ffe84c44510140f4afb0b5d4f5edfdede87bc713212e2ef,F1,FOLD_0,MSO02A|FIELD_LINEAGE|22d9636c25c556fae1b1d803bff9b03c289ece0335cf63c05e9ec1e576b5eee4,576,False,True,True,True,True,True,2.7755575615628914e-16,True,True,46656,46656,True,True,True,True,4.731904456005023e-16,,True,True,0.0,3.060704336188686e-15,True,True,6.877500296695316e-07,PRIMARY_TOPOLOGY_CAST_FLOAT32_DIAGNOSTIC_ONLY,CONTINUUM_REFERENCE_MINUS_LAMBDA_1_BASE_SPH,True,0.3500786864986994,9.949834705443532e-15,1.1102230246251565e-16,0.0,1.6653345369377348e-16,1.3877787807814457e-16,1.6653345369377348e-16,1.6653345369377348e-16,0.0,1.0393923915293595e-14,0.0,True,0.05087901223844325,0.01,2.842170943040401e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-16,0.0,True,0.0,0.04399218518730714,1.2503331046021668e-15,2.0816681711721685e-17,0.0,3.469446951953614e-17,2.7755575615628914e-17,3.469446951953614e-17,8.239936510889834e-17,0.0,1.388243620942323e-15,0.0,True,0.003732051249711974,0.04399218518730714,1.2503331046021668e-15,2.0816681711721685e-17,0.0,3.469446951953614e-17,2.7755575615628914e-17,3.469446951953614e-17,8.239936510889834e-17,0.0,1.388243620942323e-15,0.0,True,0.003732051249711974
4,MSO02A|PRIMARY|F1|da434f0d773ef411eb143598d9858f232408e6af8e6bdf6b64a1ad5b8b0af0b7,F1,FOLD_5,MSO02A|FIELD_LINEAGE|968f559773f48e45efb507d4efff7d4964eb07265f8ec7e7de716508d7dbb1f9,576,False,True,True,True,True,True,1.6653345369377348e-16,True,True,16704,16704,True,True,True,True,3.164567358905565e-16,,True,True,0.0,3.248212214963086e-15,True,True,5.426938010366644e-07,PRIMARY_TOPOLOGY_CAST_FLOAT32_DIAGNOSTIC_ONLY,CONTINUUM_REFERENCE_MINUS_LAMBDA_1_BASE_SPH,True,0.35082932316192394,9.971169082573509e-15,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,3.885780586188048e-16,0.0,1.0581791746117345e-14,0.0,True,0.021853282482645335,0.01,2.842170943040401e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-16,0.0,True,0.0,0.04408651297237519,1.2530140615005845e-15,1.0408340855860843e-17,0.0,3.122502256758253e-17,2.42861286636753e-17,3.122502256758253e-17,1.8735013540549517e-16,0.0,1.481997560329523e-15,0.0,True,0.0017378570196961247,0.04408651297237519,1.2530140615005845e-15,1.0408340855860843e-17,0.0,3.122502256758253e-17,2.42861286636753e-17,3.122502256758253e-17,1.8735013540549517e-16,0.0,1.481997560329523e-15,0.0,True,0.0017378570196961247
5,MSO02A|PRIMARY|F1|9156d9eacfc1c36ceb4c898eef5e29d129c4785f401dcda0a8566a4f81d97b22,F1,FOLD_1,MSO02A|FIELD_LINEAGE|981e966e6653e5fd89e60962d73cf7b259e3878b1f48f6251725cdab357f233c,576,False,True,True,True,True,True,8.881784197001252e-16,True,True,28224,28224,True,True,True,True,1.7598007997568103e-16,,True,True,0.0,2.0268816056863612e-14,True,True,2.1102579791237863e-06,PRIMARY_TOPOLOGY_CAST_FLOAT32_DIAGNOSTIC_ONLY,CONTINUUM_REFERENCE_MINUS_LAMBDA_1_BASE_SPH,True,2.5101915274721267,7.134393420847478e-14,0.0,0.0,1.3322676295501878e-15,8.881784197001252e-16,1.3322676295501878e-15,1.3322676295501878e-15,0.0,7.400846946757516e-14,0.0,True,0.19801843588997628,0.01,2.842170943040401e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-16,0.0,True,0.0,0.315439970472391,8.965343183501516e-15,5.551115123125783e-17,0.0,2.498001805406602e-16,1.682681771697503e-16,2.498001805406602e-16,7.216449660063518e-16,0.0,9.992299481279786e-15,0.0,True,0.012968987167231818,0.315439970472391,8.965343183501516e-15,5.551115123125783e-17,0.0,2.498001805406602e-16,1.682681771697503e-16,2.498001805406602e-16,7.216449660063518e-16,0.0,9.992299481279786e-15,0.0,True,0.012968987167231818
6,MSO02A|PRIMARY|F1|6b108ae97243ccbc228e218ae8797b1628a740df4fd25e4d48d8e69d084cd987,F1,FOLD_1,MSO02A|FIELD_LINEAGE|4a4879050ff89bef458c1356d4b83475e04ed9a774e335ab909d99a95a5a0b7b,576,False,True,True,True,True,True,5.551115123125783e-17,True,True,16704,16704,True,True,True,True,1.7634766711102328e-16,,True,True,0.0,1.799800696866249e-15,True,True,1.817161130179823e-07,PRIMARY_TOPOLOGY_CAST_FLOAT32_DIAGNOSTIC_ONLY,CONTINUUM_REFERENCE_MINUS_LAMBDA_1_BASE_SPH,True,0.31311989619397185,8.899402706503334e-15,0.0,0.0,2.220446049250313e-16,1.6653345369377348e-16,2.220446049250313e-16,3.3306690738754696e-16,0.0,9.454514218815912e-15,0.0,True,0.005703463652295471,0.01,2.842170943040401e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-16,0.0,True,0.0,0.019673903311515615,5.5916596328176e-16,3.469446951953614e-18,0.0,3.122502256758253e-17,2.1250362580715887e-17,3.122502256758253e-17,1.6393136847980827e-16,0.0,7.577918012811044e-16,0.0,True,0.00025375470874933225,0.019673903311515615,5.5916596328176e-16,3.469446951953614e-18,0.0,3.122502256758253e-17,2.1250362580715887e-17,3.122502256758253e-17,1.6393136847980827e-16,0.0,7.577918012811044e-16,0.0,True,0.00025375470874933225
7,MSO02A|PRIMARY|F1|99e8d754a6284b9b3350e4a0c663f5d27303ec9be89210deb6e8adbdbfa37f97,F1,FOLD_0,MSO02A|FIELD_LINEAGE|2ec99e80467416d668211a75c3db7f915ea1ebfbe6b5bb3d9588f9633bd862dd,576,False,True,True,True,True,True,8.983970251758011e-17,True,True,46656,46656,True,True,True,True,2.511630384055354e-16,,True,True,0.0,1.1932901901129194e-15,True,True,2.980232241545089e-08,PRIMARY_TOPOLOGY_CAST_FLOAT32_DIAGNOSTIC_ONLY,CONTINUUM_REFERENCE_MINUS_LAMBDA_1_BASE_SPH,True,0.1,2.842170943040401e-15,0.0,0.0,1.1102230246251565e-16,8.326672684688674e-17,1.1102230246251565e-16,8.326672684688674e-17,0.0,3.0364599723498033e-15,0.0,True,7.070184257660299e-17,0.01,2.842170943040401e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-16,0.0,True,0.0,0.013886870138818015,3.946885879832398e-16,3.469446951953614e-18,0.0,2.3418766925686896e-17,1.951563910473908e-17,2.3418766925686896e-17,3.2959746043559335e-17,0.0,4.545365479044396e-16,0.0,True,0.0006313456244415042,0.013886870138818015,3.946885879832398e-16,3.469446951953614e-18,0.0,2.3418766925686896e-17,1.951563910473908e-17,2.3418766925686896e-17,3.2959746043559335e-17,0.0,4.545365479044396e-16,0.0,True,0.0006313456244415042
8,MSO02A|PRIMARY|F1|3e26ac4d5afb6cfe791fdab75aac03cff749d0a47df8c59f4208c3852c0ca2b8,F1,FOLD_0,MSO02A|FIELD_LINEAGE|228fb33f9186d7496d7231d1cfae3dd8e7619abf8141abe7c232aa855fb3b050,576,False,True,True,True,True,True,0.0,True,True,16704,16704,True,True,True,True,1.4145527623114245e-16,,True,True,0.0,4.4623619121588933e-13,True,True,7.290355445999097e-06,PRIMARY_TOPOLOGY_CAST_FLOAT32_DIAGNOSTIC_ONLY,CONTINUUM_REFERENCE_MINUS_LAMBDA_1_BASE_SPH,True,0.1,2.842170943040401e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-15,0.0,True,0.0,6.278863845621518,1.7845604377332387e-13,8.881784197001252e-16,0.0,1.1657341758564144e-14,7.549516567451064e-15,1.1657341758564144e-14,3.197442310920451e-14,0.0,2.2297598706079265e-13,0.0,True,0.12820792763840536,0.01,2.842170943040401e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-16,0.0,True,0.0,6.278863845621518,1.7845604377332387e-13,8.881784197001252e-16,0.0,1.1657341758564144e-14,7.549516567451064e-15,1.1657341758564144e-14,3.197442310920451e-14,0.0,2.2297598706079265e-13,0.0,True,0.12820792763840536
9,MSO02A|PRIMARY|F1|5f23a45e7307b995131d597d86b0af2641c88727e534434bb7a844b042eb9df3,F1,FOLD_3,MSO02A|FIELD_LINEAGE|03b8b4da4de2f6a35737ef929d4cdd50375cd41dfe77d3a9178c885a73b13972,576,False,True,True,True,True,True,0.0,True,True,46656,46656,True,True,True,True,1.9276306436861433e-16,,True,True,0.0,2.191509222758708e-12,True,True,3.1572717116290505e-05,PRIMARY_TOPOLOGY_CAST_FLOAT32_DIAGNOSTIC_ONLY,CONTINUUM_REFERENCE_MINUS_LAMBDA_1_BASE_SPH,True,0.1,2.842170943040401e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-15,0.0,True,0.0,36.86093796482469,1.047650868168395e-12,7.105427357601002e-15,0.0,1.9539925233402755e-14,1.7763568394002505e-14,1.9539925233402755e-14,2.1316282072803006e-14,0.0,1.0956125028322018e-12,0.0,True,9.041284255931028,0.01,2.842170943040401e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-16,0.0,True,0.0,36.86093796482469,1.047650868168395e-12,7.105427357601002e-15,0.0,1.9539925233402755e-14,1.7763568394002505e-14,1.9539925233402755e-14,2.1316282072803006e-14,0.0,1.0956125028322018e-12,0.0,True,9.041284255931028
