scope,arm,component,family,mechanism,classification,evidence_count,query_count,evidence,analytical_symmetry_subtype
GLOBAL,BOTH,ALL,ALL,M1,SUPPORTED,246,246,raw_float64_exact_zero_and_exact_target_multiplicity_already_frozen,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
GLOBAL,BOTH,ALL,ALL,M2,SUPPORTED,246,246,frozen_random_target_exact_multiplicity_for_all_queries;query_exact_zero_count=246;split_by_M2a_to_M2d,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
GLOBAL,BOTH,ALL,ALL,M3,SUPPORTED,246,246,frozen_matched_random_denominator_exact_zero_for_every_authorized_query,NOT_APPLICABLE
GLOBAL,BOTH,ALL,ALL,M4,INCONCLUSIVE,0,246,random_pool_not_family_stratified;family_value_multiplicity_contribution_not_separately_identified,NOT_APPLICABLE
GLOBAL,BOTH,ALL,ALL,M5,NOT_SUPPORTED,0,246,prior_raw_store_and_serializer_bitwise_identity_remains_frozen,NOT_APPLICABLE
GLOBAL,BOTH,ALL,ALL,M6,NOT_SUPPORTED,0,246,exact_source_rank_specific_float64_reconstruction_found_no_residual;historical_particle_neighbour_arrays_were_not_persisted,NOT_APPLICABLE
GLOBAL,BOTH,ALL,ALL,M7,NOT_SUPPORTED,0,246,no_integrity_failure_underflow_or_unclassified_A_B_row,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,SS,density_rate,F1,M2a,INCONCLUSIVE,0,0,query_target_itself_exact_zero,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,SS,density_rate,F1,M2b,INCONCLUSIVE,0,0,query_target_nonzero_but_random_targets_exact_repeated,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,SS,density_rate,F1,M2c,INCONCLUSIVE,0,0,descriptor_neighbours_target_identical,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,SS,density_rate,F1,M2d,INCONCLUSIVE,0,0,descriptor_neighbours_differ_despite_random_zero,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,SS,density_rate,F2,M2a,SUPPORTED,1,1,query_target_itself_exact_zero,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,SS,density_rate,F2,M2b,NOT_SUPPORTED,0,1,query_target_nonzero_but_random_targets_exact_repeated,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,SS,density_rate,F2,M2c,SUPPORTED,1,1,descriptor_neighbours_target_identical,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,SS,density_rate,F2,M2d,NOT_SUPPORTED,0,1,descriptor_neighbours_differ_despite_random_zero,NOT_APPLICABLE
ARM_COMPONENT_FAMILY,SS,density_rate,F3,M2a,SUPPORTED,1,1,query_target_itself_exact_zero,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,SS,density_rate,F3,M2b,NOT_SUPPORTED,0,1,query_target_nonzero_but_random_targets_exact_repeated,INCONCLUSIVE_AT_ANALYTICAL_SYMMETRY_SUBTYPE
ARM_COMPONENT_FAMILY,SS,density_rate,F3,M2c,SUPPORTED,1,1,descriptor_neighbours_target_identical,NOT_APPLICABLE
