arm,component,formal_case_index,case_id,particle_id,query_sample_global_index,query_full_store_row,fold,family,field_lineage_id,nn_rank,nn_sample_global_index,nn_full_store_row,nn_case_id,nn_particle_id,nn_lineage_id,descriptor_distance,descriptor_distance_hex,training_pool_identity_sha256,neighbour_set_sha256,query_feature_vector_sha256,normalized_query_feature_sha256,evidence_class
MS,density_rate,114,MSO02A|PRIMARY|F2|85a6ab6d0c7f38c53971220804ce250f1608c23dff61f611ac2597615d9a3244,351,14661,66015,FOLD_4,F2,MSO02A|FIELD_LINEAGE|5a562a863107efecf761865e7ffe780f0278b7371d3d2b047494c2cd6157c2d4,1,16196,72645,MSO02A|PRIMARY|F2|cb1e905944b22f0d5e9a364e8548dd3dd88f86b1bdb17e77c6d81a6bf99353d9,69,MSO02A|FIELD_LINEAGE|b6cd41aa78c146588c2fd226a10454eef3f571cc42fa7089dc71d9624e4c21ed,24776280239.02375,0x1.7132022bc1852p+34,16494e178745c547ac3f22c0c89118ccd31d597f354acab02abed82753c90b91,e45cb390f018e91cbc13269e1f30d59d474a455bcc7696f966acc3c7c5ac96d7,04db912c3cd0c035bb02cb6db364b6fe4199c108bd002ef38b63baa5290f3e19,ee1fc44f0d39e83cc91b2cd49366ee0df4b66b64001bd80793e97d99b8cfec95,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,density_rate,114,MSO02A|PRIMARY|F2|85a6ab6d0c7f38c53971220804ce250f1608c23dff61f611ac2597615d9a3244,351,14661,66015,FOLD_4,F2,MSO02A|FIELD_LINEAGE|5a562a863107efecf761865e7ffe780f0278b7371d3d2b047494c2cd6157c2d4,2,13137,58767,MSO02A|PRIMARY|F2|9f7dad556454d3a199175a22a9f2b0c753ed904b8b9a0908fce5a5cb59a6b799,15,MSO02A|FIELD_LINEAGE|d9f5ed77d50a773a49f080256ef07504c4f6c7640706632b2de481d8d5dbdbe3,36474649478.126114,0x1.0fc1df70c4092p+35,16494e178745c547ac3f22c0c89118ccd31d597f354acab02abed82753c90b91,e45cb390f018e91cbc13269e1f30d59d474a455bcc7696f966acc3c7c5ac96d7,04db912c3cd0c035bb02cb6db364b6fe4199c108bd002ef38b63baa5290f3e19,ee1fc44f0d39e83cc91b2cd49366ee0df4b66b64001bd80793e97d99b8cfec95,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,density_rate,114,MSO02A|PRIMARY|F2|85a6ab6d0c7f38c53971220804ce250f1608c23dff61f611ac2597615d9a3244,351,14661,66015,FOLD_4,F2,MSO02A|FIELD_LINEAGE|5a562a863107efecf761865e7ffe780f0278b7371d3d2b047494c2cd6157c2d4,3,13156,58855,MSO02A|PRIMARY|F2|9f7dad556454d3a199175a22a9f2b0c753ed904b8b9a0908fce5a5cb59a6b799,103,MSO02A|FIELD_LINEAGE|d9f5ed77d50a773a49f080256ef07504c4f6c7640706632b2de481d8d5dbdbe3,36671375198.46978,0x1.113918ebcf087p+35,16494e178745c547ac3f22c0c89118ccd31d597f354acab02abed82753c90b91,e45cb390f018e91cbc13269e1f30d59d474a455bcc7696f966acc3c7c5ac96d7,04db912c3cd0c035bb02cb6db364b6fe4199c108bd002ef38b63baa5290f3e19,ee1fc44f0d39e83cc91b2cd49366ee0df4b66b64001bd80793e97d99b8cfec95,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,density_rate,114,MSO02A|PRIMARY|F2|85a6ab6d0c7f38c53971220804ce250f1608c23dff61f611ac2597615d9a3244,351,14661,66015,FOLD_4,F2,MSO02A|FIELD_LINEAGE|5a562a863107efecf761865e7ffe780f0278b7371d3d2b047494c2cd6157c2d4,4,13149,59143,MSO02A|PRIMARY|F2|9f7dad556454d3a199175a22a9f2b0c753ed904b8b9a0908fce5a5cb59a6b799,391,MSO02A|FIELD_LINEAGE|d9f5ed77d50a773a49f080256ef07504c4f6c7640706632b2de481d8d5dbdbe3,36968628024.140663,0x1.13700fe704805p+35,16494e178745c547ac3f22c0c89118ccd31d597f354acab02abed82753c90b91,e45cb390f018e91cbc13269e1f30d59d474a455bcc7696f966acc3c7c5ac96d7,04db912c3cd0c035bb02cb6db364b6fe4199c108bd002ef38b63baa5290f3e19,ee1fc44f0d39e83cc91b2cd49366ee0df4b66b64001bd80793e97d99b8cfec95,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,density_rate,114,MSO02A|PRIMARY|F2|85a6ab6d0c7f38c53971220804ce250f1608c23dff61f611ac2597615d9a3244,351,14661,66015,FOLD_4,F2,MSO02A|FIELD_LINEAGE|5a562a863107efecf761865e7ffe780f0278b7371d3d2b047494c2cd6157c2d4,5,23783,106816,MSO02A|PRIMARY|F2|d64f8ea58c8df9634b6f1c912f013464a57a9afe3c6d28ec9c189425e0b279a2,256,MSO02A|FIELD_LINEAGE|3a003b5d004e32e97f51a465533ab8153872cb9bf9ea5ee2e00ab7124947fd1f,42689644741.976143,0x1.3e100918bf3c9p+35,16494e178745c547ac3f22c0c89118ccd31d597f354acab02abed82753c90b91,e45cb390f018e91cbc13269e1f30d59d474a455bcc7696f966acc3c7c5ac96d7,04db912c3cd0c035bb02cb6db364b6fe4199c108bd002ef38b63baa5290f3e19,ee1fc44f0d39e83cc91b2cd49366ee0df4b66b64001bd80793e97d99b8cfec95,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,density_rate,114,MSO02A|PRIMARY|F2|85a6ab6d0c7f38c53971220804ce250f1608c23dff61f611ac2597615d9a3244,351,14661,66015,FOLD_4,F2,MSO02A|FIELD_LINEAGE|5a562a863107efecf761865e7ffe780f0278b7371d3d2b047494c2cd6157c2d4,6,16146,73009,MSO02A|PRIMARY|F2|cb1e905944b22f0d5e9a364e8548dd3dd88f86b1bdb17e77c6d81a6bf99353d9,433,MSO02A|FIELD_LINEAGE|b6cd41aa78c146588c2fd226a10454eef3f571cc42fa7089dc71d9624e4c21ed,50334329466.537514,0x1.77051d4f51335p+35,16494e178745c547ac3f22c0c89118ccd31d597f354acab02abed82753c90b91,e45cb390f018e91cbc13269e1f30d59d474a455bcc7696f966acc3c7c5ac96d7,04db912c3cd0c035bb02cb6db364b6fe4199c108bd002ef38b63baa5290f3e19,ee1fc44f0d39e83cc91b2cd49366ee0df4b66b64001bd80793e97d99b8cfec95,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,density_rate,114,MSO02A|PRIMARY|F2|85a6ab6d0c7f38c53971220804ce250f1608c23dff61f611ac2597615d9a3244,351,14661,66015,FOLD_4,F2,MSO02A|FIELD_LINEAGE|5a562a863107efecf761865e7ffe780f0278b7371d3d2b047494c2cd6157c2d4,7,17450,78799,MSO02A|PRIMARY|F2|f7dd6afdad35f08f5fab038b60c9181ffadab55ac41885535595fb03c6bba86b,463,MSO02A|FIELD_LINEAGE|eda651c3c8efe4e2ea4b8838194869a634b3deb1254a8b504f2a5af52a31bcfa,54310933881.581802,0x1.94a5e2af329e2p+35,16494e178745c547ac3f22c0c89118ccd31d597f354acab02abed82753c90b91,e45cb390f018e91cbc13269e1f30d59d474a455bcc7696f966acc3c7c5ac96d7,04db912c3cd0c035bb02cb6db364b6fe4199c108bd002ef38b63baa5290f3e19,ee1fc44f0d39e83cc91b2cd49366ee0df4b66b64001bd80793e97d99b8cfec95,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,density_rate,114,MSO02A|PRIMARY|F2|85a6ab6d0c7f38c53971220804ce250f1608c23dff61f611ac2597615d9a3244,351,14661,66015,FOLD_4,F2,MSO02A|FIELD_LINEAGE|5a562a863107efecf761865e7ffe780f0278b7371d3d2b047494c2cd6157c2d4,8,21806,98073,MSO02A|PRIMARY|F2|9d3b8ec6291d67905e774dadca3ba55df9d3922c6631a4f960f6357a79470c0d,153,MSO02A|FIELD_LINEAGE|e71b22127f9b4a40a5d93de60e99f36f1c431e6e0e3eb6eb5cd5324321975cc5,57819366509.445251,0x1.aec9b08dae3f8p+35,16494e178745c547ac3f22c0c89118ccd31d597f354acab02abed82753c90b91,e45cb390f018e91cbc13269e1f30d59d474a455bcc7696f966acc3c7c5ac96d7,04db912c3cd0c035bb02cb6db364b6fe4199c108bd002ef38b63baa5290f3e19,ee1fc44f0d39e83cc91b2cd49366ee0df4b66b64001bd80793e97d99b8cfec95,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,density_rate,114,MSO02A|PRIMARY|F2|85a6ab6d0c7f38c53971220804ce250f1608c23dff61f611ac2597615d9a3244,351,14661,66015,FOLD_4,F2,MSO02A|FIELD_LINEAGE|5a562a863107efecf761865e7ffe780f0278b7371d3d2b047494c2cd6157c2d4,9,19988,90400,MSO02A|PRIMARY|F2|44044acdcf25459cdccb35f1e2546f851a49b5cb8117f983cc8374b0b5f7e4d1,544,MSO02A|FIELD_LINEAGE|e71b22127f9b4a40a5d93de60e99f36f1c431e6e0e3eb6eb5cd5324321975cc5,59491355667.020744,0x1.bb3ec18260a9fp+35,16494e178745c547ac3f22c0c89118ccd31d597f354acab02abed82753c90b91,e45cb390f018e91cbc13269e1f30d59d474a455bcc7696f966acc3c7c5ac96d7,04db912c3cd0c035bb02cb6db364b6fe4199c108bd002ef38b63baa5290f3e19,ee1fc44f0d39e83cc91b2cd49366ee0df4b66b64001bd80793e97d99b8cfec95,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,density_rate,114,MSO02A|PRIMARY|F2|85a6ab6d0c7f38c53971220804ce250f1608c23dff61f611ac2597615d9a3244,351,14661,66015,FOLD_4,F2,MSO02A|FIELD_LINEAGE|5a562a863107efecf761865e7ffe780f0278b7371d3d2b047494c2cd6157c2d4,10,23799,106621,MSO02A|PRIMARY|F2|d64f8ea58c8df9634b6f1c912f013464a57a9afe3c6d28ec9c189425e0b279a2,61,MSO02A|FIELD_LINEAGE|3a003b5d004e32e97f51a465533ab8153872cb9bf9ea5ee2e00ab7124947fd1f,60873307911.845268,0x1.c58a9ee0fb0c7p+35,16494e178745c547ac3f22c0c89118ccd31d597f354acab02abed82753c90b91,e45cb390f018e91cbc13269e1f30d59d474a455bcc7696f966acc3c7c5ac96d7,04db912c3cd0c035bb02cb6db364b6fe4199c108bd002ef38b63baa5290f3e19,ee1fc44f0d39e83cc91b2cd49366ee0df4b66b64001bd80793e97d99b8cfec95,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
