audit_id,candidate,expected,actual,pass
CASE_EQUAL_S11,A,5,5,true
CASE_EQUAL_S11,B,5,5,true
CASE_EQUAL_S11,C,5,5,true
CASE_EQUAL_S11,D,5,5,true
FAMILY_BALANCE_S12,A,5,5,true
FAMILY_BALANCE_S12,B,3,3,true
FAMILY_BALANCE_S12,C,5,5,true
FAMILY_BALANCE_S12,D,5,5,true
CELL_ZERO_NO_LOCAL_DIVISION_S7,A,POSITIVE_OVER_ZERO_ADVERSE_UNBOUNDED,POSITIVE_OVER_ZERO_ADVERSE_UNBOUNDED,true
CELL_ZERO_NO_LOCAL_DIVISION_S7,B,EVALUABLE,EVALUABLE,true
CELL_ZERO_NO_LOCAL_DIVISION_S7,C,EVALUABLE,EVALUABLE,true
CELL_ZERO_NO_LOCAL_DIVISION_S7,D,EVALUABLE,EVALUABLE,true
