test_id,candidate,executed,pass,fixture_folds,fixture_families,fixture_lineages,fixture_cases,details
FULL_24_CELL_HIERARCHY,C,true,true,6,4,48,96,FROZEN_SYNTHETIC_EXECUTED
LINEAGE_FIRST_CASE_RESAMPLING,C,true,true,6,4,48,96,FROZEN_SYNTHETIC_EXECUTED
PAIRED_DRAW_IDENTITIES,C,true,true,6,4,48,96,unique_draw_hashes=10000
RECOMPUTE_RATIO_EACH_DRAW,C,true,true,6,4,48,96,FROZEN_SYNTHETIC_EXECUTED
ZERO_DENOMINATOR_NOT_REDRAWN,C,true,true,6,4,48,96,FROZEN_SYNTHETIC_EXECUTED
DEGENERATE_BOUNDARY_200_EVALUABLE,C,true,true,6,4,48,96,degenerate=200;state=EVALUABLE
DEGENERATE_BOUNDARY_201_NOT_EVALUABLE,C,true,true,6,4,48,96,degenerate=201;state=NOT_EVALUABLE
THREE_COMPONENT_COMMON_VALID_MASK,C,true,true,6,4,48,96,FROZEN_SYNTHETIC_EXECUTED
ZERO_SE_IDENTICAL_DRAWS_BOUND_EQUALS_POINT,C,true,true,6,4,48,96,good=EVALUABLE;counterexample=NOT_EVALUABLE_ZERO_SE_NONIDENTICAL
MAX_STUDENTIZED_COMPONENT_MAX,C,true,true,6,4,48,96,index=9499;critical=1.6365555813512855
POSITIVE_LOG_RELATIVE_TRANSFORM,C,true,true,6,4,48,96,"upper=0.80000000000000004,0.80000000000000004,0.80000000000000004"
EXACT_ZERO_MS_DOMINANCE_ALL_DRAWS,C,true,true,6,4,48,96,FROZEN_SYNTHETIC_EXECUTED
BINARY64_EXACT_RATIONAL_ROUNDTRIP,C,true,true,6,4,48,96,FROZEN_SYNTHETIC_EXECUTED
NEGATIVE_INPUT_INTEGRITY_FAILURE,C,true,true,6,4,48,96,FROZEN_SYNTHETIC_EXECUTED
