candidate,criterion_id,criterion,rating,hard_gate,pass_for_primary,evidence_fixtures
A,1,REALISTIC_ISOLATED_ZERO_DEFINEDNESS,FAIL,true,false,S1-S18
A,2,NO_ARBITRARY_EPSILON,PASS,true,true,S1-S18
A,3,DIMENSIONLESS_OR_INDEPENDENT_SCALE,PASS,true,true,S1-S18
A,4,TARGET_AMPLITUDE_INVARIANCE,PASS,true,true,S1-S18
A,5,CASE_EQUAL_COMPATIBILITY,PASS,true,true,S1-S18
A,6,LINEAGE_FAMILY_FOLD_EQUAL_COMPATIBILITY,PASS,true,true,S1-S18
A,7,LINEAGE_FIRST_CLUSTER_BOOTSTRAP_COMPATIBILITY,FAIL,true,false,S1-S18
A,8,PAIRED_SS_MS_COMPATIBILITY,CONDITIONAL,true,false,S1-S18
A,9,INTERPRETABLE_ZERO_SEMANTICS,PASS,true,true,S1-S18
A,10,PRESERVES_NN_VS_RANDOM_MEANING,PASS,true,true,S1-S18
A,11,NO_PARTICLE_OR_CASE_DELETION,PASS,true,true,S1-S18
A,12,NO_ISOLATED_ZERO_SINGULARITY,FAIL,true,false,S1-S18
B,1,REALISTIC_ISOLATED_ZERO_DEFINEDNESS,PASS,true,true,S1-S18
B,2,NO_ARBITRARY_EPSILON,PASS,true,true,S1-S18
B,3,DIMENSIONLESS_OR_INDEPENDENT_SCALE,PASS,true,true,S1-S18
B,4,TARGET_AMPLITUDE_INVARIANCE,PASS,true,true,S1-S18
B,5,CASE_EQUAL_COMPATIBILITY,PASS,true,true,S1-S18
B,6,LINEAGE_FAMILY_FOLD_EQUAL_COMPATIBILITY,FAIL,true,false,S1-S18
B,7,LINEAGE_FIRST_CLUSTER_BOOTSTRAP_COMPATIBILITY,PASS,true,true,S1-S18
B,8,PAIRED_SS_MS_COMPATIBILITY,PASS,true,true,S1-S18
B,9,INTERPRETABLE_ZERO_SEMANTICS,PASS,true,true,S1-S18
B,10,PRESERVES_NN_VS_RANDOM_MEANING,PASS,true,true,S1-S18
B,11,NO_PARTICLE_OR_CASE_DELETION,PASS,true,true,S1-S18
B,12,NO_ISOLATED_ZERO_SINGULARITY,PASS,true,true,S1-S18
C,1,REALISTIC_ISOLATED_ZERO_DEFINEDNESS,PASS,true,true,S1-S18
C,2,NO_ARBITRARY_EPSILON,PASS,true,true,S1-S18
C,3,DIMENSIONLESS_OR_INDEPENDENT_SCALE,PASS,true,true,S1-S18
C,4,TARGET_AMPLITUDE_INVARIANCE,PASS,true,true,S1-S18
C,5,CASE_EQUAL_COMPATIBILITY,PASS,true,true,S1-S18
C,6,LINEAGE_FAMILY_FOLD_EQUAL_COMPATIBILITY,PASS,true,true,S1-S18
C,7,LINEAGE_FIRST_CLUSTER_BOOTSTRAP_COMPATIBILITY,PASS,true,true,S1-S18
C,8,PAIRED_SS_MS_COMPATIBILITY,PASS,true,true,S1-S18
C,9,INTERPRETABLE_ZERO_SEMANTICS,PASS,true,true,S1-S18
C,10,PRESERVES_NN_VS_RANDOM_MEANING,PASS,true,true,S1-S18
C,11,NO_PARTICLE_OR_CASE_DELETION,PASS,true,true,S1-S18
C,12,NO_ISOLATED_ZERO_SINGULARITY,PASS,true,true,S1-S18
D,1,REALISTIC_ISOLATED_ZERO_DEFINEDNESS,PASS,true,true,S1-S18
D,2,NO_ARBITRARY_EPSILON,PASS,true,true,S1-S18
D,3,DIMENSIONLESS_OR_INDEPENDENT_SCALE,CONDITIONAL,true,false,S1-S18
D,4,TARGET_AMPLITUDE_INVARIANCE,CONDITIONAL,true,false,S1-S18
D,5,CASE_EQUAL_COMPATIBILITY,PASS,true,true,S1-S18
D,6,LINEAGE_FAMILY_FOLD_EQUAL_COMPATIBILITY,PASS,true,true,S1-S18
D,7,LINEAGE_FIRST_CLUSTER_BOOTSTRAP_COMPATIBILITY,PASS,true,true,S1-S18
D,8,PAIRED_SS_MS_COMPATIBILITY,PASS,true,true,S1-S18
D,9,INTERPRETABLE_ZERO_SEMANTICS,PASS,true,true,S1-S18
D,10,PRESERVES_NN_VS_RANDOM_MEANING,FAIL,true,false,S1-S18
D,11,NO_PARTICLE_OR_CASE_DELETION,PASS,true,true,S1-S18
D,12,NO_ISOLATED_ZERO_SINGULARITY,CONDITIONAL,true,false,S1-S18
