scenario,level,status,numeric_value_present,auxiliary,epsilon_used,deletion_used
ZERO_ZERO,POINTWISE,NO_TARGET_CONTRAST_NOT_EVALUABLE,false,ZERO_OVER_ZERO,false,false
ZERO_ZERO,AGGREGATE,NO_AGGREGATE_RANDOM_CONTRAST_NOT_EVALUABLE,false,ZERO_OVER_ZERO,false,false
POSITIVE_ZERO,POINTWISE,POSITIVE_OVER_ZERO_ADVERSE_UNBOUNDED,false,POSITIVE_OVER_ZERO,false,false
POSITIVE_ZERO,AGGREGATE,NO_AGGREGATE_RANDOM_CONTRAST_NOT_EVALUABLE,false,POSITIVE_OVER_ZERO,false,false
ZERO_POSITIVE,POINTWISE,EVALUABLE,true,NONE,false,false
ZERO_POSITIVE,AGGREGATE,EVALUABLE,true,NONE,false,false
POSITIVE_POSITIVE,POINTWISE,EVALUABLE,true,NONE,false,false
POSITIVE_POSITIVE,AGGREGATE,EVALUABLE,true,NONE,false,false
S16,RELATIVE_A,RELATIVE_RESCUE_NOT_EVALUABLE_ZERO_SS_BASELINE,false,NO_RESCUE_EVIDENCE,false,false
S16,RELATIVE_B,RELATIVE_RESCUE_NOT_EVALUABLE_ZERO_SS_BASELINE,false,NO_RESCUE_EVIDENCE,false,false
S16,RELATIVE_C,RELATIVE_RESCUE_NOT_EVALUABLE_ZERO_SS_BASELINE,false,NO_RESCUE_EVIDENCE,false,false
S16,RELATIVE_D,RELATIVE_RESCUE_NOT_EVALUABLE_ZERO_SS_BASELINE,false,NO_RESCUE_EVIDENCE,false,false
S17,RELATIVE_A,RELATIVE_RESCUE_NOT_EVALUABLE_ZERO_SS_BASELINE,false,AUXILIARY_DETERMINISTIC_WORSENING,false,false
S17,RELATIVE_B,RELATIVE_RESCUE_NOT_EVALUABLE_ZERO_SS_BASELINE,false,AUXILIARY_DETERMINISTIC_WORSENING,false,false
S17,RELATIVE_C,RELATIVE_RESCUE_NOT_EVALUABLE_ZERO_SS_BASELINE,false,AUXILIARY_DETERMINISTIC_WORSENING,false,false
S17,RELATIVE_D,RELATIVE_RESCUE_NOT_EVALUABLE_ZERO_SS_BASELINE,false,AUXILIARY_DETERMINISTIC_WORSENING,false,false
S18,RELATIVE_A,EVALUABLE,true,EXACT_ZERO_MS_DOMINANCE_REQUIRES_BOOTSTRAP|ratio=0/1|reduction=1/1,false,false
S18,RELATIVE_B,EVALUABLE,true,EXACT_ZERO_MS_DOMINANCE_REQUIRES_BOOTSTRAP|ratio=0/1|reduction=1/1,false,false
S18,RELATIVE_C,EVALUABLE,true,EXACT_ZERO_MS_DOMINANCE_REQUIRES_BOOTSTRAP|ratio=0/1|reduction=1/1,false,false
S18,RELATIVE_D,EVALUABLE,true,EXACT_ZERO_MS_DOMINANCE_REQUIRES_BOOTSTRAP|ratio=0/1|reduction=1/1,false,false
