arm,component,formal_case_index,case_id,particle_id,fold,family,field_lineage_id,query_sample_global_index,query_full_store_row,query_polarization,matched_random_denominator,matched_random_denominator_exact_zero,matched_random_denominator_source,descriptor_nn_numerator,descriptor_nn_numerator_hex,descriptor_nn_numerator_exact_zero,descriptor_nn_numerator_positive,classification_A_zero_over_zero,classification_B_positive_over_zero,query_target_exact_zero,all_nn_targets_exact_equal_query,nn_nonidentical_but_numerator_exact_zero,nn_neighbour_identity_sha256,evidence_class
MS,density_rate,114,MSO02A|PRIMARY|F2|85a6ab6d0c7f38c53971220804ce250f1608c23dff61f611ac2597615d9a3244,351,FOLD_4,F2,MSO02A|FIELD_LINEAGE|5a562a863107efecf761865e7ffe780f0278b7371d3d2b047494c2cd6157c2d4,14661,66015,none,0.0,True,FROZEN_G1_ZERO_MAP_NOT_RECOMPUTED,0,0x0.0p+0,True,False,True,False,True,True,False,e45cb390f018e91cbc13269e1f30d59d474a455bcc7696f966acc3c7c5ac96d7,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,density_rate,270,MSO02A|PRIMARY|F3|921f5356fa7f7c8ebde36cbb88fd3554531eee3d1d61c1f0db247a024869d843,343,FOLD_1,F3,MSO02A|FIELD_LINEAGE|993bc62b7ebb5d53d24d7f8cd45ecb8d4e6820b40610e0720ec01f5aa4d5cfb5,34665,155863,none,0.0,True,FROZEN_G1_ZERO_MAP_NOT_RECOMPUTED,0,0x0.0p+0,True,False,True,False,True,True,False,362fae574361575cd878c65e458f6da672951988d3676736efdac8da3d3cfe64,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,pressure_gradient_acceleration,4,MSO02A|PRIMARY|F1|da434f0d773ef411eb143598d9858f232408e6af8e6bdf6b64a1ad5b8b0af0b7,472,FOLD_5,F1,MSO02A|FIELD_LINEAGE|968f559773f48e45efb507d4efff7d4964eb07265f8ec7e7de716508d7dbb1f9,536,2776,longitudinal,0.0,True,FROZEN_G1_ZERO_MAP_NOT_RECOMPUTED,0,0x0.0p+0,True,False,True,False,True,True,False,a96725914d3cd087d5a6f09358ef8fdce425586cbdcbb9783b3c5b3db27d3664,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,pressure_gradient_acceleration,7,MSO02A|PRIMARY|F1|99e8d754a6284b9b3350e4a0c663f5d27303ec9be89210deb6e8adbdbfa37f97,573,FOLD_0,F1,MSO02A|FIELD_LINEAGE|2ec99e80467416d668211a75c3db7f915ea1ebfbe6b5bb3d9588f9633bd862dd,974,4605,transverse,0.0,True,FROZEN_G1_ZERO_MAP_NOT_RECOMPUTED,0,0x0.0p+0,True,False,True,False,True,True,False,885c489f050fab49fda8040d753d8ed6b4bc4bf868db8bdbc029359b9c47b481,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,pressure_gradient_acceleration,11,MSO02A|PRIMARY|F1|38c8e42822331bf603216acbb41e63d8386c965cb59b00297e2bac576a6b8a9a,138,FOLD_4,F1,MSO02A|FIELD_LINEAGE|c8d86f4b8b81728b74e58015fe977eedcb0b0bc06b2413afe0690a7d93c55bae,1433,6474,transverse,0.0,True,FROZEN_G1_ZERO_MAP_NOT_RECOMPUTED,0,0x0.0p+0,True,False,True,False,True,True,False,b2437f2d8ed0fcb8caa600b4ccb361ca1f28ab2d551ca5c56552d44171c271c1,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,pressure_gradient_acceleration,13,MSO02A|PRIMARY|F1|744b2148dff9490f7db5e43218ab243a24697f6344421b35cdecbbb613639351,417,FOLD_3,F1,MSO02A|FIELD_LINEAGE|b4fb57cfa4442c0c54e4c7d2db6d70246c8a59b98d984aeed3fbba0497b48d97,1714,7905,longitudinal,0.0,True,FROZEN_G1_ZERO_MAP_NOT_RECOMPUTED,0,0x0.0p+0,True,False,True,False,True,True,False,a5cef4af22b080321be56e15f50c12a534924ee67f91fa0e76d2ed81b2b29a41,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,pressure_gradient_acceleration,19,MSO02A|PRIMARY|F1|76ecca06580ca10c5188b36225517d3b191c410f1bf70deec06e523786877858,187,FOLD_4,F1,MSO02A|FIELD_LINEAGE|733b051462622de52c9302cdaec7eab31df58e018ef9f5c8a794fa3d8b336fdf,2525,11131,transverse,0.0,True,FROZEN_G1_ZERO_MAP_NOT_RECOMPUTED,0,0x0.0p+0,True,False,True,False,True,True,False,979d8390b4d8826d3c82f4b49d850ed9ad870393c7dea6e7c8eb5e0fbc123371,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,pressure_gradient_acceleration,22,MSO02A|PRIMARY|F1|93ad586fca5e19d3cc4f6e6992ad5c775e00c959894e5374f30e421239908240,37,FOLD_5,F1,MSO02A|FIELD_LINEAGE|092ebc2c2e18864504bed82975734e2af17bfe2d0f1fd396031e4551e8bd9574,2881,12709,longitudinal,0.0,True,FROZEN_G1_ZERO_MAP_NOT_RECOMPUTED,0,0x0.0p+0,True,False,True,False,True,True,False,01ad59157f93af1d31dcc233f0f6e7214ff10d8a1188d101effa1a1015664d29,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,pressure_gradient_acceleration,22,MSO02A|PRIMARY|F1|93ad586fca5e19d3cc4f6e6992ad5c775e00c959894e5374f30e421239908240,572,FOLD_5,F1,MSO02A|FIELD_LINEAGE|092ebc2c2e18864504bed82975734e2af17bfe2d0f1fd396031e4551e8bd9574,2918,13244,longitudinal,0.0,True,FROZEN_G1_ZERO_MAP_NOT_RECOMPUTED,0,0x0.0p+0,True,False,True,False,True,True,False,05a9f8d015a9fe50f8905fb11bbf558a45da45fadf6869bc7a2b5276a2a750d5,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
MS,pressure_gradient_acceleration,25,MSO02A|PRIMARY|F1|407754227e7bce46f4d7aeefdf971ee83ef10a63281419a7be8bc1337539d031,216,FOLD_3,F1,MSO02A|FIELD_LINEAGE|8e26bfd3c5e68b6812024dee2802f1e7524f3a477fc85121a7b296b05be37f69,3202,14616,longitudinal,0.0,True,FROZEN_G1_ZERO_MAP_NOT_RECOMPUTED,0,0x0.0p+0,True,False,True,False,True,True,False,528bcfa8ea5ec338ab927c913e2063cb8eb3b0ef4dc12128e32b4468c19d60d6,CONSUMED_EVIDENCE_DIAGNOSTIC_ONLY
