arm,component,family,fold,zero_denominator_particle_count,formal_particle_count,zero_denominator_particle_fraction,affected_case_count_unique,formal_case_count,affected_case_fraction,affected_lineage_count_unique
SS,density_rate,F1,FOLD_0,0,1920,0.0,0,15,0.0,0
SS,density_rate,F1,FOLD_1,0,2176,0.0,0,17,0.0,0
SS,density_rate,F1,FOLD_2,0,2048,0.0,0,16,0.0,0
SS,density_rate,F1,FOLD_3,0,1920,0.0,0,15,0.0,0
SS,density_rate,F1,FOLD_4,0,2176,0.0,0,17,0.0,0
SS,density_rate,F1,FOLD_5,0,2048,0.0,0,16,0.0,0
SS,density_rate,F2,FOLD_0,0,2176,0.0,0,17,0.0,0
SS,density_rate,F2,FOLD_1,0,2176,0.0,0,17,0.0,0
SS,density_rate,F2,FOLD_2,0,1920,0.0,0,15,0.0,0
SS,density_rate,F2,FOLD_3,0,2176,0.0,0,17,0.0,0
SS,density_rate,F2,FOLD_4,1,1920,0.0005208333333333333,1,15,0.06666666666666667,1
SS,density_rate,F2,FOLD_5,0,1920,0.0,0,15,0.0,0
SS,density_rate,F3,FOLD_0,0,2048,0.0,0,16,0.0,0
SS,density_rate,F3,FOLD_1,1,2176,0.00045955882352941176,1,17,0.058823529411764705,1
SS,density_rate,F3,FOLD_2,0,1920,0.0,0,15,0.0,0
SS,density_rate,F3,FOLD_3,0,2304,0.0,0,18,0.0,0
SS,density_rate,F3,FOLD_4,0,1920,0.0,0,15,0.0,0
SS,density_rate,F3,FOLD_5,0,1920,0.0,0,15,0.0,0
SS,density_rate,F4,FOLD_0,0,3072,0.0,0,24,0.0,0
SS,density_rate,F4,FOLD_1,0,3072,0.0,0,24,0.0,0
SS,density_rate,F4,FOLD_2,0,1536,0.0,0,12,0.0,0
SS,density_rate,F4,FOLD_3,0,1536,0.0,0,12,0.0,0
SS,density_rate,F4,FOLD_4,0,1536,0.0,0,12,0.0,0
SS,density_rate,F4,FOLD_5,0,1536,0.0,0,12,0.0,0
SS,pressure_gradient_acceleration,F1,FOLD_0,3,1920,0.0015625,3,15,0.2,3
SS,pressure_gradient_acceleration,F1,FOLD_1,4,2176,0.001838235294117647,4,17,0.23529411764705882,4
SS,pressure_gradient_acceleration,F1,FOLD_2,1,2048,0.00048828125,1,16,0.0625,1
SS,pressure_gradient_acceleration,F1,FOLD_3,5,1920,0.0026041666666666665,5,15,0.3333333333333333,5
SS,pressure_gradient_acceleration,F1,FOLD_4,6,2176,0.0027573529411764708,5,17,0.29411764705882354,5
SS,pressure_gradient_acceleration,F1,FOLD_5,6,2048,0.0029296875,5,16,0.3125,5
SS,pressure_gradient_acceleration,F2,FOLD_0,13,2176,0.0059742647058823525,7,17,0.4117647058823529,6
SS,pressure_gradient_acceleration,F2,FOLD_1,3,2176,0.0013786764705882354,3,17,0.17647058823529413,3
SS,pressure_gradient_acceleration,F2,FOLD_2,15,1920,0.0078125,7,15,0.4666666666666667,5
SS,pressure_gradient_acceleration,F2,FOLD_3,9,2176,0.004136029411764706,6,17,0.35294117647058826,4
SS,pressure_gradient_acceleration,F2,FOLD_4,3,1920,0.0015625,2,15,0.13333333333333333,2
SS,pressure_gradient_acceleration,F2,FOLD_5,2,1920,0.0010416666666666667,2,15,0.13333333333333333,1
SS,pressure_gradient_acceleration,F3,FOLD_0,14,2048,0.0068359375,9,16,0.5625,8
SS,pressure_gradient_acceleration,F3,FOLD_1,2,2176,0.0009191176470588235,2,17,0.11764705882352941,2
SS,pressure_gradient_acceleration,F3,FOLD_2,11,1920,0.005729166666666666,8,15,0.5333333333333333,5
SS,pressure_gradient_acceleration,F3,FOLD_3,8,2304,0.003472222222222222,7,18,0.3888888888888889,6
SS,pressure_gradient_acceleration,F3,FOLD_4,2,1920,0.0010416666666666667,2,15,0.13333333333333333,2
SS,pressure_gradient_acceleration,F3,FOLD_5,0,1920,0.0,0,15,0.0,0
SS,pressure_gradient_acceleration,F4,FOLD_0,0,3072,0.0,0,24,0.0,0
SS,pressure_gradient_acceleration,F4,FOLD_1,5,3072,0.0016276041666666667,4,24,0.16666666666666666,2
SS,pressure_gradient_acceleration,F4,FOLD_2,0,1536,0.0,0,12,0.0,0
SS,pressure_gradient_acceleration,F4,FOLD_3,0,1536,0.0,0,12,0.0,0
SS,pressure_gradient_acceleration,F4,FOLD_4,3,1536,0.001953125,2,12,0.16666666666666666,1
SS,pressure_gradient_acceleration,F4,FOLD_5,4,1536,0.0026041666666666665,3,12,0.25,1
SS,viscosity_laplacian_acceleration,F1,FOLD_0,0,1920,0.0,0,15,0.0,0
SS,viscosity_laplacian_acceleration,F1,FOLD_1,0,2176,0.0,0,17,0.0,0
SS,viscosity_laplacian_acceleration,F1,FOLD_2,0,2048,0.0,0,16,0.0,0
SS,viscosity_laplacian_acceleration,F1,FOLD_3,0,1920,0.0,0,15,0.0,0
SS,viscosity_laplacian_acceleration,F1,FOLD_4,0,2176,0.0,0,17,0.0,0
SS,viscosity_laplacian_acceleration,F1,FOLD_5,0,2048,0.0,0,16,0.0,0
SS,viscosity_laplacian_acceleration,F2,FOLD_0,0,2176,0.0,0,17,0.0,0
SS,viscosity_laplacian_acceleration,F2,FOLD_1,0,2176,0.0,0,17,0.0,0
SS,viscosity_laplacian_acceleration,F2,FOLD_2,0,1920,0.0,0,15,0.0,0
SS,viscosity_laplacian_acceleration,F2,FOLD_3,0,2176,0.0,0,17,0.0,0
SS,viscosity_laplacian_acceleration,F2,FOLD_4,1,1920,0.0005208333333333333,1,15,0.06666666666666667,1
SS,viscosity_laplacian_acceleration,F2,FOLD_5,0,1920,0.0,0,15,0.0,0
SS,viscosity_laplacian_acceleration,F3,FOLD_0,0,2048,0.0,0,16,0.0,0
SS,viscosity_laplacian_acceleration,F3,FOLD_1,1,2176,0.00045955882352941176,1,17,0.058823529411764705,1
SS,viscosity_laplacian_acceleration,F3,FOLD_2,0,1920,0.0,0,15,0.0,0
SS,viscosity_laplacian_acceleration,F3,FOLD_3,0,2304,0.0,0,18,0.0,0
SS,viscosity_laplacian_acceleration,F3,FOLD_4,0,1920,0.0,0,15,0.0,0
SS,viscosity_laplacian_acceleration,F3,FOLD_5,0,1920,0.0,0,15,0.0,0
SS,viscosity_laplacian_acceleration,F4,FOLD_0,0,3072,0.0,0,24,0.0,0
SS,viscosity_laplacian_acceleration,F4,FOLD_1,0,3072,0.0,0,24,0.0,0
SS,viscosity_laplacian_acceleration,F4,FOLD_2,0,1536,0.0,0,12,0.0,0
SS,viscosity_laplacian_acceleration,F4,FOLD_3,0,1536,0.0,0,12,0.0,0
SS,viscosity_laplacian_acceleration,F4,FOLD_4,0,1536,0.0,0,12,0.0,0
SS,viscosity_laplacian_acceleration,F4,FOLD_5,0,1536,0.0,0,12,0.0,0
MS,density_rate,F1,FOLD_0,0,1920,0.0,0,15,0.0,0
MS,density_rate,F1,FOLD_1,0,2176,0.0,0,17,0.0,0
MS,density_rate,F1,FOLD_2,0,2048,0.0,0,16,0.0,0
MS,density_rate,F1,FOLD_3,0,1920,0.0,0,15,0.0,0
MS,density_rate,F1,FOLD_4,0,2176,0.0,0,17,0.0,0
MS,density_rate,F1,FOLD_5,0,2048,0.0,0,16,0.0,0
MS,density_rate,F2,FOLD_0,0,2176,0.0,0,17,0.0,0
MS,density_rate,F2,FOLD_1,0,2176,0.0,0,17,0.0,0
MS,density_rate,F2,FOLD_2,0,1920,0.0,0,15,0.0,0
MS,density_rate,F2,FOLD_3,0,2176,0.0,0,17,0.0,0
MS,density_rate,F2,FOLD_4,1,1920,0.0005208333333333333,1,15,0.06666666666666667,1
MS,density_rate,F2,FOLD_5,0,1920,0.0,0,15,0.0,0
MS,density_rate,F3,FOLD_0,0,2048,0.0,0,16,0.0,0
MS,density_rate,F3,FOLD_1,1,2176,0.00045955882352941176,1,17,0.058823529411764705,1
MS,density_rate,F3,FOLD_2,0,1920,0.0,0,15,0.0,0
MS,density_rate,F3,FOLD_3,0,2304,0.0,0,18,0.0,0
MS,density_rate,F3,FOLD_4,0,1920,0.0,0,15,0.0,0
MS,density_rate,F3,FOLD_5,0,1920,0.0,0,15,0.0,0
MS,density_rate,F4,FOLD_0,0,3072,0.0,0,24,0.0,0
MS,density_rate,F4,FOLD_1,0,3072,0.0,0,24,0.0,0
MS,density_rate,F4,FOLD_2,0,1536,0.0,0,12,0.0,0
MS,density_rate,F4,FOLD_3,0,1536,0.0,0,12,0.0,0
MS,density_rate,F4,FOLD_4,0,1536,0.0,0,12,0.0,0
MS,density_rate,F4,FOLD_5,0,1536,0.0,0,12,0.0,0
MS,pressure_gradient_acceleration,F1,FOLD_0,3,1920,0.0015625,3,15,0.2,3
MS,pressure_gradient_acceleration,F1,FOLD_1,4,2176,0.001838235294117647,4,17,0.23529411764705882,4
MS,pressure_gradient_acceleration,F1,FOLD_2,1,2048,0.00048828125,1,16,0.0625,1
MS,pressure_gradient_acceleration,F1,FOLD_3,5,1920,0.0026041666666666665,5,15,0.3333333333333333,5
MS,pressure_gradient_acceleration,F1,FOLD_4,6,2176,0.0027573529411764708,5,17,0.29411764705882354,5
MS,pressure_gradient_acceleration,F1,FOLD_5,6,2048,0.0029296875,5,16,0.3125,5
MS,pressure_gradient_acceleration,F2,FOLD_0,13,2176,0.0059742647058823525,7,17,0.4117647058823529,6
MS,pressure_gradient_acceleration,F2,FOLD_1,3,2176,0.0013786764705882354,3,17,0.17647058823529413,3
MS,pressure_gradient_acceleration,F2,FOLD_2,15,1920,0.0078125,7,15,0.4666666666666667,5
MS,pressure_gradient_acceleration,F2,FOLD_3,9,2176,0.004136029411764706,6,17,0.35294117647058826,4
MS,pressure_gradient_acceleration,F2,FOLD_4,3,1920,0.0015625,2,15,0.13333333333333333,2
MS,pressure_gradient_acceleration,F2,FOLD_5,2,1920,0.0010416666666666667,2,15,0.13333333333333333,1
MS,pressure_gradient_acceleration,F3,FOLD_0,14,2048,0.0068359375,9,16,0.5625,8
MS,pressure_gradient_acceleration,F3,FOLD_1,2,2176,0.0009191176470588235,2,17,0.11764705882352941,2
MS,pressure_gradient_acceleration,F3,FOLD_2,11,1920,0.005729166666666666,8,15,0.5333333333333333,5
MS,pressure_gradient_acceleration,F3,FOLD_3,8,2304,0.003472222222222222,7,18,0.3888888888888889,6
MS,pressure_gradient_acceleration,F3,FOLD_4,2,1920,0.0010416666666666667,2,15,0.13333333333333333,2
MS,pressure_gradient_acceleration,F3,FOLD_5,0,1920,0.0,0,15,0.0,0
MS,pressure_gradient_acceleration,F4,FOLD_0,0,3072,0.0,0,24,0.0,0
MS,pressure_gradient_acceleration,F4,FOLD_1,5,3072,0.0016276041666666667,4,24,0.16666666666666666,2
MS,pressure_gradient_acceleration,F4,FOLD_2,0,1536,0.0,0,12,0.0,0
MS,pressure_gradient_acceleration,F4,FOLD_3,0,1536,0.0,0,12,0.0,0
MS,pressure_gradient_acceleration,F4,FOLD_4,3,1536,0.001953125,2,12,0.16666666666666666,1
MS,pressure_gradient_acceleration,F4,FOLD_5,4,1536,0.0026041666666666665,3,12,0.25,1
MS,viscosity_laplacian_acceleration,F1,FOLD_0,0,1920,0.0,0,15,0.0,0
MS,viscosity_laplacian_acceleration,F1,FOLD_1,0,2176,0.0,0,17,0.0,0
MS,viscosity_laplacian_acceleration,F1,FOLD_2,0,2048,0.0,0,16,0.0,0
MS,viscosity_laplacian_acceleration,F1,FOLD_3,0,1920,0.0,0,15,0.0,0
MS,viscosity_laplacian_acceleration,F1,FOLD_4,0,2176,0.0,0,17,0.0,0
MS,viscosity_laplacian_acceleration,F1,FOLD_5,0,2048,0.0,0,16,0.0,0
MS,viscosity_laplacian_acceleration,F2,FOLD_0,0,2176,0.0,0,17,0.0,0
MS,viscosity_laplacian_acceleration,F2,FOLD_1,0,2176,0.0,0,17,0.0,0
MS,viscosity_laplacian_acceleration,F2,FOLD_2,0,1920,0.0,0,15,0.0,0
MS,viscosity_laplacian_acceleration,F2,FOLD_3,0,2176,0.0,0,17,0.0,0
MS,viscosity_laplacian_acceleration,F2,FOLD_4,1,1920,0.0005208333333333333,1,15,0.06666666666666667,1
MS,viscosity_laplacian_acceleration,F2,FOLD_5,0,1920,0.0,0,15,0.0,0
MS,viscosity_laplacian_acceleration,F3,FOLD_0,0,2048,0.0,0,16,0.0,0
MS,viscosity_laplacian_acceleration,F3,FOLD_1,1,2176,0.00045955882352941176,1,17,0.058823529411764705,1
MS,viscosity_laplacian_acceleration,F3,FOLD_2,0,1920,0.0,0,15,0.0,0
MS,viscosity_laplacian_acceleration,F3,FOLD_3,0,2304,0.0,0,18,0.0,0
MS,viscosity_laplacian_acceleration,F3,FOLD_4,0,1920,0.0,0,15,0.0,0
MS,viscosity_laplacian_acceleration,F3,FOLD_5,0,1920,0.0,0,15,0.0,0
MS,viscosity_laplacian_acceleration,F4,FOLD_0,0,3072,0.0,0,24,0.0,0
MS,viscosity_laplacian_acceleration,F4,FOLD_1,0,3072,0.0,0,24,0.0,0
MS,viscosity_laplacian_acceleration,F4,FOLD_2,0,1536,0.0,0,12,0.0,0
MS,viscosity_laplacian_acceleration,F4,FOLD_3,0,1536,0.0,0,12,0.0,0
MS,viscosity_laplacian_acceleration,F4,FOLD_4,0,1536,0.0,0,12,0.0,0
MS,viscosity_laplacian_acceleration,F4,FOLD_5,0,1536,0.0,0,12,0.0,0
