geometry,arm,component,coverage_status,near_collision_rate,near_collision_count,legal_pair_count,comparison_population,status,evidence_class
U0_SS,SS,density_rate,INSIDE_COVERAGE,0.0,0,922060,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,SS,density_rate,OUTSIDE_COVERAGE,0.0,0,60980,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,SS,pressure_gradient_acceleration,INSIDE_COVERAGE,0.0002928225928898336,270,922060,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,SS,pressure_gradient_acceleration,OUTSIDE_COVERAGE,0.0,0,60980,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,SS,viscosity_laplacian_acceleration,INSIDE_COVERAGE,0.0012309394182591154,1135,922060,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,SS,viscosity_laplacian_acceleration,OUTSIDE_COVERAGE,0.0,0,60980,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,MS,density_rate,INSIDE_COVERAGE,0.0,0,927720,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,MS,density_rate,OUTSIDE_COVERAGE,0.0,0,55320,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,MS,pressure_gradient_acceleration,INSIDE_COVERAGE,0.001663217350062519,1543,927720,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,MS,pressure_gradient_acceleration,OUTSIDE_COVERAGE,0.0,0,55320,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,MS,viscosity_laplacian_acceleration,INSIDE_COVERAGE,0.000972276117794162,902,927720,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,MS,viscosity_laplacian_acceleration,OUTSIDE_COVERAGE,0.0,0,55320,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
