component,scope,scope_id,ss_wn,ms_wn,wn_ratio_ms_over_ss,ss_wb,ms_wb,wb_ratio_ms_over_ss,ss_d,ms_d,d_ratio_ms_over_ss,log_scale_cancellation_gap,numerator_delta,denominator_delta,status,evidence_class
density_rate,OVERALL,ALL,0.006291549076702527,0.0012682995704503253,0.20158780532235088,0.017703595326272418,0.017703595326272418,1.0,0.35538256273660795,0.07164079087190546,0.20158780532235085,1.6015302340869513,-0.005023249506252201,0.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
density_rate,FOLD,FOLD_0,0.0022421374907695027,0.00010895923513600791,0.04859614344997775,0.01332553116536776,0.01332553116536776,1.0,0.1682587705469243,0.008176727350215225,0.04859614344997775,3.0242111041054116,-0.0021331782556334947,0.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
density_rate,FOLD,FOLD_1,0.004265438582037687,0.0018603746574143226,0.43615084864862447,0.01689263861631692,0.01689263861631692,1.0,0.2525028018960649,0.11012931133312422,0.4361508486486245,0.8297671123324204,-0.0024050639246233647,0.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
density_rate,FOLD,FOLD_2,0.005448044332424395,0.0003833282625155477,0.07036070911430442,0.0173729821849713,0.0173729821849713,1.0,0.3135929269033205,0.022064620710147868,0.07036070911430443,2.654120280790848,-0.005064716069908847,0.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
density_rate,FOLD,FOLD_3,0.015821162621558454,0.00493166193167787,0.31171299162033894,0.035391494217116015,0.035391494217116015,1.0,0.44703290922108146,0.1393459654860467,0.3117129916203389,1.1656724131918361,-0.010889500689880583,0.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
density_rate,FOLD,FOLD_4,0.006894817226153861,0.00031915666805429864,0.04628935874378993,0.01275369148767309,0.01275369148767309,1.0,0.5406134555487684,0.025024650185616865,0.04628935874378992,3.07284317705306,-0.006575660558099563,0.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
density_rate,FOLD,FOLD_5,0.003077694207271262,6.316667903905672e-06,0.002052402701016272,0.010485234286189436,0.010485234286189436,1.0,0.29352650816062625,0.0006024345981687441,0.002052402701016272,6.188744122869133,-0.0030713775393673565,0.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
density_rate,FAMILY,F1,0.010554751829728337,0.0037134040939978187,0.351822965987576,0.027047607051641418,0.027047607051641418,1.0,0.39022867381858867,0.1372914094362542,0.351822965987576,1.044627167434839,-0.006841347735730519,0.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
density_rate,FAMILY,F2,0.002680857858739358,0.00014820395988092555,0.055282289360397766,0.012859242857956558,0.012859242857956558,1.0,0.208477115515444,0.011525092224945847,0.05528228936039777,2.89530268648015,-0.0025326538988584323,0.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
density_rate,FAMILY,F3,0.004242075321439964,0.00017695072424768414,0.04171324430600128,0.016538310764836285,0.016538310764836285,1.0,0.2564999159684104,0.010699443659259102,0.04171324430600128,3.1769365913478986,-0.00406512459719228,0.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
density_rate,FAMILY,F4,0.0076885112969024465,0.0010346395036748733,0.13456954977639293,0.014369220630655419,0.014369220630655419,1.0,0.5350680802060838,0.0720038706530516,0.13456954977639293,2.005674114880468,-0.0066538717932275735,0.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
density_rate,FAMILY_FOLD,F1|FOLD_0,0.0034464973741048462,0.00010610368201648144,0.03078594599075811,0.012341482598731673,0.012341482598731673,1.0,0.27926121084180283,0.008597320554289455,0.03078594599075811,3.480696992140037,-0.003340393692088365,0.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
density_rate,FAMILY_FOLD,F2|FOLD_0,0.004123468348178815,0.00021885013600352778,0.053074285413197336,0.018927861281478282,0.018927861281478282,1.0,0.21785178403720679,0.011562327763764941,0.053074285413197336,2.9360627352008852,-0.0039046182121752868,0.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
density_rate,FAMILY_FOLD,F3|FOLD_0,0.0013223446745127521,1.5111914355528864e-05,0.011428120554950768,0.011855381361194765,0.011855381361194765,1.0,0.11153961515241281,0.001274688168614587,0.01142812055495077,4.471678245583605,-0.0013072327601572232,0.0,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
