arm,component,scope,scope_id,wn,wb,d_wn_over_wb,status,aggregation,evidence_class
SS,density_rate,OVERALL,ALL,0.006291549076702527,0.017703595326272418,0.35538256273660795,EVALUABLE,EQUAL_FOLD_FAMILY_LINEAGE_THEN_CASE_MEAN_AS_APPLICABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
SS,density_rate,FOLD,FOLD_0,0.0022421374907695027,0.01332553116536776,0.1682587705469243,EVALUABLE,EQUAL_FOLD_FAMILY_LINEAGE_THEN_CASE_MEAN_AS_APPLICABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
SS,density_rate,FOLD,FOLD_1,0.004265438582037687,0.01689263861631692,0.2525028018960649,EVALUABLE,EQUAL_FOLD_FAMILY_LINEAGE_THEN_CASE_MEAN_AS_APPLICABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
SS,density_rate,FOLD,FOLD_2,0.005448044332424395,0.0173729821849713,0.3135929269033205,EVALUABLE,EQUAL_FOLD_FAMILY_LINEAGE_THEN_CASE_MEAN_AS_APPLICABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
SS,density_rate,FOLD,FOLD_3,0.015821162621558454,0.035391494217116015,0.44703290922108146,EVALUABLE,EQUAL_FOLD_FAMILY_LINEAGE_THEN_CASE_MEAN_AS_APPLICABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
SS,density_rate,FOLD,FOLD_4,0.006894817226153861,0.01275369148767309,0.5406134555487684,EVALUABLE,EQUAL_FOLD_FAMILY_LINEAGE_THEN_CASE_MEAN_AS_APPLICABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
SS,density_rate,FOLD,FOLD_5,0.003077694207271262,0.010485234286189436,0.29352650816062625,EVALUABLE,EQUAL_FOLD_FAMILY_LINEAGE_THEN_CASE_MEAN_AS_APPLICABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
SS,density_rate,FAMILY,F1,0.010554751829728337,0.027047607051641418,0.39022867381858867,EVALUABLE,EQUAL_FOLD_FAMILY_LINEAGE_THEN_CASE_MEAN_AS_APPLICABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
SS,density_rate,FAMILY,F2,0.002680857858739358,0.012859242857956558,0.208477115515444,EVALUABLE,EQUAL_FOLD_FAMILY_LINEAGE_THEN_CASE_MEAN_AS_APPLICABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
SS,density_rate,FAMILY,F3,0.004242075321439964,0.016538310764836285,0.2564999159684104,EVALUABLE,EQUAL_FOLD_FAMILY_LINEAGE_THEN_CASE_MEAN_AS_APPLICABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
SS,density_rate,FAMILY,F4,0.0076885112969024465,0.014369220630655419,0.5350680802060838,EVALUABLE,EQUAL_FOLD_FAMILY_LINEAGE_THEN_CASE_MEAN_AS_APPLICABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
SS,density_rate,FAMILY_FOLD,F1|FOLD_0,0.0034464973741048462,0.012341482598731673,0.27926121084180283,EVALUABLE,EQUAL_FOLD_FAMILY_LINEAGE_THEN_CASE_MEAN_AS_APPLICABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
SS,density_rate,FAMILY_FOLD,F2|FOLD_0,0.004123468348178815,0.018927861281478282,0.21785178403720679,EVALUABLE,EQUAL_FOLD_FAMILY_LINEAGE_THEN_CASE_MEAN_AS_APPLICABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
SS,density_rate,FAMILY_FOLD,F3|FOLD_0,0.0013223446745127521,0.011855381361194765,0.11153961515241281,EVALUABLE,EQUAL_FOLD_FAMILY_LINEAGE_THEN_CASE_MEAN_AS_APPLICABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
