proxy_id,proxy_class,component,input_feature_names,missing_input_feature_names,deterministic_operation,deployment_available,o2_parity,zero_semantics,output_dimension,status,evidence_class
P1_DELTA_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,"[""obs__delta_L_0p75__pressure_acceleration_x"", ""obs__delta_L_0p75__pressure_acceleration_y""]",[],VECTOR,True,O2_EQUIVARIANT_VECTOR,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,2,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,"[""obs__G_0p75__pressure_acceleration_x"", ""obs__G_0p75__pressure_acceleration_y""]",[],VECTOR,True,O2_EQUIVARIANT_VECTOR,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,2,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_0p75,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,"[""obs__delta_L_0p75__pressure_acceleration_x"", ""obs__delta_L_0p75__pressure_acceleration_y"", ""obs__L_1p00__pressure_acceleration_x"", ""obs__L_1p00__pressure_acceleration_y""]",[],DOT,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_BASE_MAKES_NORMALIZED_DECOMPOSITION_NOT_APPLICABLE; NO_DIRECTION_IS_CHOSEN,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_PARALLEL_SQUARED_PRESSURE_0p75,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,"[""obs__delta_L_0p75__pressure_acceleration_x"", ""obs__delta_L_0p75__pressure_acceleration_y"", ""obs__L_1p00__pressure_acceleration_x"", ""obs__L_1p00__pressure_acceleration_y""]",[],PARALLEL,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_BASE_MAKES_NORMALIZED_DECOMPOSITION_NOT_APPLICABLE; NO_DIRECTION_IS_CHOSEN,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_ORTHOGONAL_SQUARED_PRESSURE_0p75,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,"[""obs__delta_L_0p75__pressure_acceleration_x"", ""obs__delta_L_0p75__pressure_acceleration_y"", ""obs__L_1p00__pressure_acceleration_x"", ""obs__L_1p00__pressure_acceleration_y""]",[],ORTHOGONAL,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_BASE_MAKES_NORMALIZED_DECOMPOSITION_NOT_APPLICABLE; NO_DIRECTION_IS_CHOSEN,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_NORM_RATIO_PRESSURE_0p75,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,"[""obs__delta_L_0p75__pressure_acceleration_x"", ""obs__delta_L_0p75__pressure_acceleration_y"", ""obs__L_1p00__pressure_acceleration_x"", ""obs__L_1p00__pressure_acceleration_y""]",[],NORM_RATIO,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_BASE_MAKES_NORMALIZED_DECOMPOSITION_NOT_APPLICABLE; NO_DIRECTION_IS_CHOSEN,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_DELTA_PRESSURE_1p25,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,"[""obs__delta_L_1p25__pressure_acceleration_x"", ""obs__delta_L_1p25__pressure_acceleration_y""]",[],VECTOR,True,O2_EQUIVARIANT_VECTOR,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,2,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_1p25,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,"[""obs__G_1p25__pressure_acceleration_x"", ""obs__G_1p25__pressure_acceleration_y""]",[],VECTOR,True,O2_EQUIVARIANT_VECTOR,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,2,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_1p25,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,"[""obs__delta_L_1p25__pressure_acceleration_x"", ""obs__delta_L_1p25__pressure_acceleration_y"", ""obs__L_1p00__pressure_acceleration_x"", ""obs__L_1p00__pressure_acceleration_y""]",[],DOT,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_BASE_MAKES_NORMALIZED_DECOMPOSITION_NOT_APPLICABLE; NO_DIRECTION_IS_CHOSEN,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_PARALLEL_SQUARED_PRESSURE_1p25,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,"[""obs__delta_L_1p25__pressure_acceleration_x"", ""obs__delta_L_1p25__pressure_acceleration_y"", ""obs__L_1p00__pressure_acceleration_x"", ""obs__L_1p00__pressure_acceleration_y""]",[],PARALLEL,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_BASE_MAKES_NORMALIZED_DECOMPOSITION_NOT_APPLICABLE; NO_DIRECTION_IS_CHOSEN,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_ORTHOGONAL_SQUARED_PRESSURE_1p25,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,"[""obs__delta_L_1p25__pressure_acceleration_x"", ""obs__delta_L_1p25__pressure_acceleration_y"", ""obs__L_1p00__pressure_acceleration_x"", ""obs__L_1p00__pressure_acceleration_y""]",[],ORTHOGONAL,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_BASE_MAKES_NORMALIZED_DECOMPOSITION_NOT_APPLICABLE; NO_DIRECTION_IS_CHOSEN,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_NORM_RATIO_PRESSURE_1p25,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,"[""obs__delta_L_1p25__pressure_acceleration_x"", ""obs__delta_L_1p25__pressure_acceleration_y"", ""obs__L_1p00__pressure_acceleration_x"", ""obs__L_1p00__pressure_acceleration_y""]",[],NORM_RATIO,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_BASE_MAKES_NORMALIZED_DECOMPOSITION_NOT_APPLICABLE; NO_DIRECTION_IS_CHOSEN,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_DELTA_PRESSURE_1p50,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,"[""obs__delta_L_1p50__pressure_acceleration_x"", ""obs__delta_L_1p50__pressure_acceleration_y""]",[],VECTOR,True,O2_EQUIVARIANT_VECTOR,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,2,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_1p50,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,"[""obs__G_1p50__pressure_acceleration_x"", ""obs__G_1p50__pressure_acceleration_y""]",[],VECTOR,True,O2_EQUIVARIANT_VECTOR,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,2,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_1p50,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,"[""obs__delta_L_1p50__pressure_acceleration_x"", ""obs__delta_L_1p50__pressure_acceleration_y"", ""obs__L_1p00__pressure_acceleration_x"", ""obs__L_1p00__pressure_acceleration_y""]",[],DOT,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_BASE_MAKES_NORMALIZED_DECOMPOSITION_NOT_APPLICABLE; NO_DIRECTION_IS_CHOSEN,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_PARALLEL_SQUARED_PRESSURE_1p50,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,"[""obs__delta_L_1p50__pressure_acceleration_x"", ""obs__delta_L_1p50__pressure_acceleration_y"", ""obs__L_1p00__pressure_acceleration_x"", ""obs__L_1p00__pressure_acceleration_y""]",[],PARALLEL,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_BASE_MAKES_NORMALIZED_DECOMPOSITION_NOT_APPLICABLE; NO_DIRECTION_IS_CHOSEN,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_ORTHOGONAL_SQUARED_PRESSURE_1p50,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,"[""obs__delta_L_1p50__pressure_acceleration_x"", ""obs__delta_L_1p50__pressure_acceleration_y"", ""obs__L_1p00__pressure_acceleration_x"", ""obs__L_1p00__pressure_acceleration_y""]",[],ORTHOGONAL,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_BASE_MAKES_NORMALIZED_DECOMPOSITION_NOT_APPLICABLE; NO_DIRECTION_IS_CHOSEN,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_NORM_RATIO_PRESSURE_1p50,P3_BASE_OPERATOR_ALIGNMENT,pressure_gradient_acceleration,"[""obs__delta_L_1p50__pressure_acceleration_x"", ""obs__delta_L_1p50__pressure_acceleration_y"", ""obs__L_1p00__pressure_acceleration_x"", ""obs__L_1p00__pressure_acceleration_y""]",[],NORM_RATIO,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_BASE_MAKES_NORMALIZED_DECOMPOSITION_NOT_APPLICABLE; NO_DIRECTION_IS_CHOSEN,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_GRAM_PRESSURE_0p75_0p75,P2_CROSS_SCALE_GRAM,pressure_gradient_acceleration,"[""obs__delta_L_0p75__pressure_acceleration_x"", ""obs__delta_L_0p75__pressure_acceleration_y"", ""obs__delta_L_0p75__pressure_acceleration_x"", ""obs__delta_L_0p75__pressure_acceleration_y""]",[],DOT,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_GRAM_PRESSURE_0p75_1p25,P2_CROSS_SCALE_GRAM,pressure_gradient_acceleration,"[""obs__delta_L_0p75__pressure_acceleration_x"", ""obs__delta_L_0p75__pressure_acceleration_y"", ""obs__delta_L_1p25__pressure_acceleration_x"", ""obs__delta_L_1p25__pressure_acceleration_y""]",[],DOT,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P2_GRAM_PRESSURE_0p75_1p50,P2_CROSS_SCALE_GRAM,pressure_gradient_acceleration,"[""obs__delta_L_0p75__pressure_acceleration_x"", ""obs__delta_L_0p75__pressure_acceleration_y"", ""obs__delta_L_1p50__pressure_acceleration_x"", ""obs__delta_L_1p50__pressure_acceleration_y""]",[],DOT,True,O2_INVARIANT_REFLECTION_EVEN,ZERO_INPUTS_PROPAGATE_WITHOUT_FRAME_FALLBACK,1,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
