proxy_id,overlap_class,new_deployment_information,algebraic_reparameterization,overlap_with_existing_110d,overlap_with_ddo02b,eligible_as_route_b_incremental_information,status,evidence_class
P1_DELTA_PRESSURE_0p75,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_0p75,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_0p75,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_PARALLEL_SQUARED_PRESSURE_0p75,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_ORTHOGONAL_SQUARED_PRESSURE_0p75,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_NORM_RATIO_PRESSURE_0p75,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_DELTA_PRESSURE_1p25,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_LOG_SECANT_PRESSURE_1p25,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_DOT_BASE_PRESSURE_1p25,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P3_PARALLEL_SQUARED_PRESSURE_1p25,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,False,True,ALGEBRAIC_REPARAMETERIZATION_OF_EXISTING_110D_FEATURES,NO_PRINCIPAL_EIGENFRAME_OR_SIGN_FALLBACK,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
