evidence_class,record_type,arm,scope_type,scope_id,correlation_status,diagnostic_only,feature_count,fraction_of_all_group_energy,group_energy_pearson_correlation,group_id,group_id_2,group_name,maximum_absolute_within_group_feature_correlation,mean_total_squared_contribution,normalization_semantics,zero_energy_status
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,SS,OVERALL,ALL,,True,39,1.0,,G0,,BASE_SINGLE_SCALE,1.0000000000000004,2.1173884537559797e+30,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,SS,TRAIN_EXCLUDING_FOLD,FOLD_0,,True,39,1.0,,G0,,BASE_SINGLE_SCALE,1.000000000000003,5.3692748376601426e+29,FROZEN_TRAIN_FOLD_MEDIAN_IQR,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,SS,TRAIN_EXCLUDING_FOLD,FOLD_1,,True,39,1.0,,G0,,BASE_SINGLE_SCALE,1.0000000000000007,1.1678602254175449e+27,FROZEN_TRAIN_FOLD_MEDIAN_IQR,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,SS,TRAIN_EXCLUDING_FOLD,FOLD_2,,True,39,1.0,,G0,,BASE_SINGLE_SCALE,1.000000000000004,6.573542643677477e+30,FROZEN_TRAIN_FOLD_MEDIAN_IQR,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,SS,TRAIN_EXCLUDING_FOLD,FOLD_3,,True,39,1.0,,G0,,BASE_SINGLE_SCALE,1.0000000000000042,4.027398574746713e+31,FROZEN_TRAIN_FOLD_MEDIAN_IQR,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,SS,TRAIN_EXCLUDING_FOLD,FOLD_4,,True,39,1.0,,G0,,BASE_SINGLE_SCALE,1.0000000000000058,2.240296611038485e+30,FROZEN_TRAIN_FOLD_MEDIAN_IQR,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,SS,TRAIN_EXCLUDING_FOLD,FOLD_5,,True,39,1.0,,G0,,BASE_SINGLE_SCALE,1.0000000000000158,1.1717013909884386e+27,FROZEN_TRAIN_FOLD_MEDIAN_IQR,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,SS,FAMILY,F1,,True,39,1.0,,G0,,BASE_SINGLE_SCALE,1.0000000000000022,2.7077882070967496e+30,OBSERVABLE_ONLY_GLOBAL_MEDIAN_IQR_FOR_CROSS_FAMILY_COMPARISON,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,SS,FAMILY,F2,,True,39,1.0,,G0,,BASE_SINGLE_SCALE,1.0000000000000024,1.1999781721218357e+30,OBSERVABLE_ONLY_GLOBAL_MEDIAN_IQR_FOR_CROSS_FAMILY_COMPARISON,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,SS,FAMILY,F3,,True,39,1.0,,G0,,BASE_SINGLE_SCALE,1.0,2.4294455551322215e+30,OBSERVABLE_ONLY_GLOBAL_MEDIAN_IQR_FOR_CROSS_FAMILY_COMPARISON,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,SS,FAMILY,F4,,True,39,1.0,,G0,,BASE_SINGLE_SCALE,1.0,2.1323418806731113e+30,OBSERVABLE_ONLY_GLOBAL_MEDIAN_IQR_FOR_CROSS_FAMILY_COMPARISON,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,MS,OVERALL,ALL,,True,39,0.1646217051237395,,G0,,BASE_SINGLE_SCALE,1.0000000000000004,2.1173884537559608e+30,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,MS,OVERALL,ALL,,True,15,0.11903889426565534,,G1,,RAW_MULTI_SCALE_OPERATOR_VALUES,1.000000000000508,1.531095672205061e+30,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,MS,OVERALL,ALL,,True,15,0.2602509214651475,,G2,,BASELINE_SCALE_DIFFERENCES,1.0000000000003562,3.3473854239053646e+30,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,MS,OVERALL,ALL,,True,35,0.4560884791454575,,G3,,LOG_SCALE_DIVIDED_DIFFERENCES,1.0000000000003022,5.86627673980061e+30,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,MS,OVERALL,ALL,,True,6,8.295000921802783e-32,,G4,,TOPOLOGY_SUPPORT_SUMMARIES,0.9979667048146313,1.0669151532915,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,OVERALL,ALL,APPLICABLE,True,,,0.9866092788567564,G0,G1,,,,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,OVERALL,ALL,APPLICABLE,True,,,0.9975577406676553,G0,G2,,,,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,OVERALL,ALL,APPLICABLE,True,,,0.9928349799944449,G0,G3,,,,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,OVERALL,ALL,APPLICABLE,True,,,0.04849718888527501,G0,G4,,,,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,OVERALL,ALL,APPLICABLE,True,,,0.9735721765943162,G1,G2,,,,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,OVERALL,ALL,APPLICABLE,True,,,0.9627211213217628,G1,G3,,,,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,OVERALL,ALL,APPLICABLE,True,,,0.058416698137397124,G1,G4,,,,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,OVERALL,ALL,APPLICABLE,True,,,0.9986400657469601,G2,G3,,,,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,OVERALL,ALL,APPLICABLE,True,,,0.04442974741570966,G2,G4,,,,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,OVERALL,ALL,APPLICABLE,True,,,0.04204687914174011,G3,G4,,,,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,MS,TRAIN_EXCLUDING_FOLD,FOLD_0,,True,39,0.14367502490486306,,G0,,BASE_SINGLE_SCALE,1.000000000000003,5.3692748376601566e+29,FROZEN_TRAIN_FOLD_MEDIAN_IQR,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,MS,TRAIN_EXCLUDING_FOLD,FOLD_0,,True,15,0.1714571785316722,,G1,,RAW_MULTI_SCALE_OPERATOR_VALUES,1.000000000000004,6.40752082719947e+29,FROZEN_TRAIN_FOLD_MEDIAN_IQR,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,MS,TRAIN_EXCLUDING_FOLD,FOLD_0,,True,15,0.25976467571960793,,G2,,BASELINE_SCALE_DIFFERENCES,1.0000000000002436,9.707657527658673e+29,FROZEN_TRAIN_FOLD_MEDIAN_IQR,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,MS,TRAIN_EXCLUDING_FOLD,FOLD_0,,True,35,0.42510312084385676,,G3,,LOG_SCALE_DIVIDED_DIFFERENCES,1.0000000000005917,1.5886515361101343e+30,FROZEN_TRAIN_FOLD_MEDIAN_IQR,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,MS,TRAIN_EXCLUDING_FOLD,FOLD_0,,True,6,2.797342427109942e-31,,G4,,TOPOLOGY_SUPPORT_SUMMARIES,0.9980518842408276,1.045393958772317,FROZEN_TRAIN_FOLD_MEDIAN_IQR,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,TRAIN_EXCLUDING_FOLD,FOLD_0,APPLICABLE,True,,,0.9877481832708461,G0,G1,,,,FROZEN_TRAIN_FOLD_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,TRAIN_EXCLUDING_FOLD,FOLD_0,APPLICABLE,True,,,0.9977224335713885,G0,G2,,,,FROZEN_TRAIN_FOLD_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,TRAIN_EXCLUDING_FOLD,FOLD_0,APPLICABLE,True,,,0.9939601135494464,G0,G3,,,,FROZEN_TRAIN_FOLD_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,TRAIN_EXCLUDING_FOLD,FOLD_0,APPLICABLE,True,,,0.05763567813429169,G0,G4,,,,FROZEN_TRAIN_FOLD_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,TRAIN_EXCLUDING_FOLD,FOLD_0,APPLICABLE,True,,,0.9758387084615995,G1,G2,,,,FROZEN_TRAIN_FOLD_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,TRAIN_EXCLUDING_FOLD,FOLD_0,APPLICABLE,True,,,0.9679152465917759,G1,G3,,,,FROZEN_TRAIN_FOLD_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,TRAIN_EXCLUDING_FOLD,FOLD_0,APPLICABLE,True,,,0.06898472580162614,G1,G4,,,,FROZEN_TRAIN_FOLD_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,TRAIN_EXCLUDING_FOLD,FOLD_0,APPLICABLE,True,,,0.9988934571658208,G2,G3,,,,FROZEN_TRAIN_FOLD_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,TRAIN_EXCLUDING_FOLD,FOLD_0,APPLICABLE,True,,,0.052572060514904866,G2,G4,,,,FROZEN_TRAIN_FOLD_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SCALE_RESPONSE_GROUP_ENERGY_COLLINEARITY,MS,TRAIN_EXCLUDING_FOLD,FOLD_0,APPLICABLE,True,,,0.05032256750812294,G3,G4,,,,FROZEN_TRAIN_FOLD_MEDIAN_IQR,
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,MS,TRAIN_EXCLUDING_FOLD,FOLD_1,,True,39,0.999999999999968,,G0,,BASE_SINGLE_SCALE,1.0000000000000007,1.1678602254175478e+27,FROZEN_TRAIN_FOLD_MEDIAN_IQR,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,MS,TRAIN_EXCLUDING_FOLD,FOLD_1,,True,15,3.5307170292334947e-15,,G1,,RAW_MULTI_SCALE_OPERATOR_VALUES,1.000000000000145,4123383985646.336,FROZEN_TRAIN_FOLD_MEDIAN_IQR,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,MS,TRAIN_EXCLUDING_FOLD,FOLD_1,,True,15,2.700140709320781e-14,,G2,,BASELINE_SCALE_DIFFERENCES,1.000000000000245,31533869374465.656,FROZEN_TRAIN_FOLD_MEDIAN_IQR,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,MS,TRAIN_EXCLUDING_FOLD,FOLD_1,,True,35,1.5282272463688343e-15,,G3,,LOG_SCALE_DIVIDED_DIFFERENCES,1.0000000000007583,1784755816433.6023,FROZEN_TRAIN_FOLD_MEDIAN_IQR,POSITIVE_ENERGY
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,SEMANTIC_GROUP_ENERGY,MS,TRAIN_EXCLUDING_FOLD,FOLD_1,,True,6,9.093744567071575e-28,,G4,,TOPOLOGY_SUPPORT_SUMMARIES,0.9980699145692236,1.062022257999015,FROZEN_TRAIN_FOLD_MEDIAN_IQR,POSITIVE_ENERGY
