mechanism_id,diagnostic_class,component,direction,result,supporting_fold_count,supporting_family_count,source,claim_boundary,status,evidence_class
F-MS1,D1_TARGET_BLIND_SELECTION,ALL,NO_ACTIONABLE_SUPPORT,selected_candidate_id=null,,,target_blind_geometry_freeze.json,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
F-MS1,FORMAL_U0_TARGET_ALIGNMENT,PRESSURE_AND_VISCOSITY,SUGGESTIVE_NOT_CAUSAL,formal_geometry_target_alignment_does_not_identify_a_target_blind_repair,,,target_blind_geometry_target_alignment.csv,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
F-MS2,CANDIDATE_C_PERSISTENCE,pressure_gradient_acceleration,SUPPORT,MS_over_SS=0.99114151683228957,,,candidate_c_wn_wb_decomposition.csv,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
F-MS2,FORMAL_CVAR_PERSISTENCE,pressure_gradient_acceleration,SUPPORT,MS_over_SS=1.0456141397842045,,,cvar_stratum_decomposition.csv,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
F-MS2,OPERATIONAL_NEAR_COLLISION_INSIDE_COVERAGE,pressure_gradient_acceleration,SUPPORT,MS_near_collision_count=1543,,,near_collision_audit.csv|ambiguity_vs_coverage.csv,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
F-MS2,CANDIDATE_C_PERSISTENCE,viscosity_laplacian_acceleration,SUPPORT,MS_over_SS=0.97871800930320751,,,candidate_c_wn_wb_decomposition.csv,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
F-MS2,FORMAL_CVAR_PERSISTENCE,viscosity_laplacian_acceleration,SUPPORT,MS_over_SS=1.0268835551148163,,,cvar_stratum_decomposition.csv,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
F-MS2,OPERATIONAL_NEAR_COLLISION_INSIDE_COVERAGE,viscosity_laplacian_acceleration,SUPPORT,MS_near_collision_count=902,,,near_collision_audit.csv|ambiguity_vs_coverage.csv,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
F-MS3,GLOBAL_ORACLE_PREDICTIVE_STRUCTURE,PRESSURE_AND_VISCOSITY,PREDICTIVE_INFORMATION_PRESENT,oracle_gain_replicates_but_does_not_prove_information_sufficiency,6/6,4/4,oracle_gain_stratum_map.csv,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
F-MS3,INCREMENTAL_DIRECTIONAL_INFORMATION,PRESSURE_AND_VISCOSITY,NO_EVALUATED_INCREMENT,eligible_incremental_proxy_count=0,,,directional_proxy_overlap_audit.csv,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
F-MS4,DENSITY_MOMENTUM_LOCAL_RESPONSE_CONTRAST,ALL,SUPPORT,candidate_ratios=density:0.201588;pressure:0.991142;viscosity:0.978718,,,candidate_c_wn_wb_decomposition.csv|cvar_stratum_decomposition.csv,OPERATIONAL_CONSUMED_DIAGNOSTIC_NOT_INTRINSIC_IDENTIFIABILITY_PROOF,ADJUDICATED_D3,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
