route,route_status,criterion,criterion_pass,fresh_compute_authorized,h_mso01r_reverdict,status,evidence_class
A,NOT_SUPPORTED,target_blind_candidate_frozen,False,False,False,EVALUATED,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
A,NOT_SUPPORTED,pressure_fold_family_replication,False,False,False,EVALUATED,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
A,NOT_SUPPORTED,viscosity_fold_family_replication,False,False,False,EVALUATED,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
A,NOT_SUPPORTED,two_alignment_diagnostics,False,False,False,EVALUATED,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
A,NOT_SUPPORTED,density_non_degradation_strict,False,False,False,EVALUATED,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
A,NOT_SUPPORTED,deployment_target_reference_not_required,True,False,False,EVALUATED,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
B,NOT_SUPPORTED,two_independent_new_information_proxies,False,False,False,EVALUATED,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
B,NOT_SUPPORTED,pressure_fold_family_replication,False,False,False,EVALUATED,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
B,NOT_SUPPORTED,viscosity_fold_family_replication,False,False,False,EVALUATED,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
B,NOT_SUPPORTED,no_principal_frame_fallback,True,False,False,EVALUATED,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
B,NOT_SUPPORTED,deployment_target_reference_not_required,True,False,False,EVALUATED,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
C,SUPPORT_SCALE_ROUTE_CLOSURE_RECOMMENDED,route_a_not_actionable,True,False,False,EVALUATED,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
C,SUPPORT_SCALE_ROUTE_CLOSURE_RECOMMENDED,route_b_not_actionable,True,False,False,EVALUATED,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
C,SUPPORT_SCALE_ROUTE_CLOSURE_RECOMMENDED,f_ms6_supported_dominant,True,False,False,EVALUATED,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
