geometry,selected_candidate_id,component,scope,scope_id,descriptor_distance_target_disagreement_spearman,spearman_status,k10_wn,matched_random_wb,candidate_c_d,cvar,within_neighbour_target_dispersion,near_collision_rate,status,comparison_to_u0,evidence_class
U0_MS,U0,density_rate,OVERALL,ALL,0.49329881062557723,EVALUABLE,0.0012682995704503253,0.017703595326272418,0.07164079087190546,0.03099737369115435,0.0002427804581257642,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,density_rate,FOLD,FOLD_0,0.4843424510064309,EVALUABLE,0.00010895923513600791,0.01332553116536776,0.008176727350215225,0.00397442973014883,3.737650333791967e-05,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,density_rate,FOLD,FOLD_1,0.21669022844184416,EVALUABLE,0.0018603746574143226,0.01689263861631692,0.11012931133312422,0.1473549635764579,0.0011963435673739361,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,density_rate,FOLD,FOLD_2,0.7176525710328445,EVALUABLE,0.0003833282625155477,0.0173729821849713,0.022064620710147868,0.010479858017256533,8.53123111673153e-05,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,density_rate,FOLD,FOLD_3,0.802608753518031,EVALUABLE,0.00493166193167787,0.035391494217116015,0.1393459654860467,0.018477220914168972,8.534328967955477e-05,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,density_rate,FOLD,FOLD_4,0.6037714950336908,EVALUABLE,0.00031915666805429864,0.01275369148767309,0.025024650185616865,0.0052074069049491455,4.76446548006823e-05,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,density_rate,FOLD,FOLD_5,0.3468976714883638,EVALUABLE,6.316667903905672e-06,0.010485234286189436,0.0006024345981687441,0.000490363003944745,4.662422395176919e-06,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,density_rate,FAMILY,F1,0.6125011883048277,EVALUABLE,0.0037134040939978187,0.027047607051641418,0.1372914094362542,0.005871973185807931,4.560117298769068e-05,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,density_rate,FAMILY,F2,0.22733285752864496,EVALUABLE,0.00014820395988092555,0.012859242857956558,0.011525092224945847,0.01047882056376828,7.351168366947145e-05,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,density_rate,FAMILY,F3,0.08494139667252543,EVALUABLE,0.00017695072424768414,0.016538310764836285,0.010699443659259102,0.008858985283206526,7.206956693297552e-05,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
